t_s,regime,trajectory,predicted,old_target,new_target,old_interval,new_interval,old_limit,new_limit,old_quantum,new_quantum,workload,reason
5.368,HEAVY,WORSENING,HEAVY,5.00,4.00,100.0,90.0,1024,921,1514,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
16.232,HEAVY,WORSENING,HEAVY,4.00,3.60,90.0,81.0,921,828,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
21.622,HEAVY,WORSENING,HEAVY,3.60,3.24,81.0,72.9,828,745,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
26.984,HEAVY,WORSENING,HEAVY,3.24,2.92,72.9,65.6,745,670,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
32.372,HEAVY,WORSENING,HEAVY,2.92,2.62,65.6,59.0,670,603,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
37.760,HEAVY,RECOVERING,MODERATE,2.62,2.36,59.0,53.1,603,542,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
43.139,HEAVY,WORSENING,HEAVY,2.36,2.13,53.1,50.0,542,487,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
48.504,HEAVY,RECOVERING,MODERATE,2.13,1.91,50.0,50.0,487,438,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
53.866,HEAVY,WORSENING,HEAVY,1.91,1.72,50.0,50.0,438,394,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
59.246,HEAVY,RECOVERING,MODERATE,1.72,1.55,50.0,50.0,394,354,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
64.653,HEAVY,WORSENING,HEAVY,1.55,1.39,50.0,50.0,354,318,300,300,MICE,[PREDICTIVE] mult-decrease β=0.9 (regime=HEAVY pred=HEAVY) | workload=MICE
70.049,HEAVY,RECOVERING,MODERATE,1.39,1.26,50.0,50.0,318,286,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
75.416,HEAVY,RECOVERING,MODERATE,1.26,1.13,50.0,50.0,286,257,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
80.859,HEAVY,RECOVERING,MODERATE,1.13,1.02,50.0,50.0,257,256,300,300,MICE,[REACTIVE] mult-decrease β=0.9 (regime=HEAVY pred=MODERATE) | workload=MICE
