t_s,regime,trajectory,predicted,old_target,new_target,old_limit,new_limit,old_quantum,new_quantum,workload,reason
5.06,HEAVY,STABLE,HEAVY,5.00,4.50,1024,921,1514,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.13,HEAVY,STABLE,HEAVY,4.50,4.05,921,828,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.19,HEAVY,STABLE,HEAVY,4.05,3.65,828,745,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.26,HEAVY,RECOVERING,MODERATE,3.65,3.28,745,670,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
25.32,HEAVY,STABLE,HEAVY,3.28,2.95,670,603,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
30.38,HEAVY,STABLE,HEAVY,2.95,2.66,603,542,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
35.42,HEAVY,STABLE,HEAVY,2.66,2.39,542,487,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
40.48,HEAVY,RECOVERING,MODERATE,2.39,2.15,487,438,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
45.54,HEAVY,STABLE,HEAVY,2.15,1.94,438,394,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
50.60,HEAVY,RECOVERING,MODERATE,1.94,1.74,394,354,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
55.64,HEAVY,STABLE,HEAVY,1.74,1.57,354,318,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
60.69,HEAVY,STABLE,HEAVY,1.57,1.41,318,286,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
65.75,HEAVY,STABLE,HEAVY,1.41,1.27,286,257,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
70.81,HEAVY,STABLE,HEAVY,1.27,1.14,257,256,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
75.88,HEAVY,RECOVERING,MODERATE,1.14,1.03,256,256,300,300,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
