t_s,regime,trajectory,predicted,old_target,new_target,old_interval,new_interval,old_limit,new_limit,workload,reason
5.07,HEAVY,STABLE,HEAVY,5.00,4.50,100.0,90.0,1024,921,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.15,HEAVY,STABLE,HEAVY,4.50,4.05,90.0,81.0,921,828,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.24,HEAVY,RECOVERING,MODERATE,4.05,3.65,81.0,72.9,828,745,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.32,HEAVY,STABLE,HEAVY,3.65,3.28,72.9,65.6,745,670,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
25.39,HEAVY,STABLE,HEAVY,3.28,2.95,65.6,59.0,670,603,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
30.44,HEAVY,STABLE,HEAVY,2.95,2.66,59.0,53.1,603,542,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
35.50,HEAVY,RECOVERING,MODERATE,2.66,2.39,53.1,50.0,542,487,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
40.56,HEAVY,RECOVERING,MODERATE,2.39,2.15,50.0,50.0,487,438,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
45.64,HEAVY,STABLE,HEAVY,2.15,1.94,50.0,50.0,438,394,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
50.70,HEAVY,STABLE,HEAVY,1.94,1.74,50.0,50.0,394,354,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
55.76,HEAVY,STABLE,HEAVY,1.74,1.57,50.0,50.0,354,318,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
60.82,HEAVY,STABLE,HEAVY,1.57,1.41,50.0,50.0,318,286,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
65.90,HEAVY,STABLE,HEAVY,1.41,1.27,50.0,50.0,286,257,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
70.97,HEAVY,RECOVERING,MODERATE,1.27,1.14,50.0,50.0,257,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
76.06,HEAVY,RECOVERING,MODERATE,1.14,1.03,50.0,50.0,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
