t_s,regime,trajectory,predicted,old_target,new_target,old_limit,new_limit,workload,reason
5.19,HEAVY,RECOVERING,MODERATE,5.00,4.50,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.41,HEAVY,RECOVERING,MODERATE,4.50,4.05,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.62,HEAVY,RECOVERING,MODERATE,4.05,3.65,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.83,HEAVY,STABLE,HEAVY,3.65,3.28,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
26.03,HEAVY,STABLE,HEAVY,3.28,2.95,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
31.22,HEAVY,RECOVERING,MODERATE,2.95,2.66,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
36.42,HEAVY,RECOVERING,MODERATE,2.66,2.39,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
41.62,HEAVY,RECOVERING,MODERATE,2.39,2.15,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
46.82,HEAVY,STABLE,HEAVY,2.15,1.94,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
52.02,HEAVY,RECOVERING,MODERATE,1.94,1.74,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
57.22,HEAVY,RECOVERING,MODERATE,1.74,1.57,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
62.43,HEAVY,RECOVERING,MODERATE,1.57,1.41,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
67.63,HEAVY,RECOVERING,MODERATE,1.41,1.27,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
72.83,HEAVY,RECOVERING,MODERATE,1.27,1.14,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
78.04,HEAVY,RECOVERING,MODERATE,1.14,1.03,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
