t_s,regime,trajectory,predicted,old_target,new_target,old_limit,new_limit,workload,reason
5.19,HEAVY,STABLE,HEAVY,5.00,4.50,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.40,HEAVY,STABLE,HEAVY,4.50,4.05,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.62,HEAVY,STABLE,HEAVY,4.05,3.65,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.84,HEAVY,STABLE,HEAVY,3.65,3.28,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
26.05,HEAVY,RECOVERING,MODERATE,3.28,2.95,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
31.25,HEAVY,RECOVERING,MODERATE,2.95,2.66,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
36.45,HEAVY,RECOVERING,MODERATE,2.66,2.39,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
41.65,HEAVY,STABLE,HEAVY,2.39,2.15,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
46.86,HEAVY,RECOVERING,MODERATE,2.15,1.94,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
52.04,HEAVY,STABLE,HEAVY,1.94,1.74,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
57.22,HEAVY,STABLE,HEAVY,1.74,1.57,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
62.40,HEAVY,STABLE,HEAVY,1.57,1.41,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
67.58,HEAVY,STABLE,HEAVY,1.41,1.27,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
72.76,HEAVY,STABLE,HEAVY,1.27,1.14,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
77.96,HEAVY,RECOVERING,MODERATE,1.14,1.03,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
