[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=22
[eBPF] Layer 3: ✅ global_map id=23

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260402_131706.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    0.5       HEAVY       STABLE       HEAVY     267.4    373       0      0    0.00ms      MICE    5.0ms   1024     0
    1.0       HEAVY       STABLE       HEAVY     455.0    426       0      0    0.00ms      MICE    5.0ms   1024     0
    1.5       HEAVY       STABLE       HEAVY     630.2    381       0      0    0.00ms      MICE    5.0ms   1024     0
    2.0       HEAVY       STABLE       HEAVY     787.5    407       0      0    0.00ms      MICE    5.0ms   1024     0
    2.6       HEAVY       STABLE       HEAVY     949.6    345       0      0    0.00ms      MICE    5.0ms   1024     0
    3.1       HEAVY       STABLE       HEAVY    1121.5    386       0      0    0.00ms      MICE    5.0ms   1024     0
    3.6       HEAVY       STABLE       HEAVY    1218.6    379       0      0    0.00ms      MICE    5.0ms   1024     0
    4.1       HEAVY       STABLE       HEAVY    1377.0    424       0      0    0.00ms      MICE    5.0ms   1024     0
    4.6       HEAVY       STABLE       HEAVY    1553.8    408       0      0    0.00ms      MICE    5.0ms   1024     0
    5.1       HEAVY       STABLE       HEAVY    1731.7      0       0      0    0.00ms      MICE    4.5ms    921     1
    5.6       HEAVY       STABLE       HEAVY    2141.0    331       0      0    0.00ms      MICE    4.5ms    921     1
    6.1       HEAVY       STABLE       HEAVY    2357.1    301       0      0    0.00ms      MICE    4.5ms    921     1
    6.6       HEAVY       STABLE       HEAVY    2580.2    330       0      0    0.00ms      MICE    4.5ms    921     1
    7.1       HEAVY       STABLE       HEAVY    2801.5    300       0      0    0.00ms      MICE    4.5ms    921     1
    7.7       HEAVY       STABLE       HEAVY    2937.2    386       0      0    0.00ms      MICE    4.5ms    921     1
    8.2       HEAVY       STABLE       HEAVY    3236.6    378       0      0    0.00ms      MICE    4.5ms    921     1
    8.7       HEAVY       STABLE       HEAVY    3030.5    383       0      0    0.00ms      MICE    4.5ms    921     1
    9.2       HEAVY       STABLE       HEAVY    3275.4    317       0      0    0.00ms      MICE    4.5ms    921     1
    9.7       HEAVY       STABLE       HEAVY    3554.2    384       0      0    0.00ms      MICE    4.5ms    921     1
   10.2       HEAVY       STABLE       HEAVY    3667.1    332       0      0    0.00ms      MICE    4.0ms    828     2
   10.7       HEAVY       STABLE       HEAVY    4248.0    321       0      0    0.00ms      MICE    4.0ms    828     2
   11.2       HEAVY       STABLE       HEAVY    3653.3    341       0      0    0.00ms      MICE    4.0ms    828     2
   11.7       HEAVY       STABLE       HEAVY    3218.1    353       0      0    0.00ms      MICE    4.0ms    828     2
   12.3       HEAVY       STABLE       HEAVY    3311.1    363       0      0    0.00ms      MICE    4.0ms    828     2
   12.8       HEAVY       STABLE       HEAVY    3590.1    345       0      0    0.00ms      MICE    4.0ms    828     2
   13.3       HEAVY       STABLE       HEAVY    3734.1    369       0      0    0.00ms      MICE    4.0ms    828     2
   13.8       HEAVY       STABLE       HEAVY    3808.1    292       0      0    0.00ms      MICE    4.0ms    828     2
   14.3       HEAVY       STABLE       HEAVY    3593.7    311       0      0    0.00ms      MICE    4.0ms    828     2
   14.8       HEAVY   RECOVERING    MODERATE    3378.7    354       0      0    0.00ms      MICE    4.0ms    828     2
   15.3       HEAVY   RECOVERING    MODERATE    3695.0    331       0      0    0.00ms      MICE    3.6ms    745     3
   15.8       HEAVY       STABLE       HEAVY    4414.8    267       0      0    0.00ms      MICE    3.6ms    745     3
   16.3       HEAVY       STABLE       HEAVY    4353.7    360       0      0    0.00ms      MICE    3.6ms    745     3
   16.8       HEAVY       STABLE       HEAVY    4658.7      0       0      0    0.00ms      MICE    3.6ms    745     3
   17.4       HEAVY       STABLE       HEAVY    4664.6    373       0      0    0.00ms      MICE    3.6ms    745     3
   17.9       HEAVY       STABLE       HEAVY    5024.8      0       0      0    0.00ms      MICE    3.6ms    745     3
   18.4       HEAVY       STABLE       HEAVY    5134.8    332       0      0    0.00ms      MICE    3.6ms    745     3
   18.9       HEAVY       STABLE       HEAVY    5078.5    331       0      0    0.00ms      MICE    3.6ms    745     3
   19.4       HEAVY       STABLE       HEAVY    5194.2    405       0      0    0.00ms      MICE    3.6ms    745     3
   19.9       HEAVY       STABLE       HEAVY    5118.4    348       0      0    0.00ms      MICE    3.6ms    745     3
   20.4       HEAVY       STABLE       HEAVY    5502.0    343       0      0    0.00ms      MICE    3.3ms    670     4
   20.9       HEAVY       STABLE       HEAVY    6463.9    399       0      0    0.00ms      MICE    3.3ms    670     4
   21.4       HEAVY       STABLE       HEAVY    6892.6    380       0      0    0.00ms      MICE    3.3ms    670     4
   22.0       HEAVY       STABLE       HEAVY    7297.6    320       0      0    0.00ms      MICE    3.3ms    670     4
   22.5       HEAVY       STABLE       HEAVY    7712.0    292       0      0    0.00ms      MICE    3.3ms    670     4
   23.0       HEAVY       STABLE       HEAVY    8119.0    353       0      0    0.00ms      MICE    3.3ms    670     4
   23.5       HEAVY       STABLE       HEAVY    8529.5    335       0      0    0.00ms      MICE    3.3ms    670     4
   24.0       HEAVY       STABLE       HEAVY    8946.0    369       0      0    0.00ms      MICE    3.3ms    670     4
   24.5       HEAVY       STABLE       HEAVY    9354.4    358       0      0    0.00ms      MICE    3.3ms    670     4
   25.0       HEAVY       STABLE       HEAVY    9335.1    296       0      0    0.00ms      MICE    3.3ms    670     4
   25.5       HEAVY       STABLE       HEAVY    9898.4    343       0      0    0.00ms      MICE    3.0ms    603     5
   26.0       HEAVY       STABLE       HEAVY   11517.2    293       0      0    0.00ms      MICE    3.0ms    603     5
   26.6       HEAVY       STABLE       HEAVY   12084.4    408       0      0    0.00ms      MICE    3.0ms    603     5
   27.1       HEAVY       STABLE       HEAVY   12596.9    300       0      0    0.00ms      MICE    3.0ms    603     5
   27.6       HEAVY       STABLE       HEAVY   13104.6    337       0      0    0.00ms      MICE    3.0ms    603     5
   28.1       HEAVY       STABLE       HEAVY   12900.5    366       0      0    0.00ms      MICE    3.0ms    603     5
   28.6       HEAVY       STABLE       HEAVY   13205.7    391       0      0    0.00ms      MICE    3.0ms    603     5
   29.1       HEAVY       STABLE       HEAVY   13594.3    382       0      0    0.00ms      MICE    3.0ms    603     5
   29.6       HEAVY       STABLE       HEAVY   14018.3    316       0      0    0.00ms      MICE    3.0ms    603     5
   30.1       HEAVY       STABLE       HEAVY   13293.0    333       0      0    0.00ms      MICE    3.0ms    603     5
   30.6       HEAVY       STABLE       HEAVY   11195.8    321       0      0    0.00ms      MICE    2.7ms    542     6
