[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    0.5       HEAVY       STABLE       HEAVY     317.9    478       0      0    0.00ms      MICE    5.0ms   1024     0
    1.0       HEAVY       STABLE       HEAVY     516.6    474       0      0    0.00ms      MICE    5.0ms   1024     0
    1.5       HEAVY       STABLE       HEAVY     715.6    470       0      0    0.00ms      MICE    5.0ms   1024     0
    2.0       HEAVY       STABLE       HEAVY     928.3    456       0      0    0.00ms      MICE    5.0ms   1024     0
    2.5       HEAVY       STABLE       HEAVY    1126.5    468       0      0    0.00ms      MICE    5.0ms   1024     0
    3.0       HEAVY       STABLE       HEAVY    1330.7    471       0      0    0.00ms      MICE    5.0ms   1024     0
    3.6       HEAVY       STABLE       HEAVY    1539.4    459       0      0    0.00ms      MICE    5.0ms   1024     0
    4.1       HEAVY       STABLE       HEAVY    1730.2    492       0      0    0.00ms      MICE    5.0ms   1024     0
    4.6       HEAVY       STABLE       HEAVY    1942.2    486       0      0    0.00ms      MICE    5.0ms   1024     0
    5.1       HEAVY       STABLE       HEAVY    2143.7    474       0      0    0.00ms      MICE    4.5ms    921     1
    5.6       HEAVY       STABLE       HEAVY    2629.1    392       0      0    0.00ms      MICE    4.5ms    921     1
    6.1       HEAVY       STABLE       HEAVY    2877.2    416       0      0    0.00ms      MICE    4.5ms    921     1
    6.6       HEAVY       STABLE       HEAVY    3119.8    427       0      0    0.00ms      MICE    4.5ms    921     1
    7.1       HEAVY       STABLE       HEAVY    3374.4    428       0      0    0.00ms      MICE    4.5ms    921     1
    7.6       HEAVY       STABLE       HEAVY    3624.2    375       0      0    0.00ms      MICE    4.5ms    921     1
    8.1       HEAVY       STABLE       HEAVY    3878.5    426       0      0    0.00ms      MICE    4.5ms    921     1
    8.6       HEAVY       STABLE       HEAVY    4129.7    391       0      0    0.00ms      MICE    4.5ms    921     1
    9.1       HEAVY       STABLE       HEAVY    4377.9    424       0      0    0.00ms      MICE    4.5ms    921     1
    9.6       HEAVY       STABLE       HEAVY    4627.6    409       0      0    0.00ms      MICE    4.5ms    921     1
