[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    0.5      NORMAL       STABLE      NORMAL       0.0      0       0      0    0.00ms      MICE    5.0ms   1024     0
    1.0      NORMAL       STABLE      NORMAL       0.0      0       0      0    0.00ms      MICE    5.0ms   1024     0
    1.5      NORMAL       STABLE      NORMAL       0.0      0       0      0    0.00ms      MICE    5.0ms   1024     0
    2.0      NORMAL       STABLE      NORMAL       0.0      0       0      0    0.00ms      MICE    5.0ms   1024     0
    2.5    MODERATE       STABLE    MODERATE      15.7     94       0      0    0.00ms      MICE    5.0ms   1024     0
    3.1       HEAVY       STABLE       HEAVY     213.4     32       0      0    0.00ms      MICE    5.0ms   1024     0
    3.6       HEAVY       STABLE       HEAVY     150.2     16       0      0    0.00ms      MICE    5.0ms   1024     0
    4.1       HEAVY       STABLE       HEAVY     108.2     12       0      0    0.00ms      MICE    5.0ms   1024     0
    4.6       HEAVY       STABLE       HEAVY      84.0     16       0      0    0.00ms      MICE    5.0ms   1024     0
    5.1       HEAVY       STABLE       HEAVY     123.0     16       0      0    0.00ms      MICE    5.0ms   1024     0
    5.6       HEAVY       STABLE       HEAVY      98.5     15       0      0    0.00ms      MICE    5.0ms   1024     0
    6.1       HEAVY       STABLE       HEAVY     102.4     16       0      0    0.00ms      MICE    5.0ms   1024     0
    6.6       HEAVY       STABLE       HEAVY     105.8     13       0      0    0.00ms      MICE    5.0ms   1024     0
    7.1       HEAVY       STABLE       HEAVY      91.6     16       0      0    0.00ms      MICE    5.0ms   1024     0
    7.6       HEAVY       STABLE       HEAVY      90.6     15       0      0    0.00ms      MICE    5.0ms   1024     0
    8.2       HEAVY       STABLE       HEAVY     101.9     15       0      0    0.00ms      MICE    5.0ms   1024     0
    8.7       HEAVY       STABLE       HEAVY      97.8     13       0      0    0.00ms      MICE    5.0ms   1024     0
    9.2       HEAVY       STABLE       HEAVY      92.7     18       0      0    0.00ms      MICE    5.0ms   1024     0
    9.7       HEAVY       STABLE       HEAVY     104.3     17       0      0    0.00ms      MICE    5.0ms   1024     0
   10.2       HEAVY       STABLE       HEAVY     103.0     14       0      0    0.00ms      MICE    4.5ms    921     1
