t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
0.0,0,5.0,34034500.0,2400158.949,0.0
1.0,17,5.0,163.5,9.994,19.05
2.0,13,5.0,110.6,9.994,14.57
3.0,16,5.0,94.7,10.01,17.9
4.0,15,5.0,96.7,9.994,16.81
5.0,12,5.0,90.7,9.999,13.44
6.0,14,5.0,67.8,9.439,16.61
7.0,17,5.0,87.7,10.008,19.03
8.0,18,5.0,101.7,9.999,20.16
9.0,15,5.0,97.7,9.997,16.81
10.0,9,5.0,102.7,9.999,10.08
11.0,9,4.0,103.7,9.998,10.08
12.0,15,4.0,119.7,10.001,16.8
13.0,13,4.0,107.7,9.997,14.56
14.0,11,4.0,121.6,10.008,12.31
15.1,14,4.0,122.6,9.993,15.69
16.1,11,4.0,120.6,10.006,12.31
17.1,18,4.0,124.6,9.995,20.17
18.1,11,4.0,149.5,9.995,12.33
19.1,15,4.0,144.5,10.008,16.79
20.1,12,4.0,136.6,9.997,13.44
21.1,13,4.0,121.6,10.005,14.55
22.1,13,4.0,151.5,9.995,14.57
23.1,14,4.0,134.5,9.993,15.69
24.1,15,4.0,138.6,10.01,16.78
25.1,11,4.0,138.6,9.985,12.34
26.1,12,3.0,155.5,10.011,13.43
27.1,11,3.0,139.5,10.007,12.31
28.1,11,3.0,150.6,10.001,12.32
29.1,16,3.0,154.6,10.0,17.92
30.1,11,3.0,170.5,9.997,12.32
31.1,11,3.0,155.5,9.997,12.32
32.1,9,3.0,170.5,9.999,10.08
33.1,11,3.0,140.6,9.987,12.34
34.1,15,3.0,143.6,10.012,16.78
35.1,12,3.0,176.5,9.988,13.46
36.1,10,3.0,156.5,10.008,11.19
37.1,17,3.0,150.5,10.007,19.03
38.1,13,3.0,159.5,9.997,14.56
39.1,11,3.0,153.5,9.993,12.33
40.1,10,3.0,173.4,10.008,11.19
41.1,11,3.0,172.4,9.997,12.32
42.1,10,2.0,172.5,9.997,11.2
43.1,13,2.0,156.5,10.008,14.55
44.1,15,2.0,165.4,9.995,16.81
45.1,14,2.0,173.5,9.998,15.68
46.2,14,2.0,179.5,10.011,15.66
47.2,7,2.0,186.3,9.989,7.85
48.2,9,2.0,179.4,10.007,10.07
49.2,12,2.0,168.5,9.997,13.44
50.2,10,2.0,190.5,10.0,11.2
51.2,8,2.0,169.5,9.999,8.96
52.2,12,2.0,151.5,9.998,13.44
53.2,9,2.0,162.4,10.006,10.07
54.2,14,2.0,174.4,9.995,15.69
55.2,9,2.0,159.4,9.994,10.09
56.2,12,2.0,181.5,10.011,13.43
57.2,13,2.0,167.5,9.997,14.56
58.2,13,2.0,160.5,9.998,14.56
59.2,12,2.0,166.5,9.997,13.44
60.2,13,2.0,166.5,9.998,14.56
61.2,13,2.0,158.4,10.005,14.55
62.2,14,2.0,159.5,9.999,15.68
63.2,13,2.0,171.4,10.006,14.55
64.2,13,2.0,175.4,9.995,14.57
65.2,15,2.0,172.4,9.997,16.81
66.2,11,2.0,160.5,10.007,12.31
67.2,14,0.999,171.4,9.995,15.69
68.2,15,0.999,159.5,10.0,16.8
69.2,11,0.999,186.4,9.997,12.32
70.2,12,0.999,185.4,10.008,13.43
71.2,10,0.999,170.5,10.0,11.2
72.2,18,0.999,161.5,10.0,20.16
73.2,14,0.999,182.5,9.999,15.68
74.2,14,0.999,161.5,10.0,15.68
75.2,7,0.999,173.5,9.998,7.84
76.2,9,0.999,187.4,9.998,10.08
77.2,15,0.999,165.5,10.0,16.8
78.3,8,0.999,181.4,10.007,8.95
79.3,13,0.999,164.5,9.997,14.57
80.3,10,0.999,181.4,9.996,11.21
81.3,9,0.999,172.4,10.006,10.07
82.3,11,0.999,164.5,9.997,12.32
83.3,12,0.999,178.4,9.998,13.44
84.3,13,0.999,176.4,9.996,14.57
85.3,10,0.999,160.4,10.005,11.19
86.3,11,0.999,168.4,10.005,12.31
87.3,7,0.999,172.4,9.996,7.84
88.3,12,0.999,143.5,9.997,13.44
89.3,13,0.999,183.4,9.996,14.57
90.3,7,0.999,165.5,10.008,7.83
91.3,10,0.999,155.5,9.998,11.2
92.3,14,0.999,192.4,9.999,15.68
93.3,12,0.999,176.4,9.995,13.45
94.3,8,0.999,176.4,10.009,8.95
95.3,12,0.999,157.4,9.993,13.45
96.3,13,0.999,178.4,10.007,14.55
97.3,14,0.999,172.4,9.994,15.69
98.3,11,0.999,160.5,10.008,12.31
99.3,15,0.999,174.5,10.0,16.8
100.3,15,0.999,159.5,9.999,16.8
101.3,12,0.999,164.5,9.999,13.44
102.3,8,0.999,175.5,9.998,8.96
103.3,13,0.999,152.5,9.997,14.56
104.3,14,0.999,157.5,9.999,15.68
105.3,13,0.999,172.5,9.999,14.56
106.3,10,0.999,160.5,10.0,11.2
107.3,11,0.999,173.4,10.009,12.31
108.3,8,0.999,178.5,10.0,8.96
109.4,15,0.999,149.5,9.997,16.8
110.4,15,0.999,161.5,9.998,16.8
111.4,7,0.999,171.5,9.999,7.84
112.4,12,0.999,181.5,10.0,13.44
113.4,11,0.999,161.5,10.001,12.32
114.4,9,0.999,197.5,10.002,10.08
115.4,12,0.999,180.5,10.003,13.44
116.4,11,0.999,177.5,9.989,12.33
117.4,16,0.999,169.6,10.004,17.91
118.4,10,0.999,175.5,10.001,11.2
119.4,14,0.999,166.6,10.002,15.68
120.4,12,0.999,166.6,10.003,13.44
121.4,15,0.999,175.5,9.998,16.8
122.4,16,0.999,163.5,9.998,17.92
123.4,14,0.999,177.4,9.997,15.68
124.4,11,0.999,166.4,10.008,12.31
125.4,14,0.999,185.3,9.993,15.69
126.4,11,0.999,183.3,10.004,12.31
127.4,7,0.999,207.4,10.0,7.84
128.4,13,0.999,162.5,9.997,14.56
129.4,8,0.999,177.4,9.997,8.96
130.4,11,0.999,191.4,9.998,12.32
131.4,15,0.999,179.5,10.002,16.8
132.4,11,0.999,173.5,9.998,12.32
133.4,8,0.999,175.4,9.997,8.96
134.4,5,0.999,171.4,10.006,5.6
135.4,14,0.999,179.4,9.997,15.69
136.4,13,0.999,174.4,10.009,14.55
