t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes
0.108,154.8333,18,148,10.0077,0.151,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
0.216,167.4302,36,171,9.9998,0.151,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
0.324,198.9528,57,203,10.0195,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.429,219.0531,80,194,10.0071,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.534,238.4797,105,196,10.0029,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.639,247.5825,131,210,9.9903,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.744,248.2226,157,190,10.0060,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.849,210.2470,179,213,10.0061,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
0.953,235.5959,204,224,9.9764,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.059,291.0527,235,224,9.9939,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.166,271.4136,264,207,10.0067,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.273,305.5642,297,211,9.9932,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.381,251.3923,324,191,10.0101,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.488,253.0240,351,204,10.0000,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.595,306.4654,384,197,9.9932,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.703,316.1695,418,166,9.9966,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.810,278.0514,448,162,10.0076,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
1.918,279.0832,478,213,10.0006,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
2.025,303.8230,511,141,9.9897,0.151,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
2.134,201.2811,533,78,9.9812,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.243,0.0000,533,168,10.0650,0.151,0,0,0,0.000,MODERATE,RECOVERING,LIGHT,MICE,5.00,100.0,1024,1514
2.348,109.2746,545,69,9.9020,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.458,27.4968,548,157,10.0471,0.151,0,0,0,0.000,MODERATE,RECOVERING,LIGHT,MICE,5.00,100.0,1024,1514
2.567,74.5526,556,218,10.0181,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.675,64.4833,563,175,9.9758,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.783,46.7759,568,147,10.0241,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.890,64.9062,575,156,9.9825,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
2.998,74.4964,583,188,10.0204,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
3.105,73.9376,591,131,9.9940,0.151,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,100.0,1024,1514
3.213,74.4534,599,184,9.9936,0.151,0,0,0,0.000,HEAVY,WORSENING,HEAVY,MICE,5.00,100.0,1024,1514
