t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
0.506,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
1.014,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
1.523,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
2.034,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
2.543,15.7435,8,94,4.1880,0.000,0,0,0,0.000,MODERATE,STABLE,MODERATE,MICE,5.00,100.0,1024,1514,0,0
3.053,213.3791,117,32,9.9821,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
3.566,150.1888,194,16,10.0168,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
4.075,108.1583,249,12,10.0037,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
4.587,83.9525,292,16,9.9791,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
5.099,123.0373,355,16,10.0058,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
5.607,98.4554,405,15,10.0169,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
6.115,102.3868,457,16,9.9924,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
6.625,105.8385,511,13,9.9942,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
7.138,91.5894,558,16,10.0076,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
7.646,90.6336,604,15,9.9991,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
8.156,101.9329,656,15,9.9963,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
8.667,97.8053,706,13,9.9982,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
9.174,92.6835,753,18,10.0077,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
9.682,104.3151,806,17,9.9885,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
10.197,102.9943,859,14,10.0033,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
10.710,110.9440,916,13,9.9721,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
11.221,129.2223,982,11,10.0311,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
11.735,122.5994,1045,16,9.9938,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
12.246,121.3025,1107,15,10.0001,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
12.761,137.8078,1178,16,9.9913,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
13.271,109.8827,1234,13,10.0055,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
13.779,116.2250,1293,12,10.0210,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
14.291,146.4876,1368,12,9.9832,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
14.800,133.5526,1436,11,10.0148,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
15.308,123.9368,1499,15,9.9837,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
15.824,116.2532,1559,18,9.9972,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
16.335,105.7871,1613,14,10.0131,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
16.842,128.1185,1678,14,10.0030,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
17.352,135.2056,1747,12,9.9918,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
17.867,137.8575,1818,16,9.9949,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
18.376,155.4011,1897,12,10.0067,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
18.885,131.6905,1964,15,9.9987,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
19.399,139.9122,2036,18,9.9794,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
19.911,130.9955,2103,13,10.0170,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
20.421,123.4106,2166,13,10.0124,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
20.937,147.3127,2242,12,10.0012,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
21.445,121.9976,2304,17,9.9860,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
21.959,128.5287,2370,11,9.9773,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
22.468,113.9660,2428,18,10.0195,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
