[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=19
[eBPF] Layer 3: ✅ global_map id=20

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260403_082701.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    0.5       HEAVY       STABLE       HEAVY      93.1     16       0      0    0.00ms      MICE    5.0ms   1024     0
    1.0       HEAVY       STABLE       HEAVY      93.7     16       0      0    0.00ms      MICE    5.0ms   1024     0
    1.5       HEAVY       STABLE       HEAVY     105.2     14       0      0    0.00ms      MICE    5.0ms   1024     0
    2.0       HEAVY       STABLE       HEAVY      94.8     11       0      0    0.00ms      MICE    5.0ms   1024     0
    2.6       HEAVY       STABLE       HEAVY      99.2     15       0      0    0.00ms      MICE    5.0ms   1024     0
    3.1       HEAVY       STABLE       HEAVY     107.0     13       0      0    0.00ms      MICE    5.0ms   1024     0
    3.6       HEAVY       STABLE       HEAVY      89.0     16       0      0    0.00ms      MICE    5.0ms   1024     0
    4.1       HEAVY       STABLE       HEAVY      97.4     17       0      0    0.00ms      MICE    5.0ms   1024     0
    4.6       HEAVY       STABLE       HEAVY     104.6     13       0      0    0.00ms      MICE    5.0ms   1024     0
    5.1       HEAVY       STABLE       HEAVY     110.1     18       0      0    0.00ms      MICE    4.5ms    921     1
    5.6       HEAVY       STABLE       HEAVY     129.9     11       0      0    0.00ms      MICE    4.5ms    921     1
    6.2       HEAVY       STABLE       HEAVY     126.5      9       0      0    0.00ms      MICE    4.5ms    921     1
    6.7       HEAVY       STABLE       HEAVY      99.0      9       0      0    0.00ms      MICE    4.5ms    921     1
    7.2       HEAVY       STABLE       HEAVY     127.5     13       0      0    0.00ms      MICE    4.5ms    921     1
    7.7       HEAVY       STABLE       HEAVY     106.5     12       0      0    0.00ms      MICE    4.5ms    921     1
    8.2       HEAVY       STABLE       HEAVY     119.3     12       0      0    0.00ms      MICE    4.5ms    921     1
    8.7       HEAVY       STABLE       HEAVY     123.5     14       0      0    0.00ms      MICE    4.5ms    921     1
    9.2       HEAVY       STABLE       HEAVY     110.6     17       0      0    0.00ms      MICE    4.5ms    921     1
    9.8       HEAVY       STABLE       HEAVY     120.0     12       0      0    0.00ms      MICE    4.5ms    921     1
   10.3       HEAVY       STABLE       HEAVY     124.2     12       0      0    0.00ms      MICE    4.0ms    828     2
   10.8       HEAVY       STABLE       HEAVY     121.4     17       0      0    0.00ms      MICE    4.0ms    828     2
   11.3       HEAVY       STABLE       HEAVY     139.9     13       0      0    0.00ms      MICE    4.0ms    828     2
   11.8       HEAVY       STABLE       HEAVY     139.5     13       0      0    0.00ms      MICE    4.0ms    828     2
   12.3       HEAVY       STABLE       HEAVY     138.3     10       0      0    0.00ms      MICE    4.0ms    828     2
   12.8       HEAVY       STABLE       HEAVY     136.5     12       0      0    0.00ms      MICE    4.0ms    828     2
   13.4       HEAVY       STABLE       HEAVY     130.0     16       0      0    0.00ms      MICE    4.0ms    828     2
   13.9       HEAVY       STABLE       HEAVY     145.1     12       0      0    0.00ms      MICE    4.0ms    828     2
   14.4       HEAVY       STABLE       HEAVY     141.9     13       0      0    0.00ms      MICE    4.0ms    828     2
   14.9       HEAVY       STABLE       HEAVY     136.0     19       0      0    0.00ms      MICE    4.0ms    828     2
   15.4       HEAVY       STABLE       HEAVY     127.9      8       0      0    0.00ms      MICE    3.6ms    745     3
   15.9       HEAVY       STABLE       HEAVY     135.2      9       0      0    0.00ms      MICE    3.6ms    745     3
   16.4       HEAVY       STABLE       HEAVY     100.3     15       0      0    0.00ms      MICE    3.6ms    745     3
   16.9       HEAVY       STABLE       HEAVY     152.1     13       0      0    0.00ms      MICE    3.6ms    745     3
   17.4       HEAVY       STABLE       HEAVY     137.8     16       0      0    0.00ms      MICE    3.6ms    745     3
   17.9       HEAVY       STABLE       HEAVY     161.4     11       0      0    0.00ms      MICE    3.6ms    745     3
   18.5       HEAVY       STABLE       HEAVY     143.5     15       0      0    0.00ms      MICE    3.6ms    745     3
   19.0       HEAVY       STABLE       HEAVY     144.1     13       0      0    0.00ms      MICE    3.6ms    745     3
   19.5       HEAVY       STABLE       HEAVY     157.2     11       0      0    0.00ms      MICE    3.6ms    745     3
