t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
0.0,0,0,5.0,1024,1514,750830.0,60008.717,0.0
1.0,0,0,5.0,1024,1514,0.0,0.0,0.0
2.0,0,0,5.0,1024,1514,0.0,0.0,0.0
3.0,89,139288,5.0,1024,1514,0.0,0.178,5600.0
4.0,14,25738,5.0,1024,1514,177.8,9.996,15.69
5.0,14,22710,5.0,1024,1514,94.6,10.01,15.66
6.0,16,33308,5.0,1024,1514,106.2,9.992,17.93
7.0,11,19682,5.0,1024,1514,105.6,10.007,12.31
8.0,17,31794,5.0,1024,1514,92.7,9.997,19.05
9.0,12,24224,5.0,1024,1514,92.7,9.996,13.45
10.0,17,25738,5.0,1024,1514,101.6,10.006,19.03
11.0,12,22710,4.0,921,300,101.6,9.998,13.44
12.1,12,24224,4.0,921,300,127.3,9.994,13.45
13.1,12,27252,4.0,921,300,119.6,10.006,13.43
14.1,15,22710,4.0,921,300,119.4,10.003,16.79
15.1,16,30280,4.0,921,300,135.6,10.0,17.92
16.1,10,18168,4.0,828,300,130.5,10.002,11.2
17.1,8,13626,4.0,828,300,115.3,9.984,8.97
18.1,9,13626,4.0,828,300,132.3,10.008,10.07
19.1,17,28766,4.0,828,300,141.4,10.0,19.04
20.1,13,19682,4.0,828,300,137.4,10.006,14.55
21.1,11,16654,4.0,828,300,128.3,10.002,12.32
22.1,11,19682,4.0,745,300,133.5,9.991,12.33
23.1,12,19682,4.0,745,300,120.6,10.006,13.43
24.1,12,21196,4.0,745,300,128.4,9.998,13.44
25.1,15,28766,4.0,745,300,133.5,10.003,16.79
26.1,13,22710,4.0,745,300,142.3,9.995,14.57
27.1,12,27252,3.0,670,300,135.4,9.998,13.44
28.1,13,19682,3.0,670,300,151.4,10.0,14.56
29.1,7,12112,3.0,670,300,164.0,10.005,7.84
30.1,14,21196,3.0,670,300,134.5,10.001,15.68
31.1,14,22710,3.0,670,300,145.2,9.997,15.68
32.1,12,25738,3.0,603,300,159.4,9.99,13.45
33.1,11,18168,3.0,603,300,162.9,10.012,12.31
34.2,9,13626,3.0,603,300,163.9,9.998,10.08
35.2,8,12112,3.0,603,300,142.5,10.008,8.95
36.2,11,16654,3.0,603,300,145.6,9.999,12.32
37.2,11,16654,3.0,542,300,167.6,10.002,12.32
38.2,12,22710,3.0,542,300,160.4,9.989,13.45
39.2,13,22710,3.0,542,300,175.4,10.008,14.55
40.2,13,25738,3.0,542,300,158.2,9.988,14.58
41.2,14,24224,3.0,542,300,166.1,10.002,15.68
42.2,14,21196,2.0,487,300,177.2,10.01,15.66
43.2,14,21196,2.0,487,300,161.2,9.994,15.69
44.2,8,12112,2.0,487,300,183.4,9.996,8.96
45.2,15,22710,2.0,487,300,169.5,10.008,16.79
46.2,9,19682,2.0,487,300,176.4,9.997,10.08
47.2,13,19682,2.0,438,300,176.5,10.002,14.56
48.2,8,19682,2.0,438,300,183.2,9.987,8.97
49.2,15,22710,2.0,438,300,160.2,10.005,16.79
50.2,12,18168,2.0,438,300,167.8,10.008,13.43
51.2,14,21196,2.0,438,300,184.1,10.003,15.68
52.2,13,19682,2.0,394,300,188.3,10.002,14.56
53.2,9,18168,2.0,394,300,185.4,9.997,10.08
54.2,14,22710,2.0,394,300,162.4,10.002,15.68
55.2,12,19682,2.0,394,300,169.4,9.994,13.45
56.2,9,15140,2.0,394,300,175.4,10.007,10.07
57.2,8,13626,2.0,354,300,168.0,9.991,8.97
58.3,15,25738,2.0,354,300,161.2,9.993,16.81
59.3,11,21196,2.0,354,300,196.2,10.011,12.31
60.3,14,24224,2.0,354,300,165.4,9.982,15.71
61.3,8,12112,2.0,354,300,179.5,10.023,8.94
62.3,12,18168,2.0,318,300,182.4,9.997,13.44
63.3,11,16654,2.0,318,300,193.3,10.004,12.32
64.3,11,19682,2.0,318,300,181.4,9.997,12.32
65.3,13,25738,2.0,318,300,167.0,9.982,14.59
66.3,10,19682,2.0,318,300,184.2,10.01,11.19
67.3,11,16654,0.999,286,300,192.7,9.998,12.32
68.3,14,21196,0.999,286,300,176.7,10.006,15.67
69.3,13,21196,0.999,286,300,186.3,10.004,14.55
70.3,11,16654,0.999,286,300,189.3,9.994,12.33
71.3,15,25738,0.999,286,300,171.5,9.997,16.81
72.3,11,16654,0.999,257,300,180.2,10.008,12.31
73.3,13,22710,0.999,257,300,185.7,9.997,14.56
74.3,11,16654,0.999,257,300,183.4,10.006,12.31
75.3,16,24224,0.999,257,300,187.4,9.998,17.92
76.3,13,21196,0.999,257,300,173.0,9.997,14.56
77.3,12,18168,0.999,256,300,183.4,9.994,13.45
78.3,16,25738,0.999,256,300,165.3,9.998,17.92
79.3,7,12112,0.999,256,300,206.4,10.01,7.83
80.3,12,19682,0.999,256,300,185.1,9.99,13.45
81.4,13,21196,0.999,256,300,158.9,10.007,14.55
82.4,12,18168,0.999,256,300,187.0,9.997,13.44
83.4,10,15140,0.999,256,300,177.5,10.001,11.2
84.4,13,19682,0.999,256,300,182.5,9.999,14.56
85.4,11,18168,0.999,256,300,174.4,10.008,12.31
86.4,12,21196,0.999,256,300,164.3,9.997,13.44
87.4,10,16654,0.999,256,300,194.2,10.002,11.2
88.4,13,19682,0.999,256,300,170.4,9.995,14.57
89.4,11,21196,0.999,256,300,177.1,10.002,12.32
90.4,15,22710,0.999,256,300,177.4,9.994,16.81
91.4,16,28766,0.999,256,300,166.3,10.009,17.9
92.4,12,21196,0.999,256,300,183.7,9.992,13.45
93.4,9,13626,0.999,256,300,189.3,10.003,10.08
94.4,10,15140,0.999,256,300,181.3,10.001,11.2
95.4,11,16654,0.999,256,300,191.2,10.0,12.32
96.4,11,16654,0.999,256,300,193.2,9.997,12.32
97.4,12,18168,0.999,256,300,172.9,10.0,13.44
98.4,14,22710,0.999,256,300,170.9,10.002,15.68
99.4,12,21196,0.999,256,300,170.3,10.0,13.44
100.4,12,18168,0.999,256,300,173.5,10.0,13.44
101.4,9,15140,0.999,256,300,169.5,9.999,10.08
102.4,7,12112,0.999,256,300,165.3,9.999,7.84
103.4,12,21196,0.999,256,300,189.9,9.997,13.44
104.5,6,9084,0.999,256,300,176.4,10.008,6.71
105.5,9,15140,0.999,256,300,156.3,9.995,10.09
106.5,12,18168,0.999,256,300,167.5,9.997,13.44
107.5,12,18168,0.999,256,300,174.4,10.006,13.43
108.5,11,19682,0.999,256,300,176.3,10.003,12.32
