[recorder] Starting: label=acape ns=ns_router iface=veth_rs duration=330s
[recorder] Writing to: /home/ammu/ccn-linux-qdisc-study/logs/acape_recorded.csv
[recorder] t=0.0s bl=0p tgt=5.0ms tp=60008.717Mbps dr=750830.0/s
[recorder] t=10.0s bl=17p tgt=5.0ms tp=10.006Mbps dr=101.6/s
[recorder] t=20.1s bl=13p tgt=4.0ms tp=10.006Mbps dr=137.4/s
[recorder] t=30.1s bl=14p tgt=3.0ms tp=10.001Mbps dr=134.5/s
[recorder] t=40.2s bl=13p tgt=3.0ms tp=9.988Mbps dr=158.2/s
[recorder] t=50.2s bl=12p tgt=2.0ms tp=10.008Mbps dr=167.8/s
[recorder] t=60.3s bl=14p tgt=2.0ms tp=9.982Mbps dr=165.4/s
[recorder] t=70.3s bl=11p tgt=0.999ms tp=9.994Mbps dr=189.3/s
[recorder] t=80.3s bl=12p tgt=0.999ms tp=9.99Mbps dr=185.1/s
[recorder] t=90.4s bl=15p tgt=0.999ms tp=9.994Mbps dr=177.4/s
[recorder] t=100.4s bl=12p tgt=0.999ms tp=10.0Mbps dr=173.5/s
[recorder] t=110.5s bl=10p tgt=0.999ms tp=10.003Mbps dr=177.3/s
[recorder] t=120.5s bl=10p tgt=0.999ms tp=9.999Mbps dr=173.9/s
[recorder] t=130.6s bl=13p tgt=0.999ms tp=9.998Mbps dr=185.4/s
[recorder] t=140.6s bl=14p tgt=0.999ms tp=10.001Mbps dr=190.2/s
[recorder] t=150.6s bl=12p tgt=0.999ms tp=10.006Mbps dr=174.2/s
[recorder] t=160.7s bl=13p tgt=0.999ms tp=10.004Mbps dr=194.8/s
[recorder] t=170.7s bl=8p tgt=0.999ms tp=9.992Mbps dr=169.2/s
[recorder] t=180.8s bl=12p tgt=0.999ms tp=9.996Mbps dr=183.4/s
[recorder] t=190.8s bl=12p tgt=0.999ms tp=9.996Mbps dr=174.4/s
[recorder] t=200.8s bl=10p tgt=0.999ms tp=10.006Mbps dr=197.3/s
[recorder] t=210.9s bl=11p tgt=0.999ms tp=10.0Mbps dr=166.1/s
[recorder] t=220.9s bl=11p tgt=0.999ms tp=10.01Mbps dr=188.4/s
[recorder] t=231.0s bl=10p tgt=0.999ms tp=10.008Mbps dr=177.4/s
[recorder] t=241.0s bl=15p tgt=0.999ms tp=10.001Mbps dr=180.3/s
[recorder] t=251.1s bl=8p tgt=0.999ms tp=10.007Mbps dr=186.4/s
[recorder] t=261.1s bl=10p tgt=0.999ms tp=9.999Mbps dr=161.3/s
[recorder] t=271.1s bl=11p tgt=0.999ms tp=9.997Mbps dr=173.4/s
[recorder] t=281.2s bl=14p tgt=0.999ms tp=9.999Mbps dr=173.5/s
[recorder] t=291.2s bl=11p tgt=0.999ms tp=9.994Mbps dr=188.7/s
[recorder] t=301.2s bl=10p tgt=0.999ms tp=10.007Mbps dr=157.5/s
