t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.599,345.1288,-15.3682,0.0000,HEAVY,STABLE,HEAVY,MICE
5.194,-1096.5825,-2.0400,0.0000,HEAVY,RECOVERING,MODERATE,MICE
7.805,9679.0059,5.3938,0.0000,HEAVY,STABLE,HEAVY,MICE
10.407,-1494.3458,-0.1649,0.0000,HEAVY,RECOVERING,MODERATE,MICE
13.016,-3413.0515,1.0816,0.0000,HEAVY,RECOVERING,MODERATE,MICE
15.620,-2703.8699,-1.2338,0.0000,HEAVY,RECOVERING,MODERATE,MICE
18.229,2559.2417,0.1040,0.0000,HEAVY,STABLE,HEAVY,MICE
20.825,1436.4209,0.2217,0.0000,HEAVY,STABLE,HEAVY,MICE
23.428,-1232.8689,0.3602,0.0000,HEAVY,RECOVERING,MODERATE,MICE
26.026,2501.4513,1.5624,0.0000,HEAVY,STABLE,HEAVY,MICE
28.621,329.4293,1.7614,0.0000,HEAVY,STABLE,HEAVY,MICE
31.217,-105.1903,-2.7574,0.0000,HEAVY,RECOVERING,MODERATE,MICE
33.819,2414.4451,2.4109,0.0000,HEAVY,STABLE,HEAVY,MICE
36.421,-113.5288,0.3032,0.0000,HEAVY,RECOVERING,MODERATE,MICE
39.025,-1170.0200,1.0357,0.0000,HEAVY,RECOVERING,MODERATE,MICE
41.623,-44.7848,-0.5133,0.0000,HEAVY,RECOVERING,MODERATE,MICE
44.223,740.4778,0.4895,0.0000,HEAVY,STABLE,HEAVY,MICE
46.820,1038.1141,1.1334,0.0000,HEAVY,STABLE,HEAVY,MICE
49.419,-1549.2337,2.8084,0.0000,HEAVY,RECOVERING,MODERATE,MICE
52.016,-369.9376,-2.2648,0.0000,HEAVY,RECOVERING,MODERATE,MICE
54.621,-240.6593,0.2814,0.0000,HEAVY,RECOVERING,MODERATE,MICE
57.216,-60.1431,-0.0228,0.0000,HEAVY,RECOVERING,MODERATE,MICE
59.822,436.1414,-0.3991,0.0000,HEAVY,STABLE,HEAVY,MICE
62.427,-860.6220,4.5148,0.0000,HEAVY,RECOVERING,MODERATE,MICE
65.029,3068.9961,-0.2805,0.0000,HEAVY,STABLE,HEAVY,MICE
67.633,-1621.7376,-3.2082,0.0000,HEAVY,RECOVERING,MODERATE,MICE
70.230,1340.8706,-1.6209,0.0000,HEAVY,STABLE,HEAVY,MICE
72.829,-126.3195,-0.0678,0.0000,HEAVY,RECOVERING,MODERATE,MICE
75.438,-2403.3531,-1.0463,0.0000,HEAVY,RECOVERING,MODERATE,MICE
78.044,-2314.7231,0.4651,0.0000,HEAVY,RECOVERING,MODERATE,MICE
80.655,1610.8163,0.2346,0.0000,HEAVY,STABLE,HEAVY,MICE
83.251,3428.9455,-1.6457,0.0000,HEAVY,STABLE,HEAVY,MICE
85.854,-951.5704,-0.9454,0.0000,HEAVY,RECOVERING,MODERATE,MICE
88.447,1337.6342,-1.8896,0.0000,HEAVY,STABLE,HEAVY,MICE
91.048,390.2915,0.9344,0.0000,HEAVY,STABLE,HEAVY,MICE
93.644,-385.5978,-3.6279,0.0000,HEAVY,RECOVERING,MODERATE,MICE
96.239,862.2944,2.5217,0.0000,HEAVY,STABLE,HEAVY,MICE
98.837,912.8490,1.1425,0.0000,HEAVY,STABLE,HEAVY,MICE
101.435,-1646.9136,-1.3880,0.0000,HEAVY,RECOVERING,MODERATE,MICE
104.037,1262.8087,2.7503,0.0000,HEAVY,STABLE,HEAVY,MICE
