time,state,drop_rate,backlog,target,interval,limit
05:00:00,NORMAL,0.0,0,7,120,10240
05:00:01,NORMAL,0.0,0,7,120,10240
05:00:02,NORMAL,0.0,0,7,120,10240
05:00:03,NORMAL,0.0,0,7,120,10240
05:00:04,NORMAL,0.0,0,7,120,10240
05:00:05,NORMAL,0.0,0,7,120,10240
05:00:06,NORMAL,0.0,0,7,120,10240
05:00:07,NORMAL,0.0,0,7,120,10240
05:00:08,NORMAL,0.0,0,7,120,10240
05:00:09,NORMAL,0.0,0,7,120,10240
05:00:10,LIGHT,2.98,84,5,100,10240
05:00:11,MODERATE,43.27,82,4,85,9216
05:00:12,HEAVY,116.11,51,3,65,7168
05:00:13,HEAVY,256.58,69,3,65,7168
05:00:14,HEAVY,378.28,67,3,65,7168
05:00:15,HEAVY,497.07,48,3,65,7168
05:00:16,HEAVY,616.92,53,3,65,7168
05:00:17,HEAVY,735.59,83,3,65,7168
05:00:18,HEAVY,854.02,47,3,65,7168
05:00:19,HEAVY,974.76,82,3,65,7168
05:00:20,HEAVY,1094.37,83,3,65,7168
05:00:21,HEAVY,1214.56,70,3,65,7168
05:00:22,HEAVY,1332.92,82,3,65,7168
05:00:23,HEAVY,1453.39,82,3,65,7168
05:00:24,HEAVY,1571.59,61,3,65,7168
05:00:25,HEAVY,1693.32,63,3,65,7168
05:00:26,HEAVY,1814.2,73,3,65,7168
05:00:27,HEAVY,1932.01,89,3,65,7168
05:00:28,HEAVY,2050.51,72,3,65,7168
05:00:29,HEAVY,2172.81,82,3,65,7168
05:00:30,HEAVY,2289.71,86,3,65,7168
05:00:31,HEAVY,2412.64,69,3,65,7168
05:00:32,HEAVY,2529.5,60,3,65,7168
05:00:33,HEAVY,2651.03,59,3,65,7168
05:00:34,HEAVY,2769.03,58,3,65,7168
05:00:35,HEAVY,2894.23,75,3,65,7168
05:00:36,HEAVY,3010.55,51,3,65,7168
05:00:37,HEAVY,3132.13,69,3,65,7168
05:00:38,HEAVY,3248.94,93,3,65,7168
05:00:39,HEAVY,3373.07,67,3,65,7168
05:00:40,HEAVY,3494.63,62,3,65,7168
05:00:41,HEAVY,3609.3,66,3,65,7168
05:00:42,HEAVY,3737.65,81,3,65,7168
05:00:43,HEAVY,3857.37,87,3,65,7168
05:00:44,HEAVY,3971.3,59,3,65,7168
05:00:45,HEAVY,4090.21,93,3,65,7168
05:00:46,HEAVY,4216.32,75,3,65,7168
05:00:47,HEAVY,4342.24,87,3,65,7168
05:00:48,HEAVY,4465.41,55,3,65,7168
05:00:49,HEAVY,4574.77,60,3,65,7168
05:00:50,HEAVY,4693.76,66,3,65,7168
05:00:51,HEAVY,4816.25,58,3,65,7168
05:00:52,HEAVY,4942.89,85,3,65,7168
05:00:53,HEAVY,5062.95,51,3,65,7168
05:00:54,HEAVY,5201.17,57,3,65,7168
05:00:55,HEAVY,5298.38,71,3,65,7168
05:00:56,HEAVY,5417.62,86,3,65,7168
05:00:57,HEAVY,5543.28,47,3,65,7168
05:00:58,HEAVY,5660.23,78,3,65,7168
05:00:59,HEAVY,5790.02,61,3,65,7168
05:01:00,HEAVY,5915.26,93,3,65,7168
05:01:01,HEAVY,6035.79,76,3,65,7168
05:01:02,HEAVY,6165.19,59,3,65,7168
05:01:03,HEAVY,6291.34,93,3,65,7168
05:01:04,HEAVY,6377.86,76,3,65,7168
05:01:05,HEAVY,6494.25,66,3,65,7168
05:01:06,HEAVY,6625.15,48,3,65,7168
05:01:07,HEAVY,6748.54,74,3,65,7168
05:01:08,HEAVY,6870.56,84,3,65,7168
05:01:09,HEAVY,6997.78,74,3,65,7168
05:01:10,HEAVY,904.1,0,3,65,7168
05:01:11,NORMAL,0.0,0,7,120,10240
05:01:12,NORMAL,0.0,0,7,120,10240
