========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=120s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
────────────────────────────────────────────────────────────────────────
   0.0      0.0      105.2      17   10.00   0.045    4.6ms    954     1
   0.5      0.1      166.0      11   10.01   0.040    4.6ms    954     1
   1.0      0.1      184.8       9    9.99   0.035    4.7ms    970     2
   1.5      0.1      173.9      10   10.00   0.030    4.7ms    970     2
   2.0      0.1      178.9      15    9.99   0.025    4.7ms    970     2
   2.5      0.1      192.8       8   10.01   0.020    4.8ms    993     3
   3.0      0.2      130.6      12    9.99   0.015    4.8ms    993     3
   3.5      0.2      157.0      16   10.01   0.010    4.8ms    993     3
   4.0      0.2      168.9       9    9.99   0.010    4.8ms    993     3
   4.5      0.2      162.9      10   10.01   0.010    4.8ms    993     3
   5.0      0.3      152.9      11    9.98   0.010    4.8ms    993     3
   5.5      0.3      176.9      13    9.99   0.010    4.8ms    993     3
   6.0      0.3      178.9      14   10.02   0.010    4.8ms    993     3
   6.5      0.3      160.9      13   10.01   0.010    4.8ms    993     3
   7.1      0.4      161.0      17    9.99   0.010    4.8ms    993     3
   7.6      0.4      133.2      12   10.00   0.010    4.8ms    993     3
   8.1      0.4      180.8       8    9.99   0.010    4.8ms    993     3
   8.6      0.4      159.0       9   10.01   0.010    4.8ms    993     3
   9.1      0.5      143.0      16    9.99   0.010    4.8ms    993     3
   9.6      0.5      167.0       7   10.01   0.010    4.8ms    993     3
  10.1      0.5      147.0      14   10.01   0.010    4.8ms    993     3
  10.6      0.5      165.0      13    9.99   0.010    4.8ms    993     3
  11.1      0.5      143.1      13    9.99   0.010    4.8ms    993     3
  11.6      0.6      171.0      16    9.97   0.010    4.8ms    993     3
  12.1      0.6      139.1      10   10.04   0.010    4.8ms    993     3
  12.6      0.6      167.0       7    9.99   0.010    4.8ms    993     3
  13.1      0.6      167.1      12   10.00   0.010    4.8ms    993     3
  13.6      0.7      165.1      12   10.02   0.010    4.8ms    993     3
  14.1      0.7      135.2      13   10.00   0.010    4.8ms    993     3
  14.6      0.7      145.1      15    9.99   0.010    4.8ms    993     3
  15.1      0.7      172.7       8   10.00   0.010    4.8ms    993     3
  15.6      0.7      153.0      14    9.99   0.010    4.8ms    993     3
  16.1      0.8      168.9      11   10.01   0.010    4.8ms    993     3
  16.6      0.8      141.1      14    9.99   0.010    4.8ms    993     3
  17.1      0.8      175.0       8   10.00   0.010    4.8ms    993     3
  17.6      0.8      153.0      13    9.99   0.010    4.8ms    993     3
  18.1      0.9      161.1      20   10.02   0.010    4.8ms    993     3
  18.6      0.9      173.0      12    9.99   0.010    4.8ms    993     3
  19.1      0.9      194.8      10   10.02   0.010    4.8ms    993     3
  19.6      0.9      147.0      15    9.99   0.010    4.8ms    993     3
  20.1      1.0      152.9      15   10.00   0.010    4.8ms    993     3
  20.6      1.0      145.1      11   10.02   0.010    4.8ms    993     3
  21.1      1.0      179.0      12   10.00   0.010    4.8ms    993     3
  21.6      1.0      159.0      11    9.99   0.010    4.8ms    993     3
  22.1      1.1      153.0      13   10.01   0.010    4.8ms    993     3
  22.6      1.1      163.1      12   10.00   0.010    4.8ms    993     3
  23.2      1.1      147.1      12    9.99   0.010    4.8ms    993     3
  23.7      1.1      151.1      15   10.00   0.010    4.8ms    993     3
  24.2      1.1      180.9      11   10.01   0.010    4.8ms    993     3
  24.7      1.2      149.0      10    9.99   0.010    4.8ms    993     3
  25.2      1.2      145.2      15   10.00   0.010    4.8ms    993     3
  25.7      1.2      159.0      12   10.01   0.010    4.8ms    993     3
  26.2      1.2      161.1      11    9.99   0.010    4.8ms    993     3
  26.7      1.3      157.1      15   10.00   0.010    4.8ms    993     3
  27.2      1.3      167.0      10    9.99   0.010    4.8ms    993     3
  27.7      1.3      160.9      12   10.01   0.010    4.8ms    993     3
  28.2      1.3      169.1       7   10.00   0.010    4.8ms    993     3
  28.7      1.3      147.1      12    9.99   0.010    4.8ms    993     3
  29.2      1.4      176.9      16   10.01   0.010    4.8ms    993     3
  29.7      1.4      176.9      10    9.99   0.010    4.8ms    993     3
  30.2      1.4      137.1      11   10.01   0.010    4.8ms    993     3
  30.7      1.4      169.1      12   10.00   0.010    4.8ms    993     3
  31.2      1.4      170.9      13    9.99   0.010    4.8ms    993     3
  31.7      1.5      165.0      13   10.01   0.010    4.8ms    993     3
  32.2      1.5      146.9      10   10.00   0.010    4.8ms    993     3
  32.7      1.5      150.9      12    9.96   0.010    4.8ms    993     3
  33.2      1.5      168.8       9   10.03   0.010    4.8ms    993     3
  33.7      1.5      139.1      15   10.01   0.010    4.8ms    993     3
  34.2      1.6      141.2      16    9.99   0.010    4.8ms    993     3
  34.7      1.6      170.8       9    9.96   0.010    4.8ms    993     3
  35.2      1.6      153.0      12   10.04   0.010    4.8ms    993     3
  35.7      1.6      155.0      13    9.99   0.010    4.8ms    993     3
  36.2      1.7      135.2      17   10.02   0.010    4.8ms    993     3
  36.7      1.7      184.9      11    9.99   0.010    4.8ms    993     3
  37.2      1.7      188.8      10    9.99   0.010    4.8ms    993     3
  37.7      1.7      149.1      14   10.02   0.010    4.8ms    993     3
  38.2      1.7      151.0      14    9.99   0.010    4.8ms    993     3
  38.7      1.8      157.1      13   10.00   0.010    4.8ms    993     3
  39.3      1.8      169.0      13    9.99   0.010    4.8ms    993     3
  39.8      1.8      163.0      13   10.02   0.010    4.8ms    993     3
  40.3      1.8      155.1      17    9.99   0.010    4.8ms    993     3
  40.8      1.9      160.9      13   10.01   0.010    4.8ms    993     3
  41.3      1.9      172.9      10    9.99   0.010    4.8ms    993     3
  41.8      1.9      161.0      13    9.99   0.010    4.8ms    993     3
  42.3      1.9      176.9      11    9.99   0.010    4.8ms    993     3
  42.8      1.9      151.1      11   10.02   0.010    4.8ms    993     3
  43.3      2.0      165.0      19    9.99   0.010    4.8ms    993     3
  43.8      2.0      150.8       8   10.00   0.010    4.8ms    993     3
  44.3      2.0      149.1      12    9.99   0.010    4.8ms    993     3
  44.8      2.0      161.0      12   10.01   0.010    4.8ms    993     3
  45.3      2.0      172.9      10    9.99   0.010    4.8ms    993     3
  45.8      2.1      161.0      12   10.01   0.010    4.8ms    993     3
  46.3      2.1      145.1      13    9.99   0.010    4.8ms    993     3
  46.8      2.1      137.1      18   10.01   0.010    4.8ms    993     3
  47.3      2.1      170.9      13    9.99   0.010    4.8ms    993     3
  47.8      2.2      168.9      12    9.99   0.010    4.8ms    993     3
  48.3      2.2      152.9      15   10.01   0.010    4.8ms    993     3
  48.8      2.2      180.9      13    9.99   0.010    4.8ms    993     3
  49.3      2.2      163.0      13    9.99   0.010    4.8ms    993     3
  49.8      2.3      153.1      15   10.02   0.010    4.8ms    993     3
  50.3      2.3      168.9      13    9.99   0.010    4.8ms    993     3
  50.8      2.3      161.1      17   10.02   0.010    4.8ms    993     3
  51.3      2.3      180.8      11    9.96   0.010    4.8ms    993     3
  51.8      2.3      157.0      12   10.01   0.010    4.8ms    993     3
  52.3      2.4      153.1      14   10.02   0.010    4.8ms    993     3
  52.8      2.4      161.0      18    9.99   0.010    4.8ms    993     3
  53.3      2.4      168.7      18    9.98   0.010    4.8ms    993     3
  53.8      2.4      166.9       9    9.99   0.010    4.8ms    993     3
  54.3      2.5      157.0      12   10.04   0.010    4.8ms    993     3
  54.9      2.5      145.2      10   10.00   0.010    4.8ms    993     3
  55.4      2.5      156.9      16   10.01   0.010    4.8ms    993     3
  55.9      2.5      142.9      13   10.00   0.010    4.8ms    993     3
  56.4      2.5      155.0      12    9.99   0.010    4.8ms    993     3
  56.9      2.6      167.0      15   10.02   0.010    4.8ms    993     3
  57.4      2.6      166.8      13    9.98   0.010    4.8ms    993     3
  57.9      2.6      149.0      12    9.99   0.010    4.8ms    993     3
  58.4      2.6      173.0      13   10.02   0.010    4.8ms    993     3
  58.9      2.6      161.0      14    9.99   0.010    4.8ms    993     3
  59.4      2.7      174.9       9   10.01   0.010    4.8ms    993     3
  59.9      2.7      159.0       9    9.99   0.010    4.8ms    993     3
  60.4      2.7      160.9      13   10.01   0.010    4.8ms    993     3
  60.9      2.7      171.0      11    9.99   0.010    4.8ms    993     3
