t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
0.0,0,5.0,5940300.0,600049.533,0.0
1.0,14,5.0,171.4,10.004,15.67
2.0,13,5.0,94.7,9.984,14.58
3.0,16,5.0,97.7,10.007,17.91
4.0,17,5.0,102.7,10.007,19.03
5.0,16,5.0,101.7,9.999,17.92
6.0,15,5.0,131.6,9.987,16.82
7.0,10,5.0,185.4,10.01,11.19
8.0,10,5.0,179.4,10.005,11.19
9.0,11,5.0,147.6,9.988,12.33
10.0,10,5.0,166.5,10.011,11.19
11.0,15,5.0,162.5,9.997,16.81
12.0,13,5.0,169.4,9.995,14.57
13.0,12,5.0,149.5,10.009,13.43
14.0,11,5.0,163.5,9.999,12.32
15.1,12,5.0,162.5,9.997,13.44
16.1,5,5.0,163.5,10.001,5.6
17.1,15,5.0,145.5,10.004,16.79
18.1,18,5.0,145.5,9.985,20.19
19.1,12,5.0,172.5,10.011,13.43
20.1,9,5.0,148.6,9.999,10.08
21.1,12,5.0,159.5,9.998,13.44
22.1,12,5.0,156.5,9.997,13.44
23.1,16,5.0,159.5,10.012,17.9
24.1,11,5.0,171.5,9.999,12.32
25.1,13,5.0,165.5,9.999,14.56
26.1,10,5.0,149.5,9.996,11.2
27.1,12,5.0,169.4,9.983,13.46
28.1,14,5.0,154.6,10.016,15.66
29.1,0,5.0,151.6,10.003,0.0
30.1,16,5.0,168.5,9.997,17.93
31.1,11,5.0,149.6,9.988,12.34
32.1,14,5.0,156.6,10.013,15.66
33.1,14,5.0,162.6,10.002,15.68
34.1,14,5.0,162.5,9.996,15.69
35.1,15,5.0,171.5,9.998,16.8
36.1,10,5.0,156.6,10.004,11.2
37.1,14,5.0,170.5,9.998,15.68
38.1,12,5.0,148.5,9.997,13.44
39.1,13,5.0,158.5,10.01,14.55
40.1,9,5.0,163.5,9.997,10.08
41.1,19,5.0,139.6,9.998,21.29
42.1,16,5.0,155.5,9.997,17.93
43.1,11,5.0,182.5,10.011,12.31
44.1,16,5.0,147.6,9.99,17.94
45.1,13,5.0,162.5,10.009,14.55
46.1,14,5.0,159.6,10.001,15.68
47.1,14,5.0,167.6,9.991,15.69
48.2,14,5.0,164.4,10.005,15.67
49.2,17,5.0,156.5,10.0,19.04
50.2,10,5.0,161.5,9.997,11.2
51.2,11,5.0,159.5,9.996,12.33
52.2,11,5.0,155.5,9.999,12.32
53.2,14,5.0,152.6,10.003,15.68
54.2,0,5.0,170.5,9.986,0.0
55.2,14,5.0,162.5,10.02,15.65
56.2,11,5.0,169.5,10.001,12.32
57.2,16,5.0,163.4,9.982,17.95
58.2,15,5.0,162.4,10.006,16.79
59.2,12,5.0,158.5,10.008,13.43
60.2,15,5.0,155.5,9.997,16.81
61.2,14,5.0,146.5,9.985,15.7
62.2,15,5.0,158.5,10.023,16.76
63.2,13,5.0,162.5,9.998,14.56
64.2,16,5.0,162.5,9.999,17.92
65.2,17,5.0,171.5,9.997,19.05
66.2,15,5.0,164.4,10.005,16.79
67.2,11,5.0,166.4,9.992,12.33
68.2,10,5.0,162.5,9.997,11.2
69.2,12,5.0,151.5,9.997,13.44
70.2,13,5.0,167.4,10.008,14.55
71.2,12,5.0,156.5,9.995,13.45
72.2,13,5.0,146.6,9.999,14.56
73.2,17,5.0,135.6,10.011,19.02
74.2,15,5.0,167.5,9.985,16.83
75.2,6,5.0,181.4,10.006,6.72
76.2,9,5.0,155.5,10.006,10.07
77.2,9,5.0,147.5,9.998,10.08
78.2,9,5.0,178.4,9.996,10.08
79.2,11,5.0,156.5,10.006,12.31
80.3,15,5.0,159.6,9.989,16.82
81.3,12,5.0,150.5,10.011,13.43
82.3,17,5.0,150.5,9.997,19.05
83.3,14,5.0,151.5,9.986,15.7
84.3,13,5.0,165.4,10.007,14.55
85.3,13,5.0,170.4,10.008,14.55
86.3,17,5.0,154.5,9.984,19.07
87.3,14,5.0,153.4,10.005,15.67
88.3,10,5.0,168.4,10.007,11.19
89.3,12,5.0,159.5,10.007,13.43
90.3,12,5.0,166.5,9.997,13.44
91.3,11,5.0,145.5,9.995,12.33
92.3,14,5.0,154.5,10.006,15.67
93.3,8,5.0,158.5,9.994,8.97
94.3,14,5.0,156.5,9.999,15.68
95.3,12,5.0,165.5,10.0,13.44
96.3,15,5.0,163.5,9.999,16.8
97.3,9,5.0,151.5,9.993,10.09
98.3,15,5.0,163.5,10.011,16.78
99.3,13,5.0,161.5,9.999,14.56
100.3,17,5.0,161.6,10.004,19.03
101.3,13,5.0,156.6,10.001,14.56
102.3,12,5.0,148.5,9.997,13.44
103.3,11,5.0,162.5,9.997,12.32
104.3,10,5.0,145.6,9.999,11.2
105.3,11,5.0,142.6,10.0,12.32
106.3,10,5.0,171.5,10.0,11.2
107.3,13,5.0,153.5,9.998,14.56
108.3,10,5.0,168.4,10.005,11.19
109.3,13,5.0,159.5,9.998,14.56
110.3,8,5.0,160.5,9.986,8.97
111.3,11,5.0,150.5,10.022,12.29
112.4,13,5.0,151.6,10.0,14.56
113.4,10,5.0,177.4,9.997,11.2
114.4,11,5.0,160.4,9.993,12.33
115.4,14,5.0,166.5,10.011,15.66
116.4,16,5.0,137.6,9.989,17.94
117.4,16,5.0,161.6,10.003,17.92
118.4,11,5.0,154.6,10.0,12.32
119.4,11,5.0,157.5,10.007,12.31
120.4,14,5.0,149.5,9.985,15.7
121.4,12,5.0,161.5,10.012,13.42
122.4,11,5.0,162.6,10.003,12.32
123.4,14,5.0,157.5,9.999,15.68
