t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
0.0,0,0,5.0,1024,1514,994260.0,30006.644,0.0
1.0,0,0,5.0,954,1514,0.0,0.0,0.0
2.0,0,0,5.0,970,1514,0.0,0.0,0.0
3.0,221,334594,5.0,970,1514,0.0,0.177,13984.18
4.0,42,63588,5.0,993,1514,301.0,4.998,94.12
5.0,10,15140,5.0,993,1514,189.3,4.995,22.42
6.0,18,27252,5.0,993,1514,177.4,4.996,40.35
7.0,19,28766,5.0,993,1514,193.3,5.008,42.49
8.0,16,24224,5.0,993,1514,203.0,5.003,35.82
9.0,14,21196,5.0,993,1514,197.3,4.997,31.38
10.0,13,19682,5.0,993,1514,191.2,4.994,29.15
11.0,24,36336,5.0,993,1514,184.3,5.008,53.67
12.1,18,27252,5.0,993,1514,203.3,4.998,40.34
13.1,19,28766,5.0,993,1514,191.3,4.997,42.59
14.1,14,21196,5.0,993,1514,194.2,5.005,31.33
15.1,11,16654,5.0,993,1514,195.4,4.998,24.65
16.1,14,21196,5.0,993,1514,193.3,4.997,31.38
17.1,17,25738,5.0,993,1514,207.8,4.997,38.1
18.1,13,19682,5.0,993,1514,170.4,4.996,29.14
19.1,17,25738,5.0,993,1514,183.4,5.009,38.01
20.1,16,24224,5.0,993,1514,169.9,4.995,35.88
21.1,19,28766,5.0,993,1514,199.0,5.001,42.55
22.1,17,25738,5.0,993,1514,198.2,5.007,38.03
23.1,16,24224,5.0,993,1514,187.9,4.985,35.95
24.1,15,22710,5.0,993,1514,179.1,5.015,33.5
25.1,17,25738,5.0,993,1514,194.1,4.99,38.16
26.1,11,16654,5.0,993,1514,194.8,5.007,24.61
27.1,17,25738,5.0,993,1514,205.9,5.0,38.08
28.1,21,31794,5.0,993,1514,198.4,4.998,47.06
29.1,17,25738,5.0,993,1514,213.2,4.996,38.11
30.1,10,15140,5.0,993,1514,192.1,5.003,22.39
31.1,10,15140,5.0,993,1514,194.3,4.996,22.42
