[recorder] Starting: label=adaptive_red ns=ns_router iface=veth_rs duration=660s
[recorder] Writing to: /home/ammu/ccn-linux-qdisc-study/logs/adaptive_red_recorded.csv
[recorder] t=0.0s bl=0p tgt=5.0ms tp=30006.644Mbps dr=994260.0/s
[recorder] t=10.0s bl=13p tgt=5.0ms tp=4.994Mbps dr=191.2/s
[recorder] t=20.1s bl=16p tgt=5.0ms tp=4.995Mbps dr=169.9/s
[recorder] t=30.1s bl=10p tgt=5.0ms tp=5.003Mbps dr=192.1/s
[recorder] t=40.2s bl=20p tgt=5.0ms tp=5.001Mbps dr=188.1/s
[recorder] t=50.2s bl=20p tgt=5.0ms tp=4.999Mbps dr=198.4/s
[recorder] t=60.3s bl=19p tgt=5.0ms tp=4.998Mbps dr=205.3/s
[recorder] t=70.3s bl=12p tgt=5.0ms tp=4.996Mbps dr=214.2/s
[recorder] t=80.3s bl=20p tgt=5.0ms tp=5.005Mbps dr=198.2/s
[recorder] t=90.4s bl=18p tgt=5.0ms tp=4.989Mbps dr=201.0/s
[recorder] t=100.4s bl=13p tgt=5.0ms tp=4.997Mbps dr=205.3/s
[recorder] t=110.5s bl=17p tgt=5.0ms tp=5.005Mbps dr=204.1/s
[recorder] t=120.5s bl=10p tgt=5.0ms tp=4.997Mbps dr=188.9/s
[recorder] t=130.6s bl=16p tgt=5.0ms tp=4.994Mbps dr=201.7/s
[recorder] t=140.6s bl=18p tgt=5.0ms tp=4.993Mbps dr=203.6/s
[recorder] t=150.6s bl=12p tgt=5.0ms tp=5.0Mbps dr=210.9/s
[recorder] t=160.7s bl=21p tgt=5.0ms tp=5.001Mbps dr=172.1/s
[recorder] t=170.7s bl=9p tgt=5.0ms tp=5.005Mbps dr=181.2/s
[recorder] t=180.8s bl=20p tgt=5.0ms tp=5.005Mbps dr=177.2/s
[recorder] t=190.8s bl=19p tgt=5.0ms tp=5.01Mbps dr=201.3/s
[recorder] t=200.9s bl=13p tgt=5.0ms tp=4.996Mbps dr=178.3/s
[recorder] t=210.9s bl=18p tgt=5.0ms tp=5.003Mbps dr=187.1/s
[recorder] t=221.0s bl=20p tgt=5.0ms tp=4.998Mbps dr=199.9/s
[recorder] t=231.0s bl=17p tgt=5.0ms tp=4.996Mbps dr=197.8/s
[recorder] t=241.1s bl=22p tgt=5.0ms tp=5.007Mbps dr=194.8/s
[recorder] t=251.1s bl=17p tgt=5.0ms tp=4.997Mbps dr=197.8/s
[recorder] t=261.1s bl=16p tgt=5.0ms tp=5.002Mbps dr=194.1/s
[recorder] t=271.2s bl=25p tgt=5.0ms tp=5.006Mbps dr=203.2/s
[recorder] t=281.2s bl=17p tgt=5.0ms tp=4.997Mbps dr=202.3/s
[recorder] t=291.3s bl=13p tgt=5.0ms tp=5.007Mbps dr=209.7/s
[recorder] t=301.3s bl=15p tgt=5.0ms tp=4.995Mbps dr=202.2/s
[recorder] t=311.4s bl=16p tgt=5.0ms tp=5.009Mbps dr=201.3/s
[recorder] t=321.4s bl=15p tgt=5.0ms tp=4.997Mbps dr=190.4/s
[recorder] t=331.4s bl=22p tgt=5.0ms tp=4.999Mbps dr=204.4/s
[recorder] t=341.5s bl=17p tgt=5.0ms tp=5.009Mbps dr=199.3/s
[recorder] t=351.5s bl=20p tgt=5.0ms tp=4.998Mbps dr=191.4/s
[recorder] t=361.5s bl=20p tgt=5.0ms tp=5.002Mbps dr=196.0/s
[recorder] t=371.6s bl=17p tgt=5.0ms tp=5.009Mbps dr=186.4/s
[recorder] t=381.6s bl=18p tgt=5.0ms tp=4.997Mbps dr=201.3/s
[recorder] t=391.7s bl=17p tgt=5.0ms tp=4.999Mbps dr=204.4/s
[recorder] t=401.7s bl=22p tgt=5.0ms tp=4.995Mbps dr=188.3/s
[recorder] t=411.7s bl=16p tgt=5.0ms tp=5.006Mbps dr=205.2/s
[recorder] t=421.8s bl=11p tgt=5.0ms tp=4.998Mbps dr=198.3/s
[recorder] t=431.8s bl=13p tgt=5.0ms tp=4.996Mbps dr=202.3/s
[recorder] t=441.9s bl=26p tgt=5.0ms tp=4.998Mbps dr=196.4/s
[recorder] t=451.9s bl=7p tgt=5.0ms tp=4.996Mbps dr=196.3/s
[recorder] t=462.0s bl=18p tgt=5.0ms tp=5.011Mbps dr=191.9/s
[recorder] t=472.0s bl=18p tgt=5.0ms tp=5.006Mbps dr=204.2/s
[recorder] t=482.0s bl=13p tgt=5.0ms tp=5.004Mbps dr=211.0/s
[recorder] t=492.1s bl=15p tgt=5.0ms tp=5.007Mbps dr=198.2/s
[recorder] t=502.1s bl=13p tgt=5.0ms tp=4.997Mbps dr=183.4/s
[recorder] t=512.2s bl=19p tgt=5.0ms tp=5.003Mbps dr=189.1/s
[recorder] t=522.2s bl=12p tgt=5.0ms tp=4.993Mbps dr=204.1/s
[recorder] t=532.2s bl=20p tgt=5.0ms tp=5.003Mbps dr=175.2/s
[recorder] t=542.3s bl=16p tgt=5.0ms tp=5.0Mbps dr=202.9/s
[recorder] t=552.3s bl=13p tgt=5.0ms tp=5.007Mbps dr=198.2/s
[recorder] t=562.4s bl=20p tgt=5.0ms tp=4.99Mbps dr=180.1/s
[recorder] t=572.4s bl=16p tgt=5.0ms tp=5.004Mbps dr=196.1/s
[recorder] t=582.5s bl=17p tgt=5.0ms tp=4.998Mbps dr=202.3/s
[recorder] t=592.5s bl=18p tgt=5.0ms tp=4.997Mbps dr=196.3/s
[recorder] t=602.5s bl=18p tgt=5.0ms tp=4.998Mbps dr=188.4/s
