t,state,old_target,new_target,old_limit,new_limit,reason
4.54,HEAVY,4,3.6,828,745,mult-decrease β=0.9
9.59,HEAVY,3.6,3.24,745,670,mult-decrease β=0.9
14.64,HEAVY,3.24,2.9160000000000004,670,603,mult-decrease β=0.9
19.69,HEAVY,2.9160000000000004,2.6244000000000005,603,542,mult-decrease β=0.9
24.75,HEAVY,2.6244000000000005,2.3619600000000007,542,487,mult-decrease β=0.9
29.80,HEAVY,2.3619600000000007,2.1257640000000007,487,438,mult-decrease β=0.9
34.86,HEAVY,2.1257640000000007,1.9131876000000005,438,394,mult-decrease β=0.9
39.91,HEAVY,1.9131876000000005,1.7218688400000006,394,354,mult-decrease β=0.9
44.96,HEAVY,1.7218688400000006,1.5496819560000006,354,318,mult-decrease β=0.9
50.00,HEAVY,1.5496819560000006,1.3947137604000006,318,286,mult-decrease β=0.9
55.04,HEAVY,1.3947137604000006,1.2552423843600007,286,257,mult-decrease β=0.9
60.08,HEAVY,1.2552423843600007,1.1297181459240007,257,256,mult-decrease β=0.9
65.13,HEAVY,1.1297181459240007,1.0167463313316005,256,256,mult-decrease β=0.9
70.17,HEAVY,1.0167463313316005,1,256,256,mult-decrease β=0.9
