t,state,reason,old_target,new_target,old_limit,new_limit
4.06,HEAVY,mult-decrease β=0.9,5.00,4.50,1024,921
7.10,HEAVY,mult-decrease β=0.9,4.50,4.05,921,829
10.14,HEAVY,mult-decrease β=0.9,4.05,3.65,829,746
13.17,HEAVY,mult-decrease β=0.9,3.65,3.28,746,671
16.19,HEAVY,mult-decrease β=0.9,3.28,2.95,671,604
19.27,HEAVY,mult-decrease β=0.9,2.95,2.66,604,544
22.36,HEAVY,mult-decrease β=0.9,2.66,2.39,544,489
25.39,HEAVY,mult-decrease β=0.9,2.39,2.15,489,440
28.43,HEAVY,mult-decrease β=0.9,2.15,1.94,440,396
31.45,HEAVY,mult-decrease β=0.9,1.94,1.74,396,357
34.51,HEAVY,mult-decrease β=0.9,1.74,1.57,357,321
37.54,HEAVY,mult-decrease β=0.9,1.57,1.41,321,289
40.58,HEAVY,mult-decrease β=0.9,1.41,1.27,289,260
43.63,HEAVY,mult-decrease β=0.9,1.27,1.14,260,256
46.67,HEAVY,mult-decrease β=0.9,1.14,1.03,256,256
49.71,HEAVY,mult-decrease β=0.9,1.03,1.00,256,256
52.74,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
55.78,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
58.82,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
61.86,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
64.90,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
67.94,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
70.97,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
74.01,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
77.04,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
80.08,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
83.11,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
86.14,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
89.17,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
92.22,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
95.27,NORMAL,add-increase α=0.5,1.00,1.50,256,288
98.31,NORMAL,add-increase α=0.5,1.50,2.00,288,320
101.35,NORMAL,add-increase α=0.5,2.00,2.50,320,352
104.40,HEAVY,mult-decrease β=0.9,2.50,2.25,352,316
107.45,HEAVY,mult-decrease β=0.9,2.25,2.02,316,285
110.48,HEAVY,mult-decrease β=0.9,2.02,1.82,285,256
113.52,HEAVY,mult-decrease β=0.9,1.82,1.64,256,256
116.65,HEAVY,mult-decrease β=0.9,1.64,1.48,256,256
119.68,HEAVY,mult-decrease β=0.9,1.48,1.33,256,256
122.72,HEAVY,mult-decrease β=0.9,1.33,1.20,256,256
125.76,HEAVY,mult-decrease β=0.9,1.20,1.08,256,256
132.05,HEAVY,mult-decrease β=0.9,1.08,1.00,256,256
135.09,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
138.38,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
141.44,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
