========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns1  iface=veth1  duration=930s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
────────────────────────────────────────────────────────────────────────
   0.0      0.9     2069.7     430   10.00   0.045    4.6ms    954     1
   0.5      1.7     4606.7     396   10.00   0.040    4.6ms    954     1
   1.0      2.3     3615.2     329   10.00   0.035    4.7ms    970     2
   1.5      3.1     3347.2     379   10.00   0.030    4.7ms    970     2
   2.0      3.7     4110.7     323   10.01   0.025    4.7ms    970     2
   2.5      4.5     4004.0     396   10.00   0.020    4.8ms    993     3
   3.0      5.3     3473.1     423    9.99   0.015    4.8ms    993     3
   3.5      6.0     3893.9     348   10.01   0.010    4.8ms    993     3
   4.0      6.8     4021.4     379    9.99   0.010    4.8ms    993     3
   4.6      7.5     2766.4     372   10.00   0.010    4.8ms    993     3
   5.1      8.3     3303.9     405   10.00   0.010    4.8ms    993     3
   5.6      9.0     3809.1     372   10.00   0.010    4.8ms    993     3
   6.1      9.7     4071.0     368    9.99   0.010    4.8ms    993     3
   6.6     10.4     3951.8     356   10.01   0.010    4.8ms    993     3
   7.1     11.2     4305.1     420   10.00   0.010    4.8ms    993     3
   7.6     12.0     3764.2     373   10.00   0.010    4.8ms    993     3
   8.1     12.7     3244.7     395   10.00   0.010    4.8ms    993     3
   8.6     12.7     3531.8       0   10.00   0.010    4.8ms    993     3
   9.1     13.5     3913.8     417   10.00   0.010    4.8ms    993     3
   9.6     14.4     4184.5     452   10.00   0.010    4.8ms    993     3
  10.1     15.2     4704.9     411    9.99   0.010    4.8ms    993     3
  10.6     15.9     4228.6     374   10.00   0.010    4.8ms    993     3
  11.1     16.7     3897.5     401   10.00   0.010    4.8ms    993     3
  11.6     17.4     3508.5     366   10.00   0.010    4.8ms    993     3
  12.1     18.1     4018.1     381   10.00   0.010    4.8ms    993     3
  12.6     18.9     4087.4     399   10.00   0.010    4.8ms    993     3
  13.1     19.7     4303.9     427   10.00   0.010    4.8ms    993     3
  13.6     20.4     4584.2     394   10.00   0.010    4.8ms    993     3
  14.1     21.1     4171.2     371   10.00   0.010    4.8ms    993     3
  14.6     21.8     4182.4     378   10.00   0.010    4.8ms    993     3
  15.1     22.6     3808.8     428   10.00   0.010    4.8ms    993     3
  15.6     23.4     3816.5     380    9.99   0.010    4.8ms    993     3
  16.2     24.1     4513.8     409   10.01   0.010    4.8ms    993     3
  16.7     24.8     4745.9     336   10.00   0.010    4.8ms    993     3
  17.2     25.6     4402.4     427   10.00   0.010    4.8ms    993     3
  17.7     26.3     4424.2     392   10.00   0.010    4.8ms    993     3
  18.2     27.1     4206.5     415   10.00   0.010    4.8ms    993     3
  18.7     27.8     4125.0     412   10.00   0.010    4.8ms    993     3
  19.2     28.5     4020.5     362   10.00   0.010    4.8ms    993     3
  19.7     29.3     4264.8     424   10.01   0.010    4.8ms    993     3
  20.2     30.0     4216.6     391   10.00   0.010    4.8ms    993     3
  20.7     30.7     4106.3     355   10.00   0.010    4.8ms    993     3
  21.2     31.3     4206.7     367   10.00   0.020    4.8ms    993     3
  21.7     32.0     4577.3     365   10.00   0.020    4.8ms    993     3
  22.2     32.7     4739.7     393    9.99   0.020    4.8ms    993     3
  22.7     33.5     4472.2     394   10.01   0.020    4.8ms    993     3
  23.2     34.1     4118.1     347    9.99   0.020    4.8ms    993     3
  23.7     34.9     4333.8     421   10.01   0.020    4.8ms    993     3
  24.2     35.4     4673.8     310    9.99   0.020    4.8ms    993     3
  24.7     36.1     4220.8     375   10.01   0.020    4.8ms    993     3
  25.2     36.7     3734.0     353   10.00   0.020    4.8ms    993     3
  25.7     37.4     2944.5     366   10.00   0.030    4.8ms    977     4
  26.2     38.1     2681.4     413   10.00   0.030    4.8ms    977     4
  26.7     38.8     3036.5     369   10.01   0.030    4.8ms    977     4
  27.2     39.5     3779.9     383   10.00   0.030    4.8ms    977     4
  27.8     40.2     4141.4     384   10.00   0.030    4.8ms    977     4
  28.3     40.8     4759.5     359   10.00   0.030    4.8ms    977     4
  28.8     41.5     5583.1     372   10.00   0.030    4.8ms    977     4
  29.3     42.2     4645.3     389   10.00   0.030    4.8ms    977     4
  29.8     42.9     2838.5     396   10.00   0.040    4.8ms    977     4
  30.3     43.5     3127.6     364    9.99   0.040    4.8ms    977     4
  30.8     44.3     3751.4     413   10.00   0.040    4.8ms    977     4
  31.3     45.0     4179.3     411   10.01   0.040    4.8ms    977     4
  31.8     45.6     4014.4     356   10.00   0.040    4.8ms    977     4
  32.3     46.3     3667.6     379   10.00   0.040    4.8ms    977     4
  32.8     47.0     3548.3     407   10.00   0.040    4.8ms    977     4
  33.3     47.6     4021.2     354   10.00   0.040    4.8ms    977     4
  33.8     48.3     4430.0     412   10.00   0.050    4.6ms    947     5
  34.3     48.2     4603.8       0   10.00   0.050    4.6ms    947     5
  34.8     48.9     4474.8     366   10.00   0.050    4.6ms    947     5
  35.3     49.6     4796.7     387   10.00   0.050    4.6ms    947     5
  35.8     50.3     4039.5     418   10.00   0.050    4.6ms    947     5
  36.3     51.1     4419.3     452   10.00   0.050    4.6ms    947     5
  36.8     51.8     4791.6     401   10.00   0.050    4.6ms    947     5
  37.3     52.4     4534.6     371   10.00   0.050    4.6ms    947     5
  37.8     53.0     4041.4     356   10.00   0.050    4.6ms    947     5
  38.3     53.7     4577.4     389   10.00   0.060    4.5ms    931     6
  38.9     54.5     3864.4     464   10.00   0.060    4.5ms    931     6
  39.4     55.2     4041.8     406   10.01   0.060    4.5ms    931     6
  39.9     55.8     3524.9     354   10.00   0.060    4.5ms    931     6
  40.4     56.5     3525.4     370   10.00   0.060    4.5ms    931     6
  40.9     57.1     4112.4     374   10.00   0.060    4.5ms    931     6
  41.4     57.7     4087.3     378   10.00   0.060    4.5ms    931     6
  41.9     58.5     4724.9     422   10.00   0.060    4.5ms    931     6
  42.4     59.2     5274.3     408   10.00   0.060    4.5ms    931     6
  42.9     59.9     5487.2     420   10.00   0.070    4.5ms    931     6
  43.4     60.6     4728.3     403   10.00   0.070    4.5ms    931     6
  43.9     61.2     3959.4     386   10.01   0.070    4.5ms    931     6
  44.4     61.8     4245.5     366    9.99   0.070    4.5ms    931     6
  44.9     62.5     3406.7     393   10.00   0.070    4.5ms    931     6
  45.4     63.2     3716.0     429   10.00   0.070    4.5ms    931     6
  45.9     64.0     4335.0     440   10.00   0.070    4.5ms    931     6
  46.4     64.7     3848.3     408    9.99   0.070    4.5ms    931     6
  46.9     65.3     3473.7     385   10.00   0.080    4.4ms    901     7
  47.4     66.0     3835.6     428   10.00   0.080    4.4ms    901     7
  47.9     66.7     4523.1     413   10.00   0.080    4.4ms    901     7
  48.4     67.4     4654.6     389   10.00   0.080    4.4ms    901     7
  48.9     68.0     3348.3     370   10.00   0.080    4.4ms    901     7
  49.4     68.6     3155.5     354   10.00   0.080    4.4ms    901     7
