========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=660s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
────────────────────────────────────────────────────────────────────────
   0.0      0.0        0.0       0    0.00   0.045    4.6ms    954     1
   0.5      0.0        0.0       0    0.00   0.040    4.6ms    954     1
   1.0      0.0        0.0       0    0.00   0.035    4.7ms    970     2
   1.5      0.0        0.0       0    0.00   0.030    4.7ms    970     2
   2.0      0.0        0.0       0    0.00   0.025    4.7ms    970     2
   2.5      0.4        0.0     221    0.50   0.020    4.8ms    993     3
   3.0      0.5      533.1      11    5.00   0.015    4.8ms    993     3
   3.5      0.5       77.4      37    5.00   0.010    4.8ms    993     3
   4.0      0.6      196.6       9    5.00   0.010    4.8ms    993     3
   4.5      0.6      170.4      12    4.99   0.010    4.8ms    993     3
   5.0      0.6      185.0      13    5.01   0.010    4.8ms    993     3
   5.5      0.6      174.7      15    4.98   0.010    4.8ms    993     3
   6.1      0.7      194.4      14    5.02   0.010    4.8ms    993     3
   6.6      0.7      188.7      21    4.98   0.010    4.8ms    993     3
   7.1      0.7      206.4      22    5.00   0.010    4.8ms    993     3
   7.6      0.8      204.5      20    5.00   0.010    4.8ms    993     3
   8.1      0.8      194.5      16    5.00   0.010    4.8ms    993     3
   8.6      0.8      198.5       9    5.00   0.010    4.8ms    993     3
   9.1      0.8      192.7      12    5.00   0.010    4.8ms    993     3
   9.6      0.9      186.6      13    5.00   0.010    4.8ms    993     3
  10.1      0.9      182.7      20    5.00   0.010    4.8ms    993     3
  10.6      0.9      190.9      20    4.98   0.010    4.8ms    993     3
  11.1      1.0      200.5      15    5.00   0.010    4.8ms    993     3
  11.6      1.0      204.7      17    5.01   0.010    4.8ms    993     3
  12.1      1.0      196.5      13    5.00   0.010    4.8ms    993     3
  12.6      1.1      196.7      13    5.01   0.010    4.8ms    993     3
  13.1      1.1      188.6      12    5.00   0.010    4.8ms    993     3
  13.6      1.1      188.7      14    5.01   0.010    4.8ms    993     3
  14.1      1.1      196.6      12    4.98   0.010    4.8ms    993     3
  14.6      1.2      188.6      15    5.00   0.010    4.8ms    993     3
  15.1      1.2      192.7      16    5.00   0.010    4.8ms    993     3
  15.6      1.2      194.2      21    4.99   0.010    4.8ms    993     3
  16.1      1.3      210.2      18    5.02   0.010    4.8ms    993     3
  16.6      1.3      216.4      15    5.00   0.010    4.8ms    993     3
  17.1      1.3      148.8      19    5.00   0.010    4.8ms    993     3
  17.6      1.3      182.5      14    5.00   0.010    4.8ms    993     3
  18.1      1.4      184.7      14    5.00   0.010    4.8ms    993     3
  18.6      1.4      176.7      17    5.00   0.010    4.8ms    993     3
  19.1      1.4      164.3      18    4.99   0.010    4.8ms    993     3
  19.7      1.5      190.3      15    4.99   0.010    4.8ms    993     3
  20.2      1.5      194.2       0    5.02   0.010    4.8ms    993     3
  20.7      1.5      196.3      19    5.00   0.010    4.8ms    993     3
  21.2      1.5      218.1      14    4.99   0.010    4.8ms    993     3
  21.7      1.6      188.8      18    5.01   0.010    4.8ms    993     3
  22.2      1.6      196.5      16    5.00   0.010    4.8ms    993     3
  22.7      1.6      168.0      12    4.98   0.010    4.8ms    993     3
  23.2      1.6      170.7      17    5.02   0.010    4.8ms    993     3
  23.7      1.7      188.4      19    5.00   0.010    4.8ms    993     3
  24.2      1.7      210.1      20    4.99   0.010    4.8ms    993     3
  24.7      1.7      178.7      19    5.00   0.010    4.8ms    993     3
  25.2      1.8      162.5      19    4.99   0.010    4.8ms    993     3
  25.7      1.8      226.2      14    5.00   0.010    4.8ms    993     3
  26.2      1.8      213.4      16    5.00   0.010    4.8ms    993     3
  26.7      1.9      214.5      16    5.00   0.010    4.8ms    993     3
  27.2      1.9      186.7      20    5.00   0.010    4.8ms    993     3
  27.7      1.9      220.3      13    5.00   0.010    4.8ms    993     3
  28.2      1.9      194.4      16    5.00   0.010    4.8ms    993     3
  28.7      2.0      208.1      12    4.99   0.010    4.8ms    993     3
  29.2      2.0      182.2      16    5.01   0.010    4.8ms    993     3
  29.7      2.0      188.3      16    4.99   0.010    4.8ms    993     3
  30.2      2.0      210.2       9    5.00   0.010    4.8ms    993     3
  30.7      2.1      180.6      15    5.00   0.010    4.8ms    993     3
  31.3      2.1      194.4      16    5.00   0.010    4.8ms    993     3
  31.8      2.1      200.5      22    5.00   0.010    4.8ms    993     3
  32.3      2.2      186.0      19    5.01   0.010    4.8ms    993     3
  32.8      2.2      190.5      22    5.00   0.010    4.8ms    993     3
  33.3      2.2      196.7      21    5.01   0.010    4.8ms    993     3
  33.8      2.3      216.3      14    5.00   0.010    4.8ms    993     3
