t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,105.2,17,10.003,0.045,4.64,954
0.51,0.1,166.0,11,10.006,0.04,4.64,954
1.01,0.1,184.8,9,9.991,0.035,4.72,970
1.52,0.1,173.9,10,10.002,0.03,4.72,970
2.02,0.1,178.9,15,9.99,0.025,4.72,970
2.52,0.1,192.8,8,10.014,0.02,4.84,993
3.03,0.2,130.6,12,9.991,0.015,4.84,993
3.53,0.2,157.0,16,10.015,0.01,4.84,993
4.03,0.2,168.9,9,9.991,0.01,4.84,993
4.54,0.2,162.9,10,10.009,0.01,4.84,993
5.04,0.3,152.9,11,9.983,0.01,4.84,993
5.54,0.3,176.9,13,9.991,0.01,4.84,993
6.05,0.3,178.9,14,10.016,0.01,4.84,993
6.55,0.3,160.9,13,10.011,0.01,4.84,993
7.05,0.4,161.0,17,9.993,0.01,4.84,993
7.56,0.4,133.2,12,9.995,0.01,4.84,993
8.06,0.4,180.8,8,9.988,0.01,4.84,993
8.56,0.4,159.0,9,10.015,0.01,4.84,993
9.07,0.5,143.0,16,9.986,0.01,4.84,993
9.57,0.5,167.0,7,10.014,0.01,4.84,993
10.07,0.5,147.0,14,10.011,0.01,4.84,993
10.58,0.5,165.0,13,9.991,0.01,4.84,993
11.08,0.5,143.1,13,9.993,0.01,4.84,993
11.58,0.6,171.0,16,9.971,0.01,4.84,993
12.08,0.6,139.1,10,10.038,0.01,4.84,993
12.59,0.6,167.0,7,9.993,0.01,4.84,993
13.09,0.6,167.1,12,9.997,0.01,4.84,993
13.59,0.7,165.1,12,10.02,0.01,4.84,993
14.1,0.7,135.2,13,9.996,0.01,4.84,993
14.6,0.7,145.1,15,9.99,0.01,4.84,993
15.1,0.7,172.7,8,10.005,0.01,4.84,993
15.61,0.7,153.0,14,9.989,0.01,4.84,993
16.11,0.8,168.9,11,10.012,0.01,4.84,993
16.61,0.8,141.1,14,9.988,0.01,4.84,993
17.12,0.8,175.0,8,9.997,0.01,4.84,993
17.62,0.8,153.0,13,9.986,0.01,4.84,993
18.12,0.9,161.1,20,10.018,0.01,4.84,993
18.62,0.9,173.0,12,9.993,0.01,4.84,993
19.13,0.9,194.8,10,10.016,0.01,4.84,993
19.63,0.9,147.0,15,9.987,0.01,4.84,993
20.13,1.0,152.9,15,10.003,0.01,4.84,993
20.64,1.0,145.1,11,10.017,0.01,4.84,993
21.14,1.0,179.0,12,9.995,0.01,4.84,993
21.64,1.0,159.0,11,9.988,0.01,4.84,993
22.15,1.1,153.0,13,10.015,0.01,4.84,993
22.65,1.1,163.1,12,9.997,0.01,4.84,993
23.15,1.1,147.1,12,9.993,0.01,4.84,993
23.66,1.1,151.1,15,9.996,0.01,4.84,993
24.16,1.1,180.9,11,10.014,0.01,4.84,993
24.66,1.2,149.0,10,9.987,0.01,4.84,993
25.16,1.2,145.2,15,9.999,0.01,4.84,993
25.67,1.2,159.0,12,10.012,0.01,4.84,993
26.17,1.2,161.1,11,9.994,0.01,4.84,993
26.67,1.3,157.1,15,9.999,0.01,4.84,993
27.18,1.3,167.0,10,9.992,0.01,4.84,993
27.68,1.3,160.9,12,10.006,0.01,4.84,993
28.18,1.3,169.1,7,9.997,0.01,4.84,993
28.69,1.3,147.1,12,9.992,0.01,4.84,993
29.19,1.4,176.9,16,10.015,0.01,4.84,993
29.69,1.4,176.9,10,9.99,0.01,4.84,993
30.2,1.4,137.1,11,10.014,0.01,4.84,993
30.7,1.4,169.1,12,9.998,0.01,4.84,993
31.2,1.4,170.9,13,9.989,0.01,4.84,993
31.7,1.5,165.0,13,10.015,0.01,4.84,993
32.21,1.5,146.9,10,10.002,0.01,4.84,993
32.71,1.5,150.9,12,9.959,0.01,4.84,993
33.21,1.5,168.8,9,10.029,0.01,4.84,993
33.72,1.5,139.1,15,10.013,0.01,4.84,993
34.22,1.6,141.2,16,9.994,0.01,4.84,993
34.72,1.6,170.8,9,9.961,0.01,4.84,993
35.23,1.6,153.0,12,10.039,0.01,4.84,993
35.73,1.6,155.0,13,9.99,0.01,4.84,993
36.23,1.7,135.2,17,10.016,0.01,4.84,993
36.74,1.7,184.9,11,9.994,0.01,4.84,993
37.24,1.7,188.8,10,9.989,0.01,4.84,993
37.74,1.7,149.1,14,10.019,0.01,4.84,993
38.25,1.7,151.0,14,9.987,0.01,4.84,993
38.75,1.8,157.1,13,9.996,0.01,4.84,993
39.25,1.8,169.0,13,9.995,0.01,4.84,993
39.76,1.8,163.0,13,10.017,0.01,4.84,993
40.26,1.8,155.1,17,9.993,0.01,4.84,993
40.76,1.9,160.9,13,10.011,0.01,4.84,993
41.26,1.9,172.9,10,9.989,0.01,4.84,993
41.77,1.9,161.0,13,9.993,0.01,4.84,993
42.27,1.9,176.9,11,9.991,0.01,4.84,993
42.77,1.9,151.1,11,10.018,0.01,4.84,993
43.28,2.0,165.0,19,9.992,0.01,4.84,993
43.78,2.0,150.8,8,9.999,0.01,4.84,993
44.28,2.0,149.1,12,9.994,0.01,4.84,993
44.79,2.0,161.0,12,10.013,0.01,4.84,993
45.29,2.0,172.9,10,9.99,0.01,4.84,993
45.79,2.1,161.0,12,10.014,0.01,4.84,993
46.3,2.1,145.1,13,9.989,0.01,4.84,993
46.8,2.1,137.1,18,10.014,0.01,4.84,993
47.3,2.1,170.9,13,9.99,0.01,4.84,993
47.81,2.2,168.9,12,9.99,0.01,4.84,993
48.31,2.2,152.9,15,10.007,0.01,4.84,993
48.81,2.2,180.9,13,9.995,0.01,4.84,993
49.32,2.2,163.0,13,9.989,0.01,4.84,993
49.82,2.3,153.1,15,10.021,0.01,4.84,993
50.32,2.3,168.9,13,9.988,0.01,4.84,993
50.82,2.3,161.1,17,10.022,0.01,4.84,993
51.33,2.3,180.8,11,9.963,0.01,4.84,993
51.83,2.3,157.0,12,10.013,0.01,4.84,993
52.33,2.4,153.1,14,10.017,0.01,4.84,993
52.84,2.4,161.0,18,9.991,0.01,4.84,993
53.34,2.4,168.7,18,9.978,0.01,4.84,993
53.84,2.4,166.9,9,9.99,0.01,4.84,993
54.35,2.5,157.0,12,10.035,0.01,4.84,993
54.85,2.5,145.2,10,9.996,0.01,4.84,993
55.35,2.5,156.9,16,10.01,0.01,4.84,993
55.86,2.5,142.9,13,10.002,0.01,4.84,993
56.36,2.5,155.0,12,9.988,0.01,4.84,993
56.86,2.6,167.0,15,10.02,0.01,4.84,993
57.37,2.6,166.8,13,9.984,0.01,4.84,993
57.87,2.6,149.0,12,9.989,0.01,4.84,993
58.37,2.6,173.0,13,10.02,0.01,4.84,993
58.88,2.6,161.0,14,9.994,0.01,4.84,993
59.38,2.7,174.9,9,10.012,0.01,4.84,993
59.88,2.7,159.0,9,9.988,0.01,4.84,993
60.39,2.7,160.9,13,10.01,0.01,4.84,993
60.89,2.7,171.0,11,9.993,0.01,4.84,993
61.39,2.7,155.0,14,9.987,0.01,4.84,993
61.89,2.8,170.9,13,10.01,0.01,4.84,993
62.4,2.8,153.0,12,9.966,0.01,4.84,993
62.9,2.8,156.9,14,10.033,0.01,4.84,993
63.4,2.8,160.8,12,10.003,0.01,4.84,993
63.91,2.8,157.0,15,9.989,0.01,4.84,993
64.41,2.9,169.0,12,9.996,0.01,4.84,993
64.91,2.9,155.1,17,10.019,0.01,4.84,993
65.42,2.9,179.0,14,9.997,0.01,4.84,993
65.92,2.9,129.1,12,9.962,0.01,4.84,993
66.42,3.0,137.1,18,10.036,0.01,4.84,993
66.93,3.0,168.8,12,10.006,0.01,4.84,993
67.43,3.0,129.2,10,9.988,0.01,4.84,993
67.93,3.0,166.9,10,10.012,0.01,4.84,993
68.44,3.0,153.0,13,9.99,0.01,4.84,993
68.94,3.0,186.7,13,10.008,0.01,4.84,993
69.44,3.1,168.8,13,9.983,0.01,4.84,993
69.95,3.1,158.9,19,10.005,0.01,4.84,993
70.45,3.1,154.8,15,10.003,0.01,4.84,993
70.95,3.1,172.9,6,10.011,0.01,4.84,993
71.46,3.1,129.2,0,9.989,0.01,4.84,993
71.96,3.1,168.8,10,10.008,0.01,4.84,993
72.46,3.1,143.1,12,9.99,0.01,4.84,993
72.97,3.2,174.8,13,10.009,0.01,4.84,993
73.47,3.2,164.8,16,10.007,0.01,4.84,993
73.97,3.2,172.8,11,9.982,0.01,4.84,993
74.48,3.2,154.9,14,10.009,0.01,4.84,993
74.98,3.2,172.8,9,9.981,0.01,4.84,993
75.48,3.3,129.2,15,10.012,0.01,4.84,993
75.99,3.3,170.9,10,9.988,0.01,4.84,993
76.49,3.3,149.0,8,10.012,0.01,4.84,993
76.99,3.3,150.8,11,10.0,0.01,4.84,993
77.5,3.3,147.0,12,9.986,0.01,4.84,993
78.0,3.3,147.0,12,10.009,0.01,4.84,993
78.51,3.4,180.8,12,9.988,0.01,4.84,993
79.01,3.4,174.8,11,10.011,0.01,4.84,993
79.51,3.4,147.1,15,9.99,0.01,4.84,993
80.02,3.4,170.8,12,10.007,0.01,4.84,993
80.52,3.4,153.1,16,9.994,0.01,4.84,993
81.02,3.5,169.0,13,10.016,0.01,4.84,993
81.52,3.5,149.1,12,9.99,0.01,4.84,993
82.03,3.5,166.9,13,10.014,0.01,4.84,993
82.53,3.5,170.9,14,9.989,0.01,4.84,993
83.03,3.5,143.1,14,10.012,0.01,4.84,993
83.54,3.6,149.0,14,9.989,0.01,4.84,993
84.04,3.6,172.8,16,10.009,0.01,4.84,993
84.54,3.6,162.8,13,10.006,0.01,4.84,993
85.05,3.6,145.1,15,9.992,0.01,4.84,993
85.55,3.6,158.9,14,10.009,0.01,4.84,993
86.05,3.7,143.1,9,9.992,0.01,4.84,993
86.56,3.7,155.0,13,9.987,0.01,4.84,993
87.06,3.7,152.9,14,10.007,0.01,4.84,993
87.56,3.7,159.0,17,9.989,0.01,4.84,993
88.07,3.7,154.9,16,10.008,0.01,4.84,993
88.57,3.8,173.0,16,10.017,0.01,4.84,993
89.07,3.8,178.9,11,9.99,0.01,4.84,993
89.58,3.8,146.9,0,9.978,0.01,4.84,993
90.08,3.8,184.8,7,9.988,0.01,4.84,993
90.58,3.8,149.1,8,10.039,0.01,4.84,993
91.09,3.8,147.1,12,9.993,0.01,4.84,993
