========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
────────────────────────────────────────────────────────────────────────
   0.0      0.0       94.6      12    9.98   0.045    4.6ms    954     1
   0.5      0.0      154.0      13   10.04   0.040    4.6ms    954     1
   1.0      0.1      144.0      13    9.99   0.035    4.7ms    970     2
   1.5      0.1      172.0      15   10.02   0.030    4.7ms    970     2
   2.0      0.1      136.1      13    9.99   0.025    4.7ms    970     2
   2.5      0.2      177.0      15   10.01   0.020    4.8ms    993     3
   3.1      0.2      136.3      10   10.00   0.015    4.8ms    993     3
   3.6      0.2      130.2      16    9.98   0.010    4.8ms    993     3
   4.1      0.2      144.2      12   10.02   0.010    4.8ms    993     3
   4.6      0.3      155.7      13    9.98   0.010    4.8ms    993     3
   5.1      0.3      168.0       9   10.01   0.010    4.8ms    993     3
   5.6      0.3      145.2      12   10.00   0.010    4.8ms    993     3
   6.1      0.3      159.0      11   10.01   0.010    4.8ms    993     3
   6.6      0.4      124.5      17   10.00   0.010    4.8ms    993     3
   7.1      0.4      141.8      13    9.99   0.010    4.8ms    993     3
   7.6      0.4      148.5      11   10.00   0.010    4.8ms    993     3
   8.1      0.4      187.4      11    9.99   0.010    4.8ms    993     3
   8.6      0.5      134.3      17   10.00   0.010    4.8ms    993     3
   9.1      0.5      148.1      17    9.99   0.010    4.8ms    993     3
   9.6      0.5      165.5      13   10.02   0.010    4.8ms    993     3
  10.1      0.5      130.2      13    9.99   0.010    4.8ms    993     3
  10.7      0.6      154.0       8    9.99   0.010    4.8ms    993     3
  11.2      0.6      154.6      14   10.01   0.010    4.8ms    993     3
  11.7      0.6      144.0      12   10.01   0.010    4.8ms    993     3
  12.2      0.6      179.4       9    9.96   0.010    4.8ms    993     3
  12.7      0.6      115.3      14   10.02   0.010    4.8ms    993     3
  13.2      0.7      177.4      12   10.00   0.010    4.8ms    993     3
  13.7      0.7      163.6      12   10.00   0.010    4.8ms    993     3
  14.2      0.7      171.2       9   10.01   0.010    4.8ms    993     3
  14.7      0.7      135.8      12    9.96   0.010    4.8ms    993     3
  15.2      0.7      132.1       8   10.03   0.010    4.8ms    993     3
  15.7      0.8      129.7      14   10.00   0.010    4.8ms    993     3
  16.2      0.8      138.0      14   10.00   0.010    4.8ms    993     3
  16.7      0.8      131.9      16    9.99   0.010    4.8ms    993     3
  17.2      0.9      125.9      17   10.01   0.010    4.8ms    993     3
  17.8      0.9      145.7      11    9.99   0.010    4.8ms    993     3
  18.3      0.9      134.0      15   10.00   0.010    4.8ms    993     3
  18.8      0.9      156.1      14   10.01   0.010    4.8ms    993     3
  19.3      1.0      136.7      15    9.99   0.010    4.8ms    993     3
  19.8      1.0      156.3      11   10.02   0.010    4.8ms    993     3
  20.3      1.0      140.4      15    9.99   0.010    4.8ms    993     3
  20.8      1.0      152.1      11   10.00   0.010    4.8ms    993     3
  21.3      1.1      144.1      16    9.99   0.010    4.8ms    993     3
  21.8      1.1      158.4      15    9.98   0.010    4.8ms    993     3
  22.3      1.1      167.4       8   10.02   0.010    4.8ms    993     3
  22.8      1.1      156.9      16   10.01   0.010    4.8ms    993     3
  23.3      1.2      150.5      17   10.00   0.010    4.8ms    993     3
  23.8      1.2      172.7       8   10.00   0.010    4.8ms    993     3
  24.3      1.2      148.0      13    9.99   0.010    4.8ms    993     3
  24.8      1.2      168.9      14   10.01   0.010    4.8ms    993     3
  25.3      1.3      145.1      11    9.99   0.010    4.8ms    993     3
  25.8      1.3      143.0      11   10.01   0.010    4.8ms    993     3
  26.3      1.3      139.1       7    9.99   0.010    4.8ms    993     3
  26.8      1.3      147.1      13   10.01   0.010    4.8ms    993     3
  27.3      1.3      119.2      15    9.98   0.010    4.8ms    993     3
  27.9      1.4      168.9      11   10.01   0.010    4.8ms    993     3
  28.4      1.4      151.1      15    9.99   0.010    4.8ms    993     3
  28.9      1.4      168.8      10   10.01   0.010    4.8ms    993     3
  29.4      1.4      163.0       8    9.99   0.010    4.8ms    993     3
  29.9      1.4      147.7      12    9.99   0.010    4.8ms    993     3
  30.4      1.5      164.2      13   10.02   0.010    4.8ms    993     3
  30.9      1.5      125.2      13    9.99   0.010    4.8ms    993     3
  31.4      1.5      141.1      12    9.99   0.010    4.8ms    993     3
  31.9      1.5      168.9      12   10.01   0.010    4.8ms    993     3
  32.4      1.6      155.0      18   10.01   0.010    4.8ms    993     3
  32.9      1.6      139.1      13    9.99   0.010    4.8ms    993     3
  33.4      1.6      177.0      15    9.99   0.010    4.8ms    993     3
  33.9      1.6      137.1      15    9.99   0.010    4.8ms    993     3
  34.4      1.7      131.2      14   10.01   0.010    4.8ms    993     3
  34.9      1.7      156.7      14   10.00   0.010    4.8ms    993     3
  35.4      1.7      148.9       9   10.00   0.010    4.8ms    993     3
  35.9      1.7      145.2      13   10.00   0.010    4.8ms    993     3
  36.4      1.7      163.0      15   10.02   0.010    4.8ms    993     3
  36.9      1.8      163.0      11    9.99   0.010    4.8ms    993     3
  37.4      1.8      149.0      13   10.01   0.010    4.8ms    993     3
  37.9      1.8      184.9       8    9.99   0.010    4.8ms    993     3
  38.4      1.8      135.2      14    9.99   0.010    4.8ms    993     3
  38.9      1.8      149.0      12   10.01   0.010    4.8ms    993     3
  39.4      1.9      135.1      10    9.99   0.010    4.8ms    993     3
  39.9      1.9      153.0      16   10.01   0.010    4.8ms    993     3
  40.4      1.9      137.1      14    9.99   0.010    4.8ms    993     3
  40.9      1.9      159.0      10   10.01   0.010    4.8ms    993     3
  41.4      1.9      157.1      14    9.99   0.010    4.8ms    993     3
  41.9      2.0      131.3      15   10.00   0.010    4.8ms    993     3
  42.5      2.0      139.1      17    9.99   0.010    4.8ms    993     3
  43.0      2.0      166.9      11   10.01   0.010    4.8ms    993     3
  43.5      2.0      137.1      13    9.99   0.010    4.8ms    993     3
  44.0      2.1      152.9      12   10.00   0.010    4.8ms    993     3
  44.5      2.1      129.1      16   10.01   0.010    4.8ms    993     3
  45.0      2.1      136.9      17   10.00   0.010    4.8ms    993     3
  45.5      2.1      157.0      13    9.99   0.010    4.8ms    993     3
  46.0      2.2      143.1      11   10.02   0.010    4.8ms    993     3
  46.5      2.2      133.0      13    9.98   0.010    4.8ms    993     3
  47.0      2.2      137.1      10   10.01   0.010    4.8ms    993     3
