t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
0.0,0,5.0,24612200.0,1800125.553,0.0
1.0,12,5.0,208.4,10.012,13.42
2.0,14,5.0,151.5,10.008,15.67
3.0,13,5.0,168.5,9.999,14.56
4.0,14,5.0,154.5,9.995,15.69
5.0,14,5.0,152.5,9.983,15.71
6.0,11,5.0,163.5,10.021,12.29
7.0,17,5.0,157.5,9.986,19.07
8.0,14,5.0,168.4,10.007,15.67
9.0,10,5.0,143.6,9.997,11.2
10.0,12,5.0,162.4,10.007,13.43
11.0,11,5.0,152.4,10.004,12.32
12.0,13,5.0,162.5,9.998,14.56
13.0,10,5.0,177.5,9.998,11.2
14.0,9,5.0,166.5,9.998,10.08
15.1,11,5.0,156.5,9.999,12.32
16.1,12,5.0,180.4,10.009,13.43
17.1,10,5.0,152.6,10.0,11.2
18.1,14,5.0,167.4,9.994,15.69
19.1,10,5.0,160.6,10.003,11.2
20.1,15,5.0,147.6,10.001,16.8
21.1,14,5.0,171.5,9.998,15.68
22.1,15,5.0,168.5,9.996,16.81
23.1,17,5.0,163.5,10.008,19.03
24.1,16,5.0,161.5,10.0,17.92
25.1,13,5.0,165.4,9.995,14.57
26.1,12,5.0,158.5,9.998,13.44
27.1,10,5.0,159.5,9.986,11.22
28.1,10,5.0,165.5,10.011,11.19
29.1,4,5.0,171.4,10.008,4.48
30.1,16,5.0,155.5,9.985,17.95
31.1,15,5.0,176.4,10.009,16.79
32.1,17,5.0,162.5,9.985,19.07
33.1,15,5.0,152.5,10.009,16.79
34.1,14,5.0,158.4,10.005,15.67
35.1,13,5.0,168.5,9.999,14.56
36.1,15,5.0,154.6,10.0,16.8
37.1,12,5.0,151.6,9.99,13.45
38.1,0,5.0,166.5,9.997,0.0
39.1,13,5.0,160.4,10.018,14.53
40.1,16,5.0,165.4,9.983,17.95
41.1,9,5.0,164.5,10.02,10.06
42.1,13,5.0,147.6,10.001,14.56
43.1,9,5.0,179.5,10.0,10.08
44.1,15,5.0,157.5,9.998,16.8
45.1,11,5.0,165.5,9.996,12.33
46.1,9,5.0,156.5,10.0,10.08
47.2,14,5.0,157.5,9.998,15.68
48.2,12,5.0,174.5,10.011,13.43
49.2,16,5.0,174.5,9.998,17.92
50.2,10,5.0,168.4,9.996,11.2
51.2,10,5.0,165.5,9.997,11.2
52.2,9,5.0,164.4,10.006,10.07
53.2,16,5.0,153.5,9.997,17.93
54.2,12,5.0,160.5,10.007,13.43
55.2,12,5.0,168.5,9.999,13.44
56.2,14,5.0,140.6,10.001,15.68
57.2,13,5.0,165.5,9.998,14.56
58.2,13,5.0,165.5,9.998,14.56
59.2,10,5.0,162.5,9.999,11.2
60.2,11,5.0,169.4,9.981,12.34
61.2,9,5.0,185.5,10.023,10.06
62.2,10,5.0,184.4,9.983,11.22
63.2,9,5.0,167.5,10.008,10.07
64.2,16,5.0,165.4,9.995,17.93
65.2,13,5.0,168.5,10.012,14.54
66.2,11,5.0,170.5,9.988,12.33
67.2,14,5.0,154.5,10.007,15.67
68.2,0,5.0,160.5,9.998,0.0
69.2,9,5.0,172.5,10.009,10.07
70.2,15,5.0,163.5,9.998,16.8
71.2,11,5.0,171.5,9.998,12.32
72.2,8,5.0,167.5,9.986,8.97
73.2,13,5.0,175.4,10.007,14.55
74.2,14,5.0,161.5,10.007,15.67
75.2,17,5.0,150.5,9.998,19.04
76.2,7,5.0,177.4,10.005,7.84
77.2,13,5.0,164.4,9.99,14.57
78.3,14,5.0,164.4,9.993,15.69
79.3,14,5.0,164.5,10.011,15.66
80.3,11,5.0,161.4,9.994,12.33
81.3,11,5.0,158.4,10.006,12.31
82.3,14,5.0,162.5,9.999,15.68
83.3,10,5.0,175.4,9.984,11.22
84.3,12,5.0,170.5,10.014,13.42
85.3,10,5.0,165.5,10.008,11.19
86.3,10,5.0,159.4,9.994,11.21
87.3,14,5.0,151.5,10.005,15.67
88.3,7,5.0,177.4,9.998,7.84
89.3,16,5.0,164.5,9.999,17.92
90.3,15,5.0,157.6,10.0,16.8
91.3,10,5.0,162.5,9.985,11.22
92.3,12,5.0,169.5,10.013,13.42
93.3,12,5.0,168.4,10.006,13.43
94.3,10,5.0,174.5,9.999,11.2
95.3,16,5.0,172.4,9.994,17.93
96.3,12,5.0,165.5,9.997,13.44
97.3,8,5.0,157.5,9.997,8.96
98.3,0,5.0,148.5,10.007,0.0
99.3,6,5.0,177.5,9.998,6.72
100.3,14,5.0,171.3,10.002,15.68
101.3,11,5.0,179.3,10.004,12.32
102.3,12,5.0,170.4,9.993,13.45
103.3,15,5.0,153.6,10.003,16.79
104.3,10,5.0,170.6,10.003,11.2
105.3,16,5.0,159.5,9.998,17.92
106.3,12,5.0,165.5,9.999,13.44
107.3,7,5.0,171.5,9.986,7.85
108.3,12,5.0,156.5,10.019,13.41
109.3,13,5.0,169.5,9.997,14.56
110.4,12,5.0,168.5,10.001,13.44
111.4,10,5.0,170.5,10.001,11.2
112.4,13,5.0,155.5,10.0,14.56
113.4,0,5.0,171.5,10.0,0.0
114.4,13,5.0,178.5,10.001,14.56
115.4,11,5.0,160.5,9.998,12.32
116.4,12,5.0,167.5,9.988,13.46
117.4,14,5.0,169.5,10.01,15.66
118.4,12,5.0,170.5,9.997,13.44
119.4,8,5.0,161.4,10.007,8.95
120.4,12,5.0,170.5,9.997,13.44
121.4,12,5.0,158.5,9.996,13.44
122.4,16,5.0,174.5,10.0,17.92
123.4,13,5.0,169.4,10.008,14.55
124.4,5,5.0,165.5,9.997,5.6
125.4,16,5.0,157.5,10.0,17.92
126.4,15,5.0,150.5,9.996,16.81
127.4,14,5.0,156.5,9.997,15.68
128.4,12,5.0,150.5,10.008,13.43
129.4,14,5.0,160.5,9.996,15.69
130.4,10,5.0,169.5,9.999,11.2
131.4,0,5.0,157.5,9.988,0.0
132.4,14,5.0,156.5,10.02,15.65
133.4,11,5.0,161.5,9.996,12.32
134.4,12,5.0,160.5,9.985,13.46
135.4,14,5.0,168.4,10.008,15.67
136.4,15,5.0,171.5,10.0,16.8
137.4,12,5.0,164.5,10.011,13.43
138.4,11,5.0,154.4,9.981,12.34
139.4,9,5.0,155.5,10.009,10.07
140.4,14,5.0,174.4,10.007,15.67
141.4,11,5.0,167.5,9.997,12.32
142.5,18,5.0,160.5,9.997,20.17
143.5,14,5.0,156.5,9.987,15.7
144.5,8,5.0,169.4,10.02,8.94
145.5,11,5.0,139.6,9.998,12.32
146.5,13,5.0,163.5,9.997,14.56
147.5,14,5.0,160.5,9.998,15.68
148.5,12,5.0,151.5,10.008,13.43
149.5,8,5.0,174.5,10.0,8.96
150.5,11,5.0,153.5,9.998,12.32
151.5,12,5.0,182.4,9.994,13.45
152.5,12,5.0,173.5,9.999,13.44
153.5,10,5.0,177.5,10.01,11.19
154.5,13,5.0,156.5,9.999,14.56
155.5,14,5.0,157.5,9.997,15.68
156.5,12,5.0,170.6,10.005,13.43
157.5,15,5.0,170.5,9.997,16.8
158.5,12,5.0,177.4,9.995,13.45
159.5,0,5.0,160.5,9.997,0.0
160.5,12,5.0,175.5,9.987,13.46
161.5,7,5.0,160.5,10.023,7.82
162.5,13,5.0,160.5,9.996,14.57
163.5,13,5.0,148.6,9.999,14.56
164.5,13,5.0,163.5,9.998,14.56
165.5,11,5.0,169.5,9.999,12.32
166.5,10,5.0,174.5,10.001,11.2
167.5,11,5.0,163.5,9.986,12.34
168.5,13,5.0,158.5,10.02,14.53
169.5,12,5.0,138.6,9.988,13.46
170.5,11,5.0,162.5,10.01,12.31
171.5,15,5.0,149.5,9.998,16.8
172.5,15,5.0,169.5,9.988,16.82
173.5,16,5.0,167.5,10.01,17.9
174.5,12,5.0,161.5,9.999,13.44
175.6,0,5.0,175.4,9.984,0.0
176.6,11,5.0,155.5,10.022,12.29
177.6,10,5.0,175.5,9.999,11.2
178.6,16,5.0,148.5,9.996,17.93
179.6,16,5.0,165.5,9.996,17.93
180.6,12,5.0,172.4,10.004,13.43
181.6,11,5.0,159.5,9.995,12.33
182.6,12,5.0,141.5,9.996,13.45
183.6,11,5.0,163.5,10.008,12.31
184.6,13,5.0,153.5,9.999,14.56
185.6,11,5.0,149.6,9.999,12.32
186.6,12,5.0,163.5,9.998,13.44
187.6,12,5.0,171.5,9.999,13.44
188.6,15,5.0,151.5,10.008,16.79
189.6,17,5.0,172.4,9.996,19.05
190.6,14,5.0,172.5,9.997,15.68
191.6,9,5.0,156.6,10.001,10.08
192.6,12,5.0,170.5,10.01,13.43
193.6,15,5.0,144.5,9.996,16.81
194.6,17,5.0,160.5,9.995,19.05
195.6,13,5.0,162.5,9.985,14.58
196.6,12,5.0,148.5,10.018,13.42
197.6,11,5.0,170.4,9.996,12.33
198.6,14,5.0,169.4,10.006,15.67
199.6,12,5.0,173.5,10.0,13.44
200.6,17,5.0,161.5,9.998,19.04
201.6,19,5.0,159.5,9.984,21.31
202.6,14,5.0,189.4,10.008,15.67
203.6,13,5.0,164.4,10.007,14.55
204.6,15,5.0,158.5,9.997,16.8
205.6,13,5.0,165.5,10.001,14.56
206.7,12,5.0,165.5,9.998,13.44
207.7,16,5.0,161.5,10.0,17.92
208.7,13,5.0,160.5,9.988,14.58
209.7,13,5.0,167.4,10.02,14.53
210.7,10,5.0,164.5,9.997,11.2
211.7,13,5.0,150.4,10.004,14.55
212.7,14,5.0,168.5,9.996,15.69
213.7,14,5.0,158.5,9.998,15.68
214.7,12,5.0,172.5,9.999,13.44
215.7,14,5.0,163.5,9.998,15.68
216.7,12,5.0,168.5,9.999,13.44
217.7,13,5.0,163.4,10.002,14.56
218.7,17,5.0,166.5,9.999,19.04
219.7,11,5.0,163.4,10.006,12.31
220.7,14,5.0,151.5,9.997,15.68
221.7,13,5.0,175.4,10.007,14.55
222.7,13,5.0,170.5,9.997,14.56
223.7,12,5.0,179.4,9.997,13.44
224.7,16,5.0,160.4,9.994,17.93
225.7,11,5.0,162.5,10.007,12.31
226.7,9,5.0,166.6,10.003,10.08
227.7,6,5.0,148.5,9.998,6.72
228.7,11,5.0,170.4,9.992,12.33
229.7,14,5.0,174.4,10.009,15.67
230.7,11,5.0,159.5,10.0,12.32
231.7,12,5.0,167.5,9.998,13.44
232.7,12,5.0,157.5,9.984,13.46
233.7,14,5.0,152.5,10.019,15.65
234.7,8,5.0,166.5,9.998,8.96
235.7,15,5.0,145.5,9.996,16.81
236.7,12,5.0,150.5,9.997,13.44
237.8,13,5.0,155.5,10.009,14.55
238.8,16,5.0,163.5,9.996,17.93
239.8,10,5.0,167.5,10.0,11.2
240.8,9,5.0,160.5,9.998,10.08
241.8,11,5.0,172.4,10.008,12.31
242.8,13,5.0,160.5,9.988,14.58
243.8,15,5.0,180.4,9.998,16.8
244.8,16,5.0,154.5,10.009,17.9
245.8,12,5.0,163.5,9.996,13.45
246.8,15,5.0,157.5,9.998,16.8
247.8,13,5.0,162.5,10.008,14.55
248.8,15,5.0,164.5,9.998,16.8
249.8,12,5.0,149.6,10.002,13.44
250.8,15,5.0,148.6,9.987,16.82
251.8,16,5.0,171.5,10.009,17.9
252.8,12,5.0,162.5,9.988,13.46
253.8,10,5.0,199.4,10.012,11.19
254.8,6,5.0,182.5,9.999,6.72
255.8,12,5.0,157.5,9.997,13.44
256.8,12,5.0,169.5,9.988,13.46
257.8,13,5.0,162.5,10.013,14.54
258.8,11,5.0,167.5,10.0,12.32
259.8,11,5.0,163.5,9.998,12.32
260.8,15,5.0,156.5,10.01,16.78
261.8,12,5.0,172.4,9.994,13.45
262.8,8,5.0,162.5,9.997,8.96
263.8,10,5.0,168.5,10.009,11.19
264.8,14,5.0,151.5,9.982,15.71
265.8,9,5.0,184.4,10.011,10.07
266.8,13,5.0,148.6,10.002,14.56
267.8,12,5.0,158.4,9.994,13.45
268.8,8,5.0,181.5,10.0,8.96
269.8,13,5.0,165.5,10.008,14.55
270.9,13,5.0,170.4,9.994,14.57
271.9,13,5.0,168.4,10.004,14.55
272.9,14,5.0,177.4,9.995,15.69
273.9,11,5.0,161.5,10.001,12.32
274.9,0,5.0,168.4,10.007,0.0
275.9,16,5.0,170.5,9.989,17.94
276.9,10,5.0,173.5,10.0,11.2
277.9,15,5.0,148.5,9.998,16.8
278.9,12,5.0,177.4,10.009,13.43
279.9,15,5.0,170.5,9.999,16.8
280.9,8,5.0,162.5,9.999,8.96
281.9,11,5.0,155.5,9.994,12.33
282.9,14,5.0,158.5,10.008,15.67
283.9,14,5.0,159.5,9.987,15.7
284.9,11,5.0,167.5,10.01,12.31
285.9,13,5.0,166.5,9.998,14.56
286.9,17,5.0,141.5,9.996,19.05
287.9,8,5.0,161.5,10.0,8.96
288.9,13,5.0,161.5,10.008,14.55
289.9,12,5.0,158.5,9.996,13.45
290.9,16,5.0,180.4,9.998,17.92
291.9,10,5.0,158.5,9.986,11.22
292.9,11,5.0,176.4,10.007,12.31
293.9,13,5.0,157.5,9.997,14.56
294.9,8,5.0,173.5,9.999,8.96
295.9,11,5.0,162.5,9.989,12.33
296.9,17,5.0,158.5,10.011,19.02
297.9,11,5.0,177.4,9.996,12.32
298.9,14,5.0,171.5,9.998,15.68
299.9,7,5.0,178.5,10.013,7.83
300.9,6,5.0,168.5,10.001,6.72
301.9,15,5.0,137.6,9.996,16.81
303.0,11,5.0,145.6,10.0,12.32
304.0,9,5.0,139.5,9.996,10.08
305.0,14,5.0,150.6,10.0,15.68
306.0,16,5.0,152.5,9.996,17.93
307.0,14,5.0,140.6,10.01,15.66
308.0,18,5.0,138.6,9.997,20.17
309.0,9,5.0,157.5,9.997,10.08
310.0,13,5.0,141.5,9.996,14.57
311.0,12,5.0,159.5,10.011,13.43
312.0,15,5.0,140.5,9.996,16.81
313.0,0,5.0,157.5,9.982,0.0
314.0,15,5.0,148.6,10.011,16.78
315.0,14,5.0,146.6,10.011,15.66
316.0,17,5.0,137.5,9.993,19.05
317.0,10,5.0,163.5,9.997,11.2
318.0,13,5.0,150.5,10.01,14.55
319.0,13,5.0,155.5,9.998,14.56
320.0,12,5.0,145.5,9.998,13.44
321.0,16,5.0,152.5,9.986,17.94
322.0,13,5.0,163.5,10.01,14.55
323.0,15,5.0,135.6,10.002,16.8
324.0,12,5.0,139.5,9.996,13.45
325.0,12,5.0,150.6,10.0,13.44
326.0,9,5.0,146.5,10.007,10.07
327.0,9,5.0,152.5,9.999,10.08
328.0,15,5.0,144.6,10.002,16.8
329.0,14,5.0,142.5,9.995,15.69
330.0,17,5.0,157.5,9.995,19.05
331.0,13,5.0,152.5,10.011,14.54
332.0,18,5.0,139.5,9.982,20.2
333.0,14,5.0,161.5,10.013,15.66
334.0,12,5.0,147.5,10.007,13.43
335.1,13,5.0,153.5,9.997,14.56
336.1,8,5.0,143.5,9.997,8.96
337.1,11,5.0,145.6,9.998,12.32
338.1,8,5.0,152.5,10.007,8.95
339.1,14,5.0,154.5,9.983,15.71
340.1,10,5.0,154.5,10.009,11.19
341.1,9,5.0,141.5,9.995,10.08
342.1,15,5.0,140.5,10.008,16.79
343.1,14,5.0,138.5,9.995,15.69
344.1,11,5.0,168.4,10.007,12.31
345.1,14,5.0,144.6,10.001,15.68
346.1,14,5.0,156.6,9.989,15.7
347.1,16,5.0,152.6,10.012,17.9
348.1,9,5.0,155.6,10.0,10.08
349.1,12,5.0,139.6,10.001,13.44
350.1,13,5.0,167.5,9.988,14.58
351.1,13,5.0,154.5,9.996,14.57
352.1,14,5.0,148.5,10.007,15.67
353.1,9,5.0,148.5,9.998,10.08
354.1,10,5.0,147.6,10.001,11.2
355.1,14,5.0,160.5,9.997,15.69
356.1,13,5.0,143.6,10.012,14.54
357.1,11,5.0,158.5,9.997,12.32
358.1,11,5.0,142.5,9.996,12.32
359.1,13,5.0,153.5,10.006,14.55
360.1,14,5.0,168.4,9.996,15.69
361.1,12,5.0,154.5,9.997,13.44
362.1,12,5.0,165.5,9.996,13.45
363.1,9,5.0,164.5,10.01,10.07
364.1,17,5.0,139.5,9.984,19.07
365.1,12,5.0,156.4,10.016,13.42
366.1,13,5.0,146.5,9.997,14.56
367.2,12,5.0,138.5,9.995,13.45
368.2,12,5.0,153.5,10.01,13.43
369.2,8,5.0,155.5,9.994,8.97
370.2,19,5.0,141.5,9.995,21.29
371.2,12,5.0,149.5,10.01,13.43
372.2,10,5.0,156.4,9.989,11.21
373.2,10,5.0,132.6,10.01,11.19
374.2,11,5.0,146.5,9.996,12.33
375.2,9,5.0,151.5,9.999,10.08
376.2,12,5.0,138.6,9.986,13.46
377.2,12,5.0,148.5,10.018,13.42
