t_s,state,old_target_ms,new_target_ms,old_limit_pkts,new_limit_pkts,active_flows,elephant_flows,reason
5.05,HEAVY,5.00,4.50,1024,921,0,0,mult-decrease β=0.9
10.10,HEAVY,4.50,4.05,921,828,0,0,mult-decrease β=0.9
15.16,HEAVY,4.05,3.65,828,745,0,0,mult-decrease β=0.9
20.21,HEAVY,3.65,3.28,745,670,0,0,mult-decrease β=0.9
25.25,HEAVY,3.28,2.95,670,603,0,0,mult-decrease β=0.9
30.31,HEAVY,2.95,2.66,603,542,0,0,mult-decrease β=0.9
35.36,HEAVY,2.66,2.39,542,487,0,0,mult-decrease β=0.9
40.40,HEAVY,2.39,2.15,487,438,0,0,mult-decrease β=0.9
45.43,HEAVY,2.15,1.94,438,394,0,0,mult-decrease β=0.9
50.48,HEAVY,1.94,1.74,394,354,0,0,mult-decrease β=0.9
55.52,HEAVY,1.74,1.57,354,318,0,0,mult-decrease β=0.9
60.55,HEAVY,1.57,1.41,318,286,0,0,mult-decrease β=0.9
65.59,HEAVY,1.41,1.27,286,257,0,0,mult-decrease β=0.9
70.63,HEAVY,1.27,1.14,257,256,0,0,mult-decrease β=0.9
75.67,HEAVY,1.14,1.03,256,256,0,0,mult-decrease β=0.9
