t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,active_flows,elephant_flows,target_ms,interval_ms,limit_pkts,ebpf_mode
0.51,14017.6839,7082,256,9.9975,HEAVY,0,0,5.00,50.0,256,tc-only
1.01,11115.2983,12691,238,10.0003,HEAVY,0,0,5.00,50.0,256,tc-only
1.52,13638.8706,19563,243,9.9997,HEAVY,0,0,5.00,50.0,256,tc-only
2.02,16028.8445,27664,242,9.9958,HEAVY,0,0,5.00,50.0,256,tc-only
2.53,16703.6279,36078,247,10.0029,HEAVY,0,0,5.00,50.0,256,tc-only
3.03,17590.9826,44940,251,10.0007,HEAVY,0,0,5.00,50.0,256,tc-only
3.53,18434.0728,54233,245,10.0007,HEAVY,0,0,5.00,50.0,256,tc-only
4.04,20083.1622,64350,233,9.9981,HEAVY,0,0,5.00,50.0,256,tc-only
4.54,17901.3688,73371,230,10.0020,HEAVY,0,0,5.00,50.0,256,tc-only
5.05,21239.9732,84068,236,10.0017,HEAVY,0,0,5.00,50.0,256,tc-only
5.55,21584.2957,95002,237,9.9998,HEAVY,0,0,4.50,50.0,256,tc-only
6.05,20518.6474,105329,232,9.9988,HEAVY,0,0,4.50,50.0,256,tc-only
6.56,20984.6801,115893,236,9.9996,HEAVY,0,0,4.50,50.0,256,tc-only
7.06,19598.4041,125791,248,9.9971,HEAVY,0,0,4.50,50.0,256,tc-only
7.57,19453.2808,135591,237,10.0030,HEAVY,0,0,4.50,50.0,256,tc-only
8.07,19021.0265,145178,246,9.9991,HEAVY,0,0,4.50,50.0,256,tc-only
8.58,15841.4639,153172,233,9.9976,HEAVY,0,0,4.50,50.0,256,tc-only
9.08,13444.7474,159965,233,9.9990,HEAVY,0,0,4.50,50.0,256,tc-only
9.58,14209.4062,167117,240,10.0068,HEAVY,0,0,4.50,50.0,256,tc-only
10.09,17751.0238,176069,251,9.9959,HEAVY,0,0,4.50,50.0,256,tc-only
10.60,15196.4328,183793,251,10.0024,HEAVY,0,0,4.05,50.0,256,tc-only
11.10,16340.8725,192034,251,9.9995,HEAVY,0,0,4.05,50.0,256,tc-only
11.60,17886.4711,201042,240,10.0039,HEAVY,0,0,4.05,50.0,256,tc-only
12.11,18415.2011,210309,234,9.9971,HEAVY,0,0,4.05,50.0,256,tc-only
12.61,19071.1162,219933,246,9.9984,HEAVY,0,0,4.05,50.0,256,tc-only
13.12,19670.1444,229843,251,10.0014,HEAVY,0,0,4.05,50.0,256,tc-only
13.62,20780.0926,240326,242,9.9975,HEAVY,0,0,4.05,50.0,256,tc-only
14.12,20783.5867,250800,249,9.9973,HEAVY,0,0,4.05,50.0,256,tc-only
14.63,22238.8590,262002,235,10.0046,HEAVY,0,0,4.05,50.0,256,tc-only
15.13,22424.6632,273290,254,10.0015,HEAVY,0,0,4.05,50.0,256,tc-only
15.64,22723.7865,284791,252,9.9995,HEAVY,0,0,3.65,50.0,256,tc-only
16.14,20316.1076,295020,246,9.9970,HEAVY,0,0,3.65,50.0,256,tc-only
16.65,21372.0323,305790,239,10.0009,HEAVY,0,0,3.65,50.0,256,tc-only
17.15,22623.1294,317198,252,10.0016,HEAVY,0,0,3.65,50.0,256,tc-only
17.65,20219.0053,327382,252,10.0005,HEAVY,0,0,3.65,50.0,256,tc-only
18.16,19058.8560,336998,232,9.9932,HEAVY,0,0,3.65,50.0,256,tc-only
18.66,14447.1215,344292,249,10.0021,HEAVY,0,0,3.65,50.0,256,tc-only
19.17,15262.4645,351993,253,10.0008,HEAVY,0,0,3.65,50.0,256,tc-only
19.67,13639.6939,358874,251,10.0010,HEAVY,0,0,3.65,50.0,256,tc-only
20.18,17123.7509,367512,252,9.9991,HEAVY,0,0,3.65,50.0,256,tc-only
20.68,15698.7455,375479,242,10.0029,HEAVY,0,0,3.28,50.0,256,tc-only
21.19,16452.5315,383769,241,9.9989,HEAVY,0,0,3.28,50.0,256,tc-only
21.69,17156.7683,392415,253,10.0007,HEAVY,0,0,3.28,50.0,256,tc-only
22.20,17650.2588,401309,238,10.0004,HEAVY,0,0,3.28,50.0,256,tc-only
22.70,17978.5044,410355,241,10.0005,HEAVY,0,0,3.28,50.0,256,tc-only
23.20,17844.0235,419347,232,9.9958,HEAVY,0,0,3.28,50.0,256,tc-only
23.71,18261.7169,428554,247,10.0024,HEAVY,0,0,3.28,50.0,256,tc-only
24.21,19490.7972,438370,235,9.9997,HEAVY,0,0,3.28,50.0,256,tc-only
24.71,17496.3649,447177,253,10.0028,HEAVY,0,0,3.28,50.0,256,tc-only
25.22,19937.1937,457221,244,9.9944,HEAVY,0,0,3.28,50.0,256,tc-only
25.72,19528.0235,467126,252,10.0016,HEAVY,0,0,2.95,50.0,256,tc-only
26.23,19968.6334,477189,239,10.0018,HEAVY,0,0,2.95,50.0,256,tc-only
26.73,20003.1565,487271,239,9.9995,HEAVY,0,0,2.95,50.0,256,tc-only
27.24,20519.7051,497600,248,10.0026,HEAVY,0,0,2.95,50.0,256,tc-only
27.74,20356.7571,507853,255,9.9988,HEAVY,0,0,2.95,50.0,256,tc-only
28.24,17569.3306,516704,236,10.0002,HEAVY,0,0,2.95,50.0,256,tc-only
28.75,18069.1899,525795,241,10.0013,HEAVY,0,0,2.95,50.0,256,tc-only
29.25,17488.2528,534610,220,9.9978,HEAVY,0,0,2.95,50.0,256,tc-only
29.75,17497.6856,543426,231,9.9969,HEAVY,0,0,2.95,50.0,256,tc-only
30.26,18181.3871,552594,238,10.0019,HEAVY,0,0,2.95,50.0,256,tc-only
30.77,18448.8290,561948,247,10.0020,HEAVY,0,0,2.66,50.0,256,tc-only
31.27,17425.1497,570750,234,9.9967,HEAVY,0,0,2.66,50.0,256,tc-only
31.77,15878.8302,578742,239,10.0049,HEAVY,0,0,2.66,50.0,256,tc-only
32.28,18931.1316,588267,234,9.9977,HEAVY,0,0,2.66,50.0,256,tc-only
32.78,12197.0577,594399,250,10.0033,HEAVY,0,0,2.66,50.0,256,tc-only
