t,wall,drop_rate,backlog,throughput_mbps,active_flows,elephant_flows,elephant_ratio,state,target_ms,limit_pkts,mode
0.51,06:32:42,3121.5,452,10.001,0,0,0.000,HEAVY,5.00,1024,tc-only
1.01,06:32:43,2517.7,0,7.613,0,0,0.000,HEAVY,5.00,1024,tc-only
1.54,06:32:43,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.05,06:32:44,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.56,06:32:44,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
3.06,06:32:45,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
3.58,06:32:45,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
4.09,06:32:46,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
4.59,06:32:46,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
5.09,06:32:47,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
5.60,06:32:47,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
6.10,06:32:48,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
6.62,06:32:48,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
7.13,06:32:49,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
7.63,06:32:49,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
8.14,06:32:50,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
8.65,06:32:50,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
9.15,06:32:51,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
9.67,06:32:51,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
10.17,06:32:52,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
10.68,06:32:52,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
11.19,06:32:53,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
11.69,06:32:53,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
12.20,06:32:54,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
12.71,06:32:54,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
13.22,06:32:55,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
13.72,06:32:55,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
14.22,06:32:56,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
14.73,06:32:56,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
15.23,06:32:57,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
15.74,06:32:57,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
