t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.552,402.5135,12.9060,0.0000,HEAVY,STABLE,HEAVY,MICE
5.115,400.3987,7.3692,0.0000,HEAVY,STABLE,HEAVY,MICE
7.690,516.3047,-20.8846,0.0000,HEAVY,STABLE,HEAVY,MICE
10.242,481.8093,0.1511,0.0000,HEAVY,STABLE,HEAVY,MICE
12.803,417.7835,0.0185,0.0000,HEAVY,STABLE,HEAVY,MICE
15.364,192.2430,34.5253,0.0000,HEAVY,STABLE,HEAVY,MICE
17.931,-205.8492,1.9629,0.0000,HEAVY,RECOVERING,MODERATE,MICE
20.504,-351.4406,-12.6683,0.0000,HEAVY,RECOVERING,MODERATE,MICE
23.078,674.3889,2.4272,0.0000,HEAVY,STABLE,HEAVY,MICE
25.640,923.7010,7.4664,0.0000,HEAVY,STABLE,HEAVY,MICE
28.194,1402.7672,1.9102,0.0000,HEAVY,STABLE,HEAVY,MICE
30.752,1089.7208,6.2933,0.0000,HEAVY,STABLE,HEAVY,MICE
33.305,1008.5170,-0.6919,0.0000,HEAVY,STABLE,HEAVY,MICE
35.864,-1583.8335,2.8126,0.0000,HEAVY,RECOVERING,MODERATE,MICE
38.417,816.3259,3.0401,0.0000,HEAVY,STABLE,HEAVY,MICE
40.972,934.1475,-5.9419,0.0000,HEAVY,STABLE,HEAVY,MICE
43.542,-3514.8149,0.7015,0.0000,HEAVY,RECOVERING,MODERATE,MICE
46.107,-593.3758,-2.9199,0.0000,HEAVY,RECOVERING,MODERATE,MICE
48.670,4605.0864,-2.2518,0.0000,HEAVY,STABLE,HEAVY,MICE
51.222,-372.6173,-0.8319,0.0000,HEAVY,RECOVERING,MODERATE,MICE
53.775,11301.2298,-8.7299,0.0000,HEAVY,STABLE,HEAVY,MICE
56.321,-1290.8440,-0.9398,0.0000,HEAVY,RECOVERING,MODERATE,MICE
58.874,11103.6152,-6.9457,0.0000,HEAVY,STABLE,HEAVY,MICE
61.423,-324.0513,0.1159,0.0000,HEAVY,RECOVERING,MODERATE,MICE
63.987,8940.9309,24.0138,0.0000,HEAVY,STABLE,HEAVY,MICE
66.548,659.1262,-2.6044,0.0000,HEAVY,STABLE,HEAVY,MICE
69.121,2049.9152,-4.9760,0.0000,HEAVY,STABLE,HEAVY,MICE
71.688,407.3879,1.4752,0.0000,HEAVY,STABLE,HEAVY,MICE
74.264,-249.9168,-1.3171,0.0000,HEAVY,RECOVERING,MODERATE,MICE
76.833,1093.3102,-2.3467,0.0000,HEAVY,STABLE,HEAVY,MICE
79.412,-465.9104,-0.4241,0.0000,HEAVY,RECOVERING,MODERATE,MICE
81.983,547.8169,0.7169,0.0000,HEAVY,STABLE,HEAVY,MICE
84.554,521.4483,3.5614,0.0000,HEAVY,STABLE,HEAVY,MICE
87.128,-719.5746,0.0139,0.0000,HEAVY,RECOVERING,MODERATE,MICE
89.699,457.4739,-1.6484,0.0000,HEAVY,STABLE,HEAVY,MICE
92.266,-246.9411,-2.2754,0.0000,HEAVY,RECOVERING,MODERATE,MICE
94.834,1.4183,1.4063,0.0000,HEAVY,STABLE,HEAVY,MICE
97.402,67.7708,-0.6826,0.0000,HEAVY,STABLE,HEAVY,MICE
99.969,-127.8930,0.7682,0.0000,HEAVY,RECOVERING,MODERATE,MICE
102.538,525.6015,1.2511,0.0000,HEAVY,STABLE,HEAVY,MICE
105.107,199.7545,-2.3591,0.0000,HEAVY,STABLE,HEAVY,MICE
107.685,-231.0213,-0.9270,0.0000,HEAVY,RECOVERING,MODERATE,MICE
110.251,-372.7692,1.4009,0.0000,HEAVY,RECOVERING,MODERATE,MICE
112.828,223.4280,-0.6387,0.0000,HEAVY,STABLE,HEAVY,MICE
