[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=7
[eBPF] Layer 3: ✅ global_map id=8

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/experiments/S1_acape_20260330_015443/acape_metrics_20260330_015921.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    0.5       HEAVY       STABLE       HEAVY     297.1    394       0      0    0.00ms      MICE    5.0ms   1024     0
    1.0       HEAVY       STABLE       HEAVY     483.9    478       0      0    0.00ms      MICE    5.0ms   1024     0
    1.5       HEAVY       STABLE       HEAVY     699.0    463       0      0    0.00ms      MICE    5.0ms   1024     0
    2.0       HEAVY       STABLE       HEAVY     904.4    460       0      0    0.00ms      MICE    5.0ms   1024     0
    2.6       HEAVY       STABLE       HEAVY    1114.5    436       0      0    0.00ms      MICE    5.0ms   1024     0
    3.1       HEAVY       STABLE       HEAVY    1308.8    451       0      0    0.00ms      MICE    5.0ms   1024     0
    3.6       HEAVY       STABLE       HEAVY    1524.7    461       0      0    0.00ms      MICE    5.0ms   1024     0
    4.1       HEAVY       STABLE       HEAVY    1719.3    460       0      0    0.00ms      MICE    5.0ms   1024     0
    4.6       HEAVY       STABLE       HEAVY    1931.4    465       0      0    0.00ms      MICE    5.0ms   1024     0
    5.1       HEAVY       STABLE       HEAVY    2134.8    473       0      0    0.00ms      MICE    4.5ms    921     1
    5.6       HEAVY       STABLE       HEAVY    2625.3    390       0      0    0.00ms      MICE    4.5ms    921     1
    6.1       HEAVY       STABLE       HEAVY    2868.1    372       0      0    0.00ms      MICE    4.5ms    921     1
    6.7       HEAVY       STABLE       HEAVY    3050.9    410       0      0    0.00ms      MICE    4.5ms    921     1
    7.2       HEAVY       STABLE       HEAVY    3372.6    365       0      0    0.00ms      MICE    4.5ms    921     1
    7.7       HEAVY       STABLE       HEAVY    3628.0    397       0      0    0.00ms      MICE    4.5ms    921     1
    8.2       HEAVY       STABLE       HEAVY    3882.6    356       0      0    0.00ms      MICE    4.5ms    921     1
    8.7       HEAVY       STABLE       HEAVY    4040.6    405       0      0    0.00ms      MICE    4.5ms    921     1
    9.2       HEAVY       STABLE       HEAVY    4377.4    393       0      0    0.00ms      MICE    4.5ms    921     1
    9.7       HEAVY       STABLE       HEAVY    4522.9    376       0      0    0.00ms      MICE    4.5ms    921     1
   10.2       HEAVY       STABLE       HEAVY    4877.7    389       0      0    0.00ms      MICE    4.0ms    828     2
   10.8       HEAVY       STABLE       HEAVY    5464.7      0       0      0    0.00ms      MICE    4.0ms    828     2
   11.3       HEAVY       STABLE       HEAVY    5748.8    379       0      0    0.00ms      MICE    4.0ms    828     2
   11.8       HEAVY       STABLE       HEAVY    5359.5    411       0      0    0.00ms      MICE    4.0ms    828     2
   12.3       HEAVY       STABLE       HEAVY    5493.3    410       0      0    0.00ms      MICE    4.0ms    828     2
   12.8       HEAVY       STABLE       HEAVY    5647.5    384       0      0    0.00ms      MICE    4.0ms    828     2
   13.3       HEAVY       STABLE       HEAVY    5879.1    405       0      0    0.00ms      MICE    4.0ms    828     2
   13.8       HEAVY       STABLE       HEAVY    6350.1    421       0      0    0.00ms      MICE    4.0ms    828     2
   14.3       HEAVY       STABLE       HEAVY    6345.6    345       0      0    0.00ms      MICE    4.0ms    828     2
   14.9       HEAVY       STABLE       HEAVY    6352.9    397       0      0    0.00ms      MICE    4.0ms    828     2
   15.4       HEAVY       STABLE       HEAVY    5941.2    341       0      0    0.00ms      MICE    3.6ms    745     3
   15.9       HEAVY       STABLE       HEAVY    6524.7    389       0      0    0.00ms      MICE    3.6ms    745     3
   16.4       HEAVY       STABLE       HEAVY    6928.5    417       0      0    0.00ms      MICE    3.6ms    745     3
   16.9       HEAVY       STABLE       HEAVY    6163.6    366       0      0    0.00ms      MICE    3.6ms    745     3
   17.4       HEAVY   RECOVERING    MODERATE    4760.8    413       0      0    0.00ms      MICE    3.6ms    745     3
   17.9       HEAVY   RECOVERING    MODERATE    5028.3    406       0      0    0.00ms      MICE    3.6ms    745     3
   18.4       HEAVY   RECOVERING    MODERATE    4759.9    391       0      0    0.00ms      MICE    3.6ms    745     3
