t_s,drop_rate_per_s,backlog_pkts,throughput_mbps,target_ms,limit_pkts
0.51,2633209.0,0,4717.811,5.0,1024
1.01,65.1,470,9.967,5.0,1024
1.52,268.1,464,9.998,5.0,1024
2.03,469.0,459,10.004,5.0,1024
2.53,670.7,456,10.002,5.0,1024
3.04,870.1,470,9.994,5.0,1024
3.54,1074.4,470,10.0,5.0,1024
4.05,1279.1,469,10.002,5.0,1024
4.55,1480.0,475,10.007,5.0,1024
5.06,1683.8,430,9.992,5.0,1024
5.56,1879.3,462,10.007,5.0,1024
6.07,419.2,445,9.322,5.0,1024
6.57,263.9,447,10.005,5.0,1024
7.08,423.1,417,10.001,5.0,1024
7.58,649.6,458,9.998,5.0,1024
8.09,844.1,458,10.003,5.0,1024
8.59,1049.4,445,9.999,5.0,1024
9.1,1240.2,444,9.988,5.0,1024
9.6,1454.7,0,10.004,5.0,1024
10.11,1655.7,468,10.004,5.0,1024
10.61,1857.8,482,9.999,5.0,1024
11.12,2054.5,477,10.002,5.0,1024
11.62,2430.9,364,10.002,4.0,921
12.13,2766.5,334,9.994,4.0,921
12.64,2947.6,390,10.002,4.0,921
13.14,3262.2,379,10.0,4.0,921
13.65,3511.4,361,10.002,4.0,921
14.15,3762.9,429,10.004,4.0,921
14.66,3917.5,303,9.997,4.0,921
15.16,4253.2,400,10.0,4.0,921
15.67,4498.8,365,9.998,4.0,921
16.17,4638.6,370,10.001,4.0,921
16.68,5196.1,391,9.998,4.0,828
17.18,5673.0,389,10.003,4.0,828
17.69,5508.5,408,9.997,4.0,828
18.19,5358.8,372,10.0,4.0,828
18.7,5610.3,346,9.999,4.0,828
19.2,5738.6,375,10.005,4.0,828
19.71,6013.1,342,9.994,4.0,828
20.22,6312.2,393,10.009,4.0,828
20.72,6527.5,396,9.999,4.0,828
21.22,5994.2,417,10.0,4.0,828
21.73,6199.2,372,9.997,4.0,745
22.23,6653.8,380,9.99,4.0,745
22.74,7039.1,393,10.011,4.0,745
23.25,5608.6,329,9.993,4.0,745
23.75,4647.5,411,10.003,4.0,745
24.26,5129.4,349,9.994,4.0,745
24.76,4596.0,361,10.009,4.0,745
25.27,4852.7,315,9.996,4.0,745
25.78,5242.3,384,10.004,4.0,745
26.28,5328.0,361,9.999,4.0,745
26.79,5082.9,0,9.995,3.0,670
27.29,5972.4,384,10.004,3.0,670
27.8,6432.0,377,10.0,3.0,670
