t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.9,1908.9,468,10.001,0.045,4.64,954
0.51,1.8,4293.0,443,9.995,0.04,4.64,954
1.02,2.7,4723.5,443,10.003,0.035,4.72,970
1.52,3.6,5377.6,467,9.996,0.03,4.72,970
2.03,4.5,6282.0,448,9.998,0.025,4.72,970
2.54,5.5,7110.5,474,10.003,0.02,4.84,993
3.05,6.3,7033.5,434,10.003,0.015,4.84,993
3.55,7.1,7247.0,413,9.99,0.01,4.84,993
4.06,7.9,7705.3,389,10.012,0.01,4.84,993
4.56,8.7,8473.9,411,9.998,0.01,4.84,993
5.07,9.5,9299.3,387,10.001,0.01,4.84,993
5.57,10.2,10093.0,386,9.997,0.01,4.84,993
6.08,11.0,10917.3,393,10.004,0.01,4.84,993
6.58,11.7,11725.7,370,9.998,0.01,4.84,993
7.08,12.5,12399.7,424,9.997,0.01,4.84,993
7.59,13.3,11053.3,386,10.0,0.01,4.84,993
8.09,14.1,11610.0,427,10.003,0.01,4.84,993
8.6,14.9,11300.9,413,9.999,0.01,4.84,993
9.1,15.7,11589.8,407,9.998,0.01,4.84,993
9.61,16.4,11294.9,383,10.004,0.01,4.84,993
10.11,17.3,8354.4,464,9.991,0.01,4.84,993
10.62,18.2,9177.3,459,10.008,0.01,4.84,993
11.12,19.0,9043.3,433,10.0,0.01,4.84,993
11.63,19.8,9284.6,404,9.992,0.01,4.84,993
12.13,20.6,7682.6,440,10.006,0.01,4.84,993
12.64,21.4,8615.2,424,9.996,0.01,4.84,993
13.15,22.3,8451.8,453,10.003,0.01,4.84,993
13.65,23.1,9256.0,402,10.0,0.01,4.84,993
14.16,23.9,8722.8,437,9.995,0.01,4.84,993
14.67,24.6,6478.2,404,10.008,0.01,4.84,993
15.18,25.4,6420.0,395,9.999,0.01,4.84,993
15.68,26.2,6437.6,456,10.003,0.01,4.84,993
16.19,27.1,6468.5,447,9.992,0.01,4.84,993
16.69,27.9,7311.1,432,10.003,0.01,4.84,993
17.2,28.8,8031.3,464,9.998,0.01,4.84,993
17.7,29.5,7470.4,406,10.007,0.01,4.84,993
18.21,30.2,8128.1,382,10.001,0.01,4.84,993
18.71,30.9,8520.5,389,10.0,0.01,4.84,993
19.22,31.7,8793.9,398,10.001,0.02,4.84,993
19.73,32.4,9394.5,374,9.996,0.02,4.84,993
20.23,33.1,9327.8,395,10.0,0.02,4.84,993
20.73,33.8,10364.3,385,10.002,0.02,4.84,993
21.24,34.5,10065.6,375,10.0,0.02,4.84,993
21.74,35.2,10801.6,382,10.002,0.02,4.84,993
22.24,36.0,9056.9,427,9.997,0.02,4.84,993
22.75,36.8,9292.7,434,10.001,0.02,4.84,993
23.25,37.6,8239.6,468,9.996,0.03,4.76,977
23.76,38.4,7717.2,443,10.008,0.03,4.76,977
24.27,39.3,5444.6,465,9.999,0.03,4.76,977
24.77,40.2,3999.1,482,9.997,0.03,4.76,977
25.27,41.0,4538.6,453,9.996,0.03,4.76,977
25.78,41.8,5028.9,465,10.002,0.03,4.76,977
26.28,42.6,5788.2,421,9.999,0.04,4.76,977
26.79,43.4,6414.1,469,10.005,0.04,4.76,977
27.29,44.2,6850.7,403,10.002,0.04,4.76,977
27.79,44.9,6014.9,390,9.993,0.04,4.76,977
28.3,45.6,5958.7,400,10.002,0.04,4.76,977
28.8,46.4,5891.1,443,10.001,0.04,4.76,977
29.31,47.1,4623.2,400,10.002,0.04,4.76,977
29.81,47.9,3989.3,440,9.999,0.04,4.76,977
30.32,48.6,4043.4,416,10.001,0.05,4.6,947
30.82,49.3,4689.6,423,9.999,0.05,4.6,947
31.32,50.1,5265.3,432,9.998,0.05,4.6,947
31.83,50.8,5119.5,417,9.998,0.05,4.6,947
32.33,51.4,5391.6,349,10.005,0.05,4.6,947
32.84,52.1,5169.3,402,10.0,0.05,4.6,947
33.34,52.8,5763.0,384,9.999,0.05,4.6,947
33.84,53.5,6136.4,418,9.997,0.05,4.6,947
34.35,54.3,6003.1,422,10.005,0.06,4.52,931
34.85,54.9,6023.5,382,9.999,0.06,4.52,931
35.36,55.8,4528.8,477,9.997,0.06,4.52,931
35.86,56.5,4090.6,436,10.001,0.06,4.52,931
36.37,57.3,4954.4,465,9.999,0.06,4.52,931
36.87,58.2,4401.5,466,10.001,0.06,4.52,931
37.38,59.0,4274.3,467,9.997,0.06,4.52,931
37.88,59.7,3657.0,440,10.004,0.07,4.52,931
38.39,60.5,3943.6,458,10.0,0.07,4.52,931
