========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns1  iface=veth1  duration=130s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
────────────────────────────────────────────────────────────────────────
   0.0      0.9     1908.9     468   10.00   0.045    4.6ms    954     1
   0.5      1.8     4293.0     443    9.99   0.040    4.6ms    954     1
   1.0      2.7     4723.5     443   10.00   0.035    4.7ms    970     2
   1.5      3.6     5377.6     467   10.00   0.030    4.7ms    970     2
   2.0      4.5     6282.0     448   10.00   0.025    4.7ms    970     2
   2.5      5.5     7110.5     474   10.00   0.020    4.8ms    993     3
   3.0      6.3     7033.5     434   10.00   0.015    4.8ms    993     3
   3.6      7.1     7247.0     413    9.99   0.010    4.8ms    993     3
   4.1      7.9     7705.3     389   10.01   0.010    4.8ms    993     3
   4.6      8.7     8473.9     411   10.00   0.010    4.8ms    993     3
   5.1      9.5     9299.3     387   10.00   0.010    4.8ms    993     3
   5.6     10.2    10093.0     386   10.00   0.010    4.8ms    993     3
   6.1     11.0    10917.3     393   10.00   0.010    4.8ms    993     3
   6.6     11.7    11725.7     370   10.00   0.010    4.8ms    993     3
   7.1     12.5    12399.7     424   10.00   0.010    4.8ms    993     3
   7.6     13.3    11053.3     386   10.00   0.010    4.8ms    993     3
   8.1     14.1    11610.0     427   10.00   0.010    4.8ms    993     3
   8.6     14.9    11300.9     413   10.00   0.010    4.8ms    993     3
   9.1     15.7    11589.8     407   10.00   0.010    4.8ms    993     3
   9.6     16.4    11294.9     383   10.00   0.010    4.8ms    993     3
  10.1     17.3     8354.4     464    9.99   0.010    4.8ms    993     3
  10.6     18.2     9177.3     459   10.01   0.010    4.8ms    993     3
  11.1     19.0     9043.3     433   10.00   0.010    4.8ms    993     3
  11.6     19.8     9284.6     404    9.99   0.010    4.8ms    993     3
  12.1     20.6     7682.6     440   10.01   0.010    4.8ms    993     3
  12.6     21.4     8615.2     424   10.00   0.010    4.8ms    993     3
  13.1     22.3     8451.8     453   10.00   0.010    4.8ms    993     3
  13.7     23.1     9256.0     402   10.00   0.010    4.8ms    993     3
  14.2     23.9     8722.8     437   10.00   0.010    4.8ms    993     3
  14.7     24.6     6478.2     404   10.01   0.010    4.8ms    993     3
  15.2     25.4     6420.0     395   10.00   0.010    4.8ms    993     3
  15.7     26.2     6437.6     456   10.00   0.010    4.8ms    993     3
  16.2     27.1     6468.5     447    9.99   0.010    4.8ms    993     3
  16.7     27.9     7311.1     432   10.00   0.010    4.8ms    993     3
  17.2     28.8     8031.3     464   10.00   0.010    4.8ms    993     3
  17.7     29.5     7470.4     406   10.01   0.010    4.8ms    993     3
  18.2     30.2     8128.1     382   10.00   0.010    4.8ms    993     3
  18.7     30.9     8520.5     389   10.00   0.010    4.8ms    993     3
  19.2     31.7     8793.9     398   10.00   0.020    4.8ms    993     3
  19.7     32.4     9394.5     374   10.00   0.020    4.8ms    993     3
  20.2     33.1     9327.8     395   10.00   0.020    4.8ms    993     3
  20.7     33.8    10364.3     385   10.00   0.020    4.8ms    993     3
  21.2     34.5    10065.6     375   10.00   0.020    4.8ms    993     3
  21.7     35.2    10801.6     382   10.00   0.020    4.8ms    993     3
  22.2     36.0     9056.9     427   10.00   0.020    4.8ms    993     3
  22.7     36.8     9292.7     434   10.00   0.020    4.8ms    993     3
  23.3     37.6     8239.6     468   10.00   0.030    4.8ms    977     4
  23.8     38.4     7717.2     443   10.01   0.030    4.8ms    977     4
  24.3     39.3     5444.6     465   10.00   0.030    4.8ms    977     4
  24.8     40.2     3999.1     482   10.00   0.030    4.8ms    977     4
  25.3     41.0     4538.6     453   10.00   0.030    4.8ms    977     4
  25.8     41.8     5028.9     465   10.00   0.030    4.8ms    977     4
  26.3     42.6     5788.2     421   10.00   0.040    4.8ms    977     4
  26.8     43.4     6414.1     469   10.00   0.040    4.8ms    977     4
  27.3     44.2     6850.7     403   10.00   0.040    4.8ms    977     4
  27.8     44.9     6014.9     390    9.99   0.040    4.8ms    977     4
  28.3     45.6     5958.7     400   10.00   0.040    4.8ms    977     4
  28.8     46.4     5891.1     443   10.00   0.040    4.8ms    977     4
  29.3     47.1     4623.2     400   10.00   0.040    4.8ms    977     4
  29.8     47.9     3989.3     440   10.00   0.040    4.8ms    977     4
  30.3     48.6     4043.4     416   10.00   0.050    4.6ms    947     5
  30.8     49.3     4689.6     423   10.00   0.050    4.6ms    947     5
  31.3     50.1     5265.3     432   10.00   0.050    4.6ms    947     5
  31.8     50.8     5119.5     417   10.00   0.050    4.6ms    947     5
  32.3     51.4     5391.6     349   10.00   0.050    4.6ms    947     5
  32.8     52.1     5169.3     402   10.00   0.050    4.6ms    947     5
  33.3     52.8     5763.0     384   10.00   0.050    4.6ms    947     5
  33.8     53.5     6136.4     418   10.00   0.050    4.6ms    947     5
  34.3     54.3     6003.1     422   10.01   0.060    4.5ms    931     6
  34.9     54.9     6023.5     382   10.00   0.060    4.5ms    931     6
  35.4     55.8     4528.8     477   10.00   0.060    4.5ms    931     6
  35.9     56.5     4090.6     436   10.00   0.060    4.5ms    931     6
  36.4     57.3     4954.4     465   10.00   0.060    4.5ms    931     6
  36.9     58.2     4401.5     466   10.00   0.060    4.5ms    931     6
  37.4     59.0     4274.3     467   10.00   0.060    4.5ms    931     6
  37.9     59.7     3657.0     440   10.00   0.070    4.5ms    931     6
  38.4     60.5     3943.6     458   10.00   0.070    4.5ms    931     6
  38.9     61.2     4652.4     390   10.00   0.070    4.5ms    931     6
  39.4     61.9     4733.9     406   10.00   0.070    4.5ms    931     6
  39.9     62.6     4634.8     417   10.00   0.070    4.5ms    931     6
  40.4     63.4     4639.1     461   10.00   0.070    4.5ms    931     6
  40.9     64.1     5125.9     414   10.00   0.070    4.5ms    931     6
  41.4     64.7     5157.2     387   10.00   0.070    4.5ms    931     6
  41.9     65.5     4721.5     441   10.00   0.080    4.4ms    901     7
  42.4     66.3     4714.5     453   10.00   0.080    4.4ms    901     7
  42.9     66.9     5187.0     360   10.00   0.080    4.4ms    901     7
  43.4     67.5     4744.1     375   10.00   0.080    4.4ms    901     7
  43.9     68.2     4889.5     453   10.00   0.080    4.4ms    901     7
  44.4     69.0     5097.3     451   10.00   0.080    4.4ms    901     7
  44.9     69.7     5307.5     399   10.00   0.080    4.4ms    901     7
  45.4     70.4     4447.5     442   10.00   0.090    4.3ms    885     8
  46.0     71.2     4022.6     452   10.00   0.090    4.3ms    885     8
  46.5     72.0     4355.0     466   10.00   0.090    4.3ms    885     8
  47.0     72.6     5208.6     395   10.00   0.090    4.3ms    885     8
  47.5     73.3     4828.5     418   10.00   0.090    4.3ms    885     8
  48.0     74.1     5641.4     476   10.00   0.090    4.3ms    885     8
  48.5     74.9     6512.8     461   10.01   0.090    4.3ms    885     8
  49.0     75.5     6446.5     372   10.00   0.090    4.3ms    885     8
  49.5     76.2     4835.4     416   10.00   0.100    4.3ms    885     8
  50.0     76.8     3992.9     383   10.00   0.100    4.3ms    885     8
  50.5     77.5     3816.7     440   10.00   0.100    4.3ms    885     8
  51.0     78.2     3989.8     449   10.00   0.100    4.3ms    885     8
  51.5     78.9     4471.8     429   10.00   0.100    4.3ms    885     8
  52.0     79.6     5142.0     384   10.01   0.100    4.3ms    885     8
  52.5     80.3     5240.3     467    9.99   0.100    4.3ms    885     8
  53.0     81.0     6142.4     439   10.00   0.100    4.3ms    885     8
  53.5     81.7     6690.0     407   10.00   0.110    4.1ms    855     9
  54.0     82.3     6308.3     384   10.00   0.110    4.1ms    855     9
  54.5     83.1     6373.0     472   10.00   0.110    4.1ms    855     9
  55.1     83.8     5619.3     428   10.00   0.110    4.1ms    855     9
  55.6     84.5     4832.5     433   10.01   0.110    4.1ms    855     9
  56.1     85.2     4775.8     433   10.00   0.110    4.1ms    855     9
  56.6     85.9     5649.2     427   10.00   0.110    4.1ms    855     9
  57.1     86.5     5541.9     413   10.00   0.110    4.1ms    855     9
  57.6     87.1     5364.9     378   10.01   0.110    4.1ms    855     9
  58.1     87.8     6050.7     423   10.00   0.120    4.0ms    839    10
  58.6     88.4     6309.5     415   10.00   0.120    4.0ms    839    10
  59.1     89.1     5053.1     427   10.00   0.120    4.0ms    839    10
  59.6     89.7     4410.2     406   10.01   0.120    4.0ms    839    10
  60.1     90.3     4672.9     397   10.00   0.120    4.0ms    839    10
  60.6     91.0     4527.9     430   10.00   0.120    4.0ms    839    10
  61.1     91.6     4824.7     401   10.00   0.120    4.0ms    839    10
  61.6     92.4     5332.8     449   10.00   0.120    4.0ms    839    10
  62.1     93.0     5993.0     394   10.00   0.130    4.0ms    839    10
  62.6     93.6     5288.0     422   10.00   0.130    4.0ms    839    10
  63.1     94.2     5588.2     396   10.00   0.130    4.0ms    839    10
  63.6     94.9     6159.9     411   10.00   0.130    4.0ms    839    10
  64.1     95.4     5983.8     378   10.00   0.130    4.0ms    839    10
  64.6     96.1     5291.3     424   10.00   0.130    4.0ms    839    10
  65.1     96.7     5236.2     397   10.00   0.130    4.0ms    839    10
  65.6     97.3     5761.5     407   10.00   0.130    4.0ms    839    10
  66.1     97.1     5626.3       0   10.00   0.130    4.0ms    839    10
  66.6     97.9     5656.5     475   10.00   0.130    4.0ms    839    10
  67.1     98.5     4807.8     393   10.00   0.140    3.9ms    808    11
  67.7     99.2     5219.5     448   10.00   0.140    3.9ms    808    11
  68.2     99.8     5390.7     406   10.00   0.140    3.9ms    808    11
  68.7    100.3     5541.7     374   10.00   0.140    3.9ms    808    11
  69.2    100.9     5204.3     380   10.00   0.140    3.9ms    808    11
  69.7    101.4     4295.3     379   10.00   0.140    3.9ms    808    11
  70.2    102.2     3908.0     467   10.00   0.140    3.9ms    808    11
  70.7    102.8     4065.5     415   10.00   0.140    3.9ms    808    11
  71.2    103.4     4372.2     420   10.00   0.140    3.9ms    808    11
  71.7    104.0     4184.2     387   10.00   0.140    3.9ms    808    11
  72.2    104.5     4740.3     364    9.99   0.150    3.9ms    808    11
  72.7    105.1     5240.5     421   10.00   0.150    3.9ms    808    11
  73.2    105.7     5834.0     405   10.00   0.150    3.9ms    808    11
  73.7    106.3     6644.7     375   10.01   0.150    3.9ms    808    11
  74.2    106.8     7272.1     380   10.00   0.150    3.9ms    808    11
  74.7    107.4     8071.1     384   10.01   0.150    3.9ms    808    11
  75.2    107.9     8879.5     358   10.00   0.150    3.9ms    808    11
  75.7    108.5     8693.6     435   10.00   0.150    3.9ms    808    11
  76.2    109.1     8068.2     375   10.00   0.150    3.9ms    808    11
  76.7    109.8     5224.1     468   10.00   0.160    3.7ms    778    12
  77.2    110.4     4714.3     439   10.00   0.160    3.7ms    778    12
  77.7    111.1     4909.7     457    9.99   0.160    3.7ms    778    12
  78.2    111.8     5499.3     424   10.00   0.160    3.7ms    778    12
  78.7    112.4     5688.5     412   10.00   0.160    3.7ms    778    12
  79.2    113.0     5733.7     449    9.99   0.160    3.7ms    778    12
  79.7    113.7     6514.5     422   10.00   0.160    3.7ms    778    12
  80.3    114.3     7342.7     442   10.01   0.160    3.7ms    778    12
  80.8    114.9     7947.0     395   10.00   0.160    3.7ms    778    12
  81.3    115.4     8906.8     380   10.00   0.170    3.6ms    762    13
  81.8    116.0     9417.0     399   10.00   0.170    3.6ms    762    13
  82.3    116.6     9671.5     424   10.00   0.170    3.6ms    762    13
  82.8    117.2     9979.7     399   10.00   0.170    3.6ms    762    13
  83.3    117.7    10024.0     403   10.00   0.170    3.6ms    762    13
  83.8    118.3    11021.3     393   10.00   0.170    3.6ms    762    13
  84.3    118.9     9922.7     438   10.00   0.170    3.6ms    762    13
  84.8    119.4     9538.5     387   10.00   0.170    3.6ms    762    13
  85.3    120.0     9928.4     407    9.99   0.170    3.6ms    762    13
  85.8    120.6    10779.3     418   10.01   0.170    3.6ms    762    13
  86.3    121.2    10274.2     423    9.99   0.180    3.6ms    762    13
  86.8    121.8    11198.4     433   10.00   0.180    3.6ms    762    13
  87.3    122.5    10145.4     465   10.00   0.180    3.6ms    762    13
  87.8    123.2     9390.9     462   10.00   0.180    3.6ms    762    13
  88.3    123.9     7604.5     486   10.00   0.180    3.6ms    762    13
  88.8    124.6     6974.9     464   10.00   0.180    3.6ms    762    13
  89.3    125.2     7184.1     413   10.00   0.180    3.6ms    762    13
  89.8    125.7     6920.0     399   10.00   0.180    3.6ms    762    13
  90.4    126.4     5861.3     446   10.00   0.180    3.6ms    762    13
  90.9    126.9     6188.3     371   10.00   0.190    3.5ms    732    14
  91.4    127.4     5935.6     392   10.00   0.190    3.5ms    732    14
  91.9    127.9     6419.8     383   10.01   0.190    3.5ms    732    14
  92.4    128.5     6981.1     420    9.99   0.190    3.5ms    732    14
  92.9    128.2     7312.1       0   10.00   0.190    3.5ms    732    14
  93.4    128.9     7827.4     441   10.00   0.190    3.5ms    732    14
  93.9    129.4     8604.6     408   10.01   0.190    3.5ms    732    14
  94.4    130.1     8147.5     458    9.99   0.190    3.5ms    732    14
  94.9    130.7     8795.6     425   10.00   0.190    3.5ms    732    14
  95.4    131.2     7129.5     412   10.00   0.190    3.5ms    732    14
  95.9    131.8     6325.8     406   10.00   0.190    3.5ms    732    14
  96.4    132.4     6346.2     432   10.00   0.200    3.4ms    716    15
  96.9    132.9     6664.8     398   10.00   0.200    3.4ms    716    15
  97.4    133.5     7484.2     438   10.00   0.200    3.4ms    716    15
  97.9    134.1     7750.4     426   10.00   0.200    3.4ms    716    15
  98.4    134.7     7524.7     420   10.00   0.200    3.4ms    716    15
  99.0    135.4     7599.6     473   10.00   0.200    3.4ms    716    15
  99.5    136.0     8530.3     440   10.00   0.200    3.4ms    716    15
 100.0    136.5     8718.8     402   10.01   0.200    3.4ms    716    15
 100.5    137.1     8534.3     431   10.00   0.200    3.4ms    716    15
 101.0    137.7     9228.5     435   10.00   0.210    3.4ms    716    15
 101.5    138.3     7940.3     451   10.00   0.210    3.4ms    716    15
 102.0    138.9     6962.9     438   10.00   0.210    3.4ms    716    15
 102.5    139.4     7625.3     404   10.01   0.210    3.4ms    716    15
 103.0    139.9     8449.9     389   10.00   0.210    3.4ms    716    15
 103.5    140.5     8312.8     403   10.00   0.210    3.4ms    716    15
 104.0    141.0     9143.3     383   10.00   0.210    3.4ms    716    15
 104.5    141.5     9359.7     396   10.00   0.210    3.4ms    716    15
 105.0    142.1     8001.5     472   10.00   0.210    3.4ms    716    15
 105.5    142.7     7005.9     416   10.00   0.210    3.4ms    716    15
 106.0    143.4     7310.6     485    9.99   0.220    3.2ms    686    16
 106.5    143.9     8263.4     433   10.00   0.220    3.2ms    686    16
 107.0    144.6     8651.0     452   10.00   0.220    3.2ms    686    16
 107.5    145.1     8676.4     406   10.01   0.220    3.2ms    686    16
 108.0    145.7     7308.7     449   10.00   0.220    3.2ms    686    16
 108.6    146.3     7266.3     460   10.00   0.220    3.2ms    686    16
 109.1    146.9     7683.8     418   10.00   0.220    3.2ms    686    16
 109.6    147.4     7427.9     399    9.99   0.220    3.2ms    686    16
 110.1    148.0     7176.6     457   10.00   0.220    3.2ms    686    16
 110.6    148.6     6991.5     451   10.00   0.220    3.2ms    686    16
 111.1    149.1     6671.1     404   10.00   0.230    3.2ms    670    17
 111.6    148.8     7501.0       0   10.00   0.230    3.2ms    670    17
 112.1    149.4     7594.2     459   10.00   0.230    3.2ms    670    17
 112.6    150.0     7307.5     443   10.00   0.230    3.2ms    670    17
 113.1    150.4     8251.8     372   10.00   0.230    3.2ms    670    17
 113.6    151.0     8064.0     403   10.00   0.230    3.2ms    670    17
 114.1    150.7     8710.3       0   10.00   0.230    3.2ms    670    17
