t_s,drop_rate_per_s,backlog_pkts,throughput_mbps,target_ms,limit_pkts
0.51,0.0,0,0.015,5.0,1024
1.02,49.3,396,9.987,5.0,1024
1.52,228.8,427,10.0,5.0,1024
2.03,397.1,427,10.002,5.0,1024
2.54,577.5,404,10.0,5.0,1024
3.04,754.4,405,10.0,5.0,1024
3.55,934.8,435,10.004,5.0,1024
4.05,1110.9,442,9.998,5.0,1024
4.56,1285.4,415,10.002,5.0,1024
5.07,1466.4,417,9.998,5.0,1024
5.58,1644.8,412,9.991,5.0,1024
6.08,1823.2,416,10.01,5.0,1024
6.59,2005.2,433,9.998,5.0,1024
7.09,2184.7,408,9.999,5.0,1024
7.6,2309.0,444,10.003,5.0,1024
8.11,2432.4,415,9.994,5.0,1024
8.61,2514.8,430,10.003,5.0,1024
9.12,2730.2,439,9.999,5.0,1024
9.63,2917.9,423,10.001,5.0,1024
10.13,3123.2,437,10.002,5.0,1024
10.64,3238.6,439,9.996,5.0,1024
11.15,3392.6,418,9.999,5.0,1024
11.65,3593.6,456,10.003,5.0,1024
12.16,3799.0,382,9.998,5.0,1024
12.67,4006.5,424,10.003,5.0,1024
13.17,4201.8,443,9.998,5.0,1024
13.68,4404.6,454,10.004,5.0,1024
14.19,4609.1,422,9.996,5.0,1024
14.69,4817.3,424,10.004,5.0,1024
15.2,5020.1,453,10.001,5.0,1024
15.7,5223.7,399,10.006,5.0,1024
16.21,5413.8,440,9.996,5.0,1024
16.71,5622.4,470,9.992,5.0,1024
17.22,5821.2,465,10.005,5.0,1024
17.72,6015.5,456,10.002,5.0,1024
18.23,5359.9,422,10.003,5.0,1024
18.73,5593.8,447,9.993,5.0,1024
19.24,5747.3,415,10.0,5.0,1024
19.75,5793.1,460,9.999,5.0,1024
20.25,6202.7,443,10.008,5.0,1024
20.76,6388.1,426,9.998,5.0,1024
21.26,6609.6,413,9.995,5.0,1024
21.77,6789.1,422,10.002,5.0,1024
22.27,6988.3,436,10.002,5.0,1024
22.78,7215.2,380,10.001,5.0,1024
23.29,7349.5,484,9.997,5.0,1024
23.79,7013.9,446,10.001,5.0,1024
24.3,7311.4,443,10.001,5.0,1024
24.8,6210.7,460,9.995,5.0,1024
25.31,6275.7,458,10.003,5.0,1024
25.82,6441.2,442,10.001,5.0,1024
26.32,6669.0,451,9.999,5.0,1024
26.83,6528.3,447,10.002,5.0,1024
27.33,6747.6,449,9.998,5.0,1024
27.84,6330.3,422,10.001,5.0,1024
28.34,6868.4,399,10.003,5.0,1024
28.85,5914.7,410,10.002,5.0,1024
29.35,6056.4,431,9.996,5.0,1024
29.86,6265.0,444,10.0,5.0,1024
30.36,6450.3,433,10.0,5.0,1024
30.87,6656.9,476,9.997,5.0,1024
31.38,5991.7,417,10.0,5.0,1024
31.88,5145.0,445,9.999,5.0,1024
32.39,5678.7,449,9.999,5.0,1024
32.89,5758.9,429,10.003,5.0,1024
33.4,5296.5,456,10.0,5.0,1024
33.9,5477.0,458,10.004,5.0,1024
34.41,5682.8,467,9.996,5.0,1024
34.92,5259.9,455,10.0,5.0,1024
35.42,5218.7,470,9.999,5.0,1024
35.93,5296.4,437,9.996,5.0,1024
36.43,5482.5,425,10.004,5.0,1024
36.94,5436.4,446,10.004,5.0,1024
37.44,5770.0,451,9.996,5.0,1024
37.95,5963.4,437,10.002,5.0,1024
38.45,6159.4,460,9.994,5.0,1024
38.96,6382.7,439,10.004,5.0,1024
39.47,5839.2,436,10.001,5.0,1024
39.97,6034.8,458,10.0,5.0,1024
40.48,6059.6,414,10.0,5.0,1024
40.98,5889.4,472,10.001,5.0,1024
41.49,6097.1,473,9.997,5.0,1024
41.99,6314.3,451,10.01,5.0,1024
42.5,6281.9,425,9.99,5.0,1024
43.0,6699.6,428,10.003,5.0,1024
43.51,6901.5,396,9.999,5.0,1024
44.01,6841.3,408,10.003,5.0,1024
44.52,6975.5,442,9.999,5.0,1024
45.02,6101.0,430,10.0,5.0,1024
45.53,5692.2,448,9.997,5.0,1024
46.03,5690.9,466,10.002,5.0,1024
46.54,6012.2,430,10.002,5.0,1024
47.04,5393.8,443,9.998,5.0,1024
47.55,5592.7,479,10.002,5.0,1024
48.05,5194.5,432,9.997,5.0,1024
48.56,5523.8,428,10.004,5.0,1024
49.06,5722.9,453,9.999,5.0,1024
49.57,5920.6,439,10.0,5.0,1024
50.07,5142.1,426,10.0,5.0,1024
50.58,4115.7,428,9.996,5.0,1024
51.09,4499.5,464,10.002,5.0,1024
51.59,4499.5,456,10.0,5.0,1024
52.1,4767.4,469,9.994,5.0,1024
52.6,5062.7,0,10.011,5.0,1024
53.11,5249.1,434,9.994,5.0,1024
53.61,4511.9,457,10.0,5.0,1024
54.12,4152.9,479,10.0,5.0,1024
54.63,4294.5,442,10.002,5.0,1024
55.13,4379.7,446,10.0,5.0,1024
55.64,4669.6,465,10.0,5.0,1024
56.14,4883.4,473,9.996,5.0,1024
56.65,5082.7,476,10.002,5.0,1024
57.16,5267.4,447,9.997,5.0,1024
57.66,5229.5,455,10.006,5.0,1024
58.17,5529.1,457,9.997,5.0,1024
58.67,5739.2,435,10.001,5.0,1024
59.18,4471.3,466,10.003,5.0,1024
59.68,4561.7,452,10.002,5.0,1024
60.18,4765.6,452,9.999,5.0,1024
60.69,4973.0,440,10.0,5.0,1024
61.2,5050.0,438,9.992,5.0,1024
61.7,4358.2,469,10.001,5.0,1024
62.21,4829.8,421,10.004,5.0,1024
62.71,4959.1,428,10.001,5.0,1024
63.22,5054.3,422,9.997,5.0,1024
63.72,4480.8,485,9.998,5.0,1024
64.23,4763.8,445,10.008,5.0,1024
64.73,4945.8,458,9.99,5.0,1024
65.24,5161.9,472,10.007,5.0,1024
65.74,5366.6,428,10.004,5.0,1024
66.25,5555.6,430,9.996,5.0,1024
66.75,5360.3,429,10.002,5.0,1024
67.26,4972.7,375,10.003,5.0,1024
67.76,5164.7,374,9.997,5.0,1024
68.27,4435.6,418,10.0,5.0,1024
68.77,3350.0,465,9.993,5.0,1024
69.28,3413.3,438,10.0,5.0,1024
69.78,3567.6,0,10.003,5.0,1024
70.29,3812.7,429,10.005,5.0,1024
70.79,3779.0,469,9.996,5.0,1024
71.3,3915.7,449,9.997,5.0,1024
71.81,4248.5,480,10.0,5.0,1024
72.31,4456.7,407,10.009,5.0,1024
72.81,4202.7,460,9.994,5.0,1024
73.32,4261.6,453,9.996,5.0,1024
73.83,4540.1,473,10.0,5.0,1024
74.33,4821.1,462,9.998,5.0,1024
74.84,5011.2,452,10.004,5.0,1024
75.35,5204.6,468,9.994,5.0,1024
75.85,4703.6,461,10.01,5.0,1024
76.36,4981.6,455,9.998,5.0,1024
76.86,4745.8,468,9.997,5.0,1024
77.37,4955.2,485,10.0,5.0,1024
77.88,5149.3,468,10.0,5.0,1024
78.38,5366.4,466,10.001,5.0,1024
78.89,5562.4,447,10.0,5.0,1024
79.39,5782.8,470,10.003,5.0,1024
79.9,5961.1,443,10.001,5.0,1024
80.4,5609.8,391,9.995,5.0,1024
80.9,6243.1,352,10.009,5.0,1024
81.41,5573.8,445,9.996,5.0,1024
81.91,5733.0,407,9.997,5.0,1024
82.42,5008.7,463,9.997,5.0,1024
82.93,4906.1,404,10.004,5.0,1024
83.43,4703.4,458,9.995,5.0,1024
83.94,4656.0,449,10.001,5.0,1024
84.44,4862.9,486,10.003,5.0,1024
84.95,4474.5,465,9.994,5.0,1024
85.46,4673.3,467,10.002,5.0,1024
85.97,4890.4,472,9.998,5.0,1024
86.47,5081.1,448,10.005,5.0,1024
86.98,5293.6,424,9.995,5.0,1024
87.48,5322.5,412,10.011,5.0,1024
87.99,4692.5,411,9.995,5.0,1024
88.49,3922.7,413,10.0,5.0,1024
88.99,2270.6,461,10.003,5.0,1024
89.5,2513.7,428,10.002,5.0,1024
90.0,2442.8,463,9.996,5.0,1024
90.51,2421.8,464,9.999,5.0,1024
91.01,2550.0,452,9.994,5.0,1024
91.52,2565.8,435,10.011,5.0,1024
92.02,2432.5,413,9.998,5.0,1024
92.52,2268.8,459,9.994,5.0,1024
93.03,2350.1,460,10.004,5.0,1024
93.53,2492.6,471,10.001,5.0,1024
94.04,2467.5,408,9.995,5.0,1024
94.54,2234.5,488,10.003,5.0,1024
95.05,2572.5,466,10.001,5.0,1024
95.55,2778.1,444,10.001,5.0,1024
96.06,2875.9,447,9.994,5.0,1024
96.56,3029.8,422,10.005,5.0,1024
97.06,3053.1,467,10.0,5.0,1024
97.57,3329.3,430,10.002,5.0,1024
98.07,3530.9,482,9.997,5.0,1024
98.58,3722.4,465,9.997,5.0,1024
99.08,3914.3,447,10.003,5.0,1024
99.59,3819.1,416,9.996,5.0,1024
100.09,3766.9,467,10.001,5.0,1024
100.6,3770.7,408,10.002,5.0,1024
101.1,4075.5,391,10.002,5.0,1024
101.61,4273.9,412,9.998,5.0,1024
102.11,3900.6,436,10.002,5.0,1024
102.62,3995.0,465,9.994,5.0,1024
103.12,4144.5,435,10.008,5.0,1024
103.62,3983.3,354,9.997,5.0,1024
104.13,4034.8,420,10.001,5.0,1024
104.63,3244.6,453,9.999,5.0,1024
105.14,3108.5,460,9.996,5.0,1024
105.64,3007.3,443,10.007,5.0,1024
106.15,2761.7,483,9.993,5.0,1024
106.65,2937.7,459,10.006,5.0,1024
107.16,3150.2,464,10.0,5.0,1024
107.66,3351.1,472,9.999,5.0,1024
108.17,3424.3,441,10.001,5.0,1024
108.67,3516.1,484,10.001,5.0,1024
109.18,3653.9,445,9.994,5.0,1024
109.68,3372.1,474,10.003,5.0,1024
110.19,3166.1,449,9.997,5.0,1024
110.69,3320.1,462,10.0,5.0,1024
111.2,3533.9,452,10.003,5.0,1024
111.71,3730.5,463,9.999,5.0,1024
