t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
0.00,0.0000,466,0.000,6881,HEAVY,5,100,1024
0.51,2374.0403,474,10.000,8081,HEAVY,5,100,1024
1.01,2647.7429,442,10.004,9418,HEAVY,5,100,1024
1.52,2844.7333,469,9.993,10856,HEAVY,5,100,1024
2.02,2962.9539,469,10.005,12351,HEAVY,5,100,1024
2.53,2964.9209,0,10.003,13846,HEAVY,5,100,1024
3.03,3125.9672,462,9.994,15430,HEAVY,5,100,1024
3.54,3328.9465,456,10.003,17109,HEAVY,5,100,1024
4.04,3539.7807,479,9.999,18899,HEAVY,5,100,1024
4.55,3730.4744,458,10.002,20781,HEAVY,5,100,1024
5.06,4272.7850,406,10.002,22957,HEAVY,4.5,90.0,921
5.56,4323.9185,385,9.999,25139,HEAVY,4.5,90.0,921
6.07,4635.4605,471,9.997,27481,HEAVY,4.5,90.0,921
6.57,4953.7417,414,10.002,29982,HEAVY,4.5,90.0,921
7.08,4511.1999,415,10.002,32258,HEAVY,4.5,90.0,921
7.58,4739.0706,432,10.001,34643,HEAVY,4.5,90.0,921
8.08,4348.8859,399,9.996,36835,HEAVY,4.5,90.0,921
8.59,4154.4168,434,10.004,38926,HEAVY,4.5,90.0,921
9.09,4123.5371,406,10.000,41004,HEAVY,4.5,90.0,921
9.60,4267.9771,437,9.996,43158,HEAVY,4.5,90.0,921
10.11,4564.1280,400,10.000,45482,HEAVY,4.05,81.0,828
10.61,3610.3787,426,10.001,47306,HEAVY,4.05,81.0,828
11.12,3210.9440,469,10.002,48925,HEAVY,4.05,81.0,828
11.62,3465.7344,434,9.996,50682,HEAVY,4.05,81.0,828
12.13,3790.9772,465,10.003,52599,HEAVY,4.05,81.0,828
12.63,4107.6322,428,9.999,54675,HEAVY,4.05,81.0,828
13.14,4173.4052,449,10.003,56779,HEAVY,4.05,81.0,828
13.64,4450.2340,480,9.994,59031,HEAVY,4.05,81.0,828
14.15,4758.9417,396,10.007,61427,HEAVY,4.05,81.0,828
14.65,4910.4721,478,10.001,63899,HEAVY,4.05,81.0,828
15.16,5985.1141,399,9.998,66932,HEAVY,3.645,72.9,745
15.66,5576.0479,424,10.002,69740,HEAVY,3.645,72.9,745
16.16,5000.6457,382,10.000,72257,HEAVY,3.645,72.9,745
16.67,4124.9470,411,9.999,74338,HEAVY,3.645,72.9,745
17.17,3334.7696,461,10.000,76017,HEAVY,3.645,72.9,745
17.68,3487.8732,451,9.993,77781,HEAVY,3.645,72.9,745
18.18,3853.3508,463,10.003,79726,HEAVY,3.645,72.9,745
18.69,4238.8865,439,9.999,81869,HEAVY,3.645,72.9,745
19.19,4637.3620,475,10.002,84213,HEAVY,3.645,72.9,745
19.70,5022.4810,431,9.999,86751,HEAVY,3.645,72.9,745
20.21,6019.9614,461,10.003,89815,HEAVY,3.2805,65.61000000000001,670
20.71,6509.9556,385,9.999,93093,HEAVY,3.2805,65.61000000000001,670
21.22,6645.8496,434,9.998,96455,HEAVY,3.2805,65.61000000000001,670
21.72,7293.2370,457,10.001,100140,HEAVY,3.2805,65.61000000000001,670
22.23,7296.9494,404,10.002,103814,HEAVY,3.2805,65.61000000000001,670
22.73,6543.9981,462,9.992,107129,HEAVY,3.2805,65.61000000000001,670
23.24,4941.9029,472,10.003,109626,HEAVY,3.2805,65.61000000000001,670
23.74,3856.6719,404,9.999,111573,HEAVY,3.2805,65.61000000000001,670
24.25,3333.1114,427,10.006,113253,HEAVY,3.2805,65.61000000000001,670
24.75,3238.2488,422,9.997,114885,HEAVY,3.2805,65.61000000000001,670
25.26,3485.1474,430,9.998,116655,HEAVY,2.9524500000000002,59.049000000000014,603
25.76,4040.8373,459,10.000,118696,HEAVY,2.9524500000000002,59.049000000000014,603
26.27,4427.6319,443,10.003,120932,HEAVY,2.9524500000000002,59.049000000000014,603
26.77,5010.9953,417,9.998,123465,HEAVY,2.9524500000000002,59.049000000000014,603
27.28,5480.7950,441,9.997,126235,HEAVY,2.9524500000000002,59.049000000000014,603
27.78,5909.4239,390,10.008,129209,HEAVY,2.9524500000000002,59.049000000000014,603
28.29,5931.5941,432,9.998,132206,HEAVY,2.9524500000000002,59.049000000000014,603
28.79,6289.6641,404,10.000,135372,HEAVY,2.9524500000000002,59.049000000000014,603
29.30,5716.0900,431,9.997,138265,HEAVY,2.9524500000000002,59.049000000000014,603
29.80,5334.4031,397,10.005,140952,HEAVY,2.9524500000000002,59.049000000000014,603
30.31,5844.0463,452,9.991,143933,HEAVY,2.6572050000000003,53.144100000000016,542
30.82,6063.6037,433,10.008,146990,HEAVY,2.6572050000000003,53.144100000000016,542
31.32,6773.9687,377,10.000,150401,HEAVY,2.6572050000000003,53.144100000000016,542
31.82,7224.8241,380,9.999,154043,HEAVY,2.6572050000000003,53.144100000000016,542
32.33,7798.3006,391,9.999,157976,HEAVY,2.6572050000000003,53.144100000000016,542
32.83,6374.4392,0,9.997,161204,HEAVY,2.6572050000000003,53.144100000000016,542
33.34,6068.3062,395,10.004,164259,HEAVY,2.6572050000000003,53.144100000000016,542
33.84,4909.6748,460,9.992,166745,HEAVY,2.6572050000000003,53.144100000000016,542
34.35,4586.2498,449,10.000,169070,HEAVY,2.6572050000000003,53.144100000000016,542
34.86,4966.2818,436,10.008,171580,HEAVY,2.6572050000000003,53.144100000000016,542
35.37,5706.2477,447,9.994,174488,HEAVY,2.3914845000000002,50,487
35.87,6310.8181,455,10.004,177683,HEAVY,2.3914845000000002,50,487
36.38,5086.6691,0,8.025,180268,HEAVY,2.3914845000000002,50,487
36.88,0.0000,0,0.001,180268,NORMAL,2.3914845000000002,50,487
37.39,0.0000,0,0.000,180268,NORMAL,2.3914845000000002,50,487
37.90,0.0000,0,0.000,180268,NORMAL,2.3914845000000002,50,487
