t,wall,drop_rate,backlog,throughput_mbps,state,target_ms,limit_pkts
0.51,06:25:55,0.0,0,0.000,NORMAL,5.00,1024
1.02,06:25:55,0.0,0,0.000,NORMAL,5.00,1024
1.53,06:25:56,0.0,0,0.000,NORMAL,5.00,1024
2.03,06:25:56,0.0,111,1.288,LIGHT,5.00,1024
2.54,06:25:57,73.2,455,10.004,HEAVY,5.00,1024
3.05,06:25:57,279.3,462,9.999,HEAVY,5.00,1024
3.55,06:25:58,477.9,447,9.995,HEAVY,5.00,1024
4.06,06:25:58,683.7,433,10.002,HEAVY,4.50,921
4.57,06:25:59,885.3,424,10.003,HEAVY,4.50,921
5.09,06:25:59,1091.6,469,10.001,HEAVY,4.50,921
5.59,06:26:00,1293.2,477,9.997,HEAVY,4.50,921
6.09,06:26:00,1480.8,464,10.005,HEAVY,4.50,921
6.60,06:26:01,1635.0,447,9.995,HEAVY,4.50,921
7.10,06:26:01,1889.6,465,10.001,HEAVY,4.05,829
7.62,06:26:02,1983.1,451,10.001,HEAVY,4.05,829
8.12,06:26:02,2188.2,462,9.997,HEAVY,4.05,829
8.63,06:26:03,2401.3,417,10.005,HEAVY,4.05,829
9.13,06:26:03,2430.5,440,9.997,HEAVY,4.05,829
9.64,06:26:04,2789.7,471,10.004,HEAVY,4.05,829
10.14,06:26:04,2986.0,446,10.001,HEAVY,3.65,746
10.65,06:26:05,3040.8,453,9.998,HEAVY,3.65,746
11.15,06:26:05,3056.6,428,9.999,HEAVY,3.65,746
11.66,06:26:06,3416.9,471,10.004,HEAVY,3.65,746
12.16,06:26:06,3623.2,433,9.999,HEAVY,3.65,746
12.66,06:26:07,3734.8,450,9.999,HEAVY,3.65,746
13.17,06:26:07,3259.0,430,10.000,HEAVY,3.28,671
13.68,06:26:08,3316.1,446,10.000,HEAVY,3.28,671
14.18,06:26:08,2988.6,453,10.001,HEAVY,3.28,671
14.68,06:26:09,2907.8,478,9.998,HEAVY,3.28,671
15.19,06:26:09,3129.8,466,10.001,HEAVY,3.28,671
15.69,06:26:10,3313.3,421,9.998,HEAVY,3.28,671
16.19,06:26:10,3522.4,460,10.001,HEAVY,2.95,604
16.71,06:26:11,3735.3,454,10.001,HEAVY,2.95,604
17.21,06:26:11,3922.0,421,9.999,HEAVY,2.95,604
17.75,06:26:12,4095.0,458,9.891,HEAVY,2.95,604
18.26,06:26:12,4222.1,482,10.118,HEAVY,2.95,604
18.76,06:26:13,3942.9,420,9.998,HEAVY,2.95,604
19.27,06:26:13,3857.2,486,9.945,HEAVY,2.66,544
19.78,06:26:14,3774.2,452,10.055,HEAVY,2.66,544
20.29,06:26:14,4280.4,434,9.998,HEAVY,2.66,544
20.84,06:26:15,4210.7,438,10.004,HEAVY,2.66,544
21.35,06:26:16,3557.7,446,9.998,HEAVY,2.66,544
21.85,06:26:16,3534.4,423,10.002,HEAVY,2.66,544
