t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,target_ms,interval_ms,limit_pkts
0.51,869.9329,438,455,10.0013,HEAVY,5.00,100.0,1024
1.01,1065.8197,975,469,9.9986,HEAVY,5.00,100.0,1024
1.51,1278.8063,1619,442,10.0013,HEAVY,5.00,100.0,1024
2.02,1472.6504,2364,448,9.9935,HEAVY,5.00,100.0,1024
2.52,1673.9895,3206,438,10.0081,HEAVY,5.00,100.0,1024
3.03,1822.9310,4124,464,9.9941,HEAVY,5.00,100.0,1024
3.53,2015.5902,5138,490,10.0042,HEAVY,5.00,100.0,1024
4.04,2264.8977,6284,464,9.9916,HEAVY,5.00,100.0,1024
4.54,2472.4954,7531,434,10.0041,HEAVY,5.00,100.0,1024
5.04,2668.9838,8877,443,9.9996,HEAVY,5.00,100.0,1024
5.55,3125.9518,10463,437,10.0008,HEAVY,4.50,90.0,921
6.05,3320.0018,12135,443,9.9988,HEAVY,4.50,90.0,921
6.56,3420.1417,13856,417,10.0061,HEAVY,4.50,90.0,921
7.06,3456.0539,15595,366,9.9981,HEAVY,4.50,90.0,921
7.56,3765.9505,17492,405,9.9987,HEAVY,4.50,90.0,921
8.07,3967.5387,19490,426,9.9993,HEAVY,4.50,90.0,921
8.57,4319.2477,21674,479,9.9974,HEAVY,4.50,90.0,921
9.08,4004.1838,23689,0,10.0003,HEAVY,4.50,90.0,921
9.58,3694.7612,25556,437,9.9997,HEAVY,4.50,90.0,921
10.09,4048.0956,27593,428,10.0039,HEAVY,4.50,90.0,921
10.60,4336.0781,29803,469,9.9969,HEAVY,4.05,81.0,828
11.10,4663.3068,32159,465,9.9984,HEAVY,4.05,81.0,828
11.60,4596.1763,34472,411,10.0051,HEAVY,4.05,81.0,828
12.11,4609.7953,36793,364,10.0012,HEAVY,4.05,81.0,828
12.61,3750.3298,38690,445,9.9927,HEAVY,4.05,81.0,828
13.12,3945.9892,40687,456,10.0011,HEAVY,4.05,81.0,828
13.62,4245.9562,42826,469,10.0051,HEAVY,4.05,81.0,828
14.13,4136.1671,44907,0,10.0002,HEAVY,4.05,81.0,828
14.63,3824.5174,46836,474,9.9952,HEAVY,4.05,81.0,828
15.13,3625.5918,48664,482,10.0041,HEAVY,4.05,81.0,828
15.64,3996.0639,50699,453,9.9991,HEAVY,3.65,72.9,745
16.15,3639.7017,52530,421,10.0024,HEAVY,3.65,72.9,745
16.65,3145.8363,54113,425,9.9985,HEAVY,3.65,72.9,745
17.15,3309.2199,55778,422,10.0019,HEAVY,3.65,72.9,745
17.66,2749.2304,57164,479,9.9978,HEAVY,3.65,72.9,745
18.16,2821.8428,58589,464,9.9967,HEAVY,3.65,72.9,745
18.67,2715.9828,59956,469,10.0047,HEAVY,3.65,72.9,745
19.17,2795.5422,61364,444,9.9948,HEAVY,3.65,72.9,745
19.67,2892.8674,62820,445,10.0049,HEAVY,3.65,72.9,745
20.18,3117.8034,64389,475,10.0010,HEAVY,3.65,72.9,745
20.68,3820.7331,66324,408,9.9950,HEAVY,3.28,65.6,670
21.19,4100.2487,68387,406,10.0040,HEAVY,3.28,65.6,670
21.69,3755.9246,70276,392,10.0017,HEAVY,3.28,65.6,670
22.19,4004.6057,72292,358,9.9953,HEAVY,3.28,65.6,670
22.70,3763.5656,74185,483,10.0040,HEAVY,3.28,65.6,670
23.20,4184.7344,76291,468,9.9975,HEAVY,3.28,65.6,670
23.70,4518.6278,78565,0,10.0008,HEAVY,3.28,65.6,670
24.20,4835.7173,80998,464,10.0021,HEAVY,3.28,65.6,670
24.71,5383.0376,83708,434,9.9971,HEAVY,3.28,65.6,670
25.21,5397.5660,86426,393,9.9967,HEAVY,3.28,65.6,670
25.72,5577.7002,89247,409,10.0033,HEAVY,2.95,59.0,603
26.22,5598.0371,92066,441,10.0007,HEAVY,2.95,59.0,603
26.72,6061.7420,95115,431,10.0028,HEAVY,2.95,59.0,603
27.23,5908.5681,98087,448,9.9995,HEAVY,2.95,59.0,603
27.73,6301.7463,101258,405,9.9988,HEAVY,2.95,59.0,603
28.23,6119.1619,104338,451,9.9980,HEAVY,2.95,59.0,603
28.74,5825.6098,107271,478,10.0007,HEAVY,2.95,59.0,603
29.24,5046.5949,109813,435,9.9940,HEAVY,2.95,59.0,603
29.74,4280.4516,111967,387,10.0067,HEAVY,2.95,59.0,603
30.25,3796.6078,113878,414,9.9989,HEAVY,2.95,59.0,603
30.75,4428.7740,116118,445,9.9998,HEAVY,2.66,53.1,542
31.26,4043.6076,118153,446,9.9995,HEAVY,2.66,53.1,542
31.76,3903.9409,120119,395,10.0013,HEAVY,2.66,53.1,542
32.26,0.0000,-739,0,0.0000,NORMAL,2.66,53.1,542
32.77,0.0000,-739,0,0.0028,NORMAL,2.66,53.1,542
33.27,0.0000,-739,0,0.0016,NORMAL,2.66,53.1,542
33.77,0.0000,-739,0,0.0025,NORMAL,2.66,53.1,542
34.28,0.0000,-739,0,0.0000,NORMAL,2.66,53.1,542
34.78,0.0000,-739,0,0.0014,NORMAL,2.66,53.1,542
35.29,0.0000,-739,0,0.0000,NORMAL,2.66,53.1,542
35.79,0.0000,-739,0,0.0000,NORMAL,2.66,53.1,542
36.30,0.0000,-739,126,1.5216,MODERATE,2.66,53.1,542
36.80,89.3617,-694,460,10.0007,HEAVY,2.66,53.1,542
37.30,294.0673,-546,474,9.9990,HEAVY,2.66,53.1,542
37.81,488.9041,-300,465,10.0015,HEAVY,2.66,53.1,542
38.31,681.6326,43,479,10.0007,HEAVY,2.66,53.1,542
38.81,883.2433,488,474,9.9957,HEAVY,2.66,53.1,542
