t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
0.0,0,5.0,15173000.0,1200083.986,0.0
1.0,19,5.0,196.4,10.016,21.25
2.0,14,5.0,150.5,9.985,15.7
3.0,14,5.0,166.4,10.007,15.67
4.0,14,5.0,176.5,10.012,15.66
5.0,12,5.0,175.3,9.979,13.47
6.0,11,5.0,163.5,10.012,12.31
7.0,13,5.0,155.5,10.01,14.55
8.0,0,5.0,160.5,9.986,0.0
9.0,16,5.0,158.4,10.005,17.91
10.0,12,5.0,157.5,10.01,13.43
11.0,11,5.0,170.5,9.985,12.34
12.0,13,5.0,168.5,10.009,14.55
13.0,14,5.0,164.5,9.997,15.68
14.0,13,5.0,171.5,9.997,14.56
15.1,12,5.0,152.5,9.999,13.44
16.1,15,5.0,176.4,10.007,16.79
17.1,14,5.0,150.5,9.995,15.69
18.1,10,5.0,173.4,10.008,11.19
19.1,12,5.0,173.5,9.998,13.44
20.1,12,5.0,165.4,9.993,13.45
21.1,13,5.0,175.4,10.008,14.55
22.1,15,5.0,178.4,9.997,16.8
23.1,6,5.0,173.4,9.994,6.72
24.1,15,5.0,176.5,9.987,16.82
25.1,0,5.0,152.5,10.02,0.0
26.1,15,5.0,175.5,9.999,16.8
27.1,7,5.0,166.5,9.998,7.84
28.1,11,5.0,157.5,9.995,12.33
29.1,15,5.0,153.6,10.003,16.8
30.1,12,5.0,177.5,9.986,13.46
31.1,0,5.0,155.5,10.021,0.0
32.1,11,5.0,157.5,9.994,12.33
33.1,13,5.0,174.5,9.998,14.56
34.1,14,5.0,161.5,10.007,15.67
35.1,17,5.0,171.4,9.996,19.05
36.1,14,5.0,130.6,9.996,15.69
37.1,13,5.0,181.4,10.008,14.55
38.1,10,5.0,182.4,9.998,11.2
39.1,14,5.0,160.5,9.996,15.69
40.1,12,5.0,140.6,10.009,13.43
41.1,16,5.0,166.5,9.997,17.92
42.1,9,5.0,154.5,9.995,10.08
43.1,14,5.0,181.3,9.993,15.69
44.1,7,5.0,177.5,10.015,7.83
45.1,14,5.0,155.5,9.997,15.68
46.1,9,5.0,166.5,10.002,10.08
47.2,0,5.0,157.5,9.987,0.0
48.2,11,5.0,173.4,9.993,12.33
49.2,13,5.0,173.5,10.013,14.54
50.2,16,5.0,170.5,10.0,17.92
51.2,10,5.0,160.5,9.996,11.2
52.2,13,5.0,169.4,10.006,14.55
53.2,10,5.0,160.5,9.997,11.2
54.2,12,5.0,160.5,9.999,13.44
55.2,12,5.0,161.5,10.011,13.43
56.2,12,5.0,159.5,9.998,13.44
57.2,0,5.0,162.5,10.0,0.0
58.2,16,5.0,146.6,9.999,17.92
59.2,13,5.0,167.5,10.001,14.56
60.2,11,5.0,168.4,9.993,12.33
61.2,12,5.0,168.5,9.998,13.44
62.2,11,5.0,165.5,10.009,12.31
63.2,13,5.0,172.4,9.993,14.57
64.2,11,5.0,162.4,10.007,12.31
65.2,14,5.0,162.4,9.995,15.69
66.2,10,5.0,161.5,10.0,11.2
67.2,10,5.0,166.4,10.005,11.19
68.2,14,5.0,154.6,10.001,15.68
69.2,14,5.0,180.4,9.995,15.69
70.2,9,5.0,172.5,9.998,10.08
71.2,9,5.0,172.5,10.001,10.08
72.2,15,5.0,143.5,9.997,16.81
73.2,14,5.0,145.6,9.999,15.68
74.2,12,5.0,158.5,10.006,13.43
75.2,7,5.0,170.5,9.997,7.84
76.2,7,5.0,167.4,9.995,7.84
77.2,10,5.0,156.5,10.009,11.19
78.3,13,5.0,156.5,9.996,14.57
79.3,10,5.0,164.5,9.996,11.2
80.3,0,5.0,160.5,9.999,0.0
81.3,12,5.0,152.5,9.996,13.45
82.3,7,5.0,168.5,9.997,7.84
83.3,18,5.0,155.5,10.009,20.14
84.3,11,5.0,170.4,10.008,12.31
85.3,11,5.0,167.5,10.0,12.32
86.3,15,5.0,169.4,9.996,16.81
87.3,11,5.0,180.3,10.004,12.32
88.3,12,5.0,133.5,9.982,13.46
89.3,9,5.0,176.5,9.998,10.08
90.3,12,5.0,160.4,10.016,13.42
91.3,10,5.0,175.5,9.999,11.2
92.3,12,5.0,159.5,9.997,13.44
93.3,12,5.0,160.5,9.999,13.44
94.3,13,5.0,165.4,10.007,14.55
95.3,12,5.0,168.5,9.999,13.44
96.3,13,5.0,171.4,9.995,14.57
97.3,13,5.0,167.5,9.987,14.58
98.3,13,5.0,167.4,10.006,14.55
99.3,12,5.0,159.5,9.998,13.44
100.3,10,5.0,169.4,10.02,11.18
101.3,12,5.0,161.5,9.976,13.47
102.3,17,5.0,146.6,10.013,19.02
103.3,16,5.0,157.5,9.996,17.93
104.3,13,5.0,166.4,10.006,14.55
105.3,12,5.0,158.5,10.009,13.43
106.3,13,5.0,167.5,9.996,14.57
107.3,10,5.0,167.5,9.996,11.2
108.3,14,5.0,163.5,9.997,15.69
109.4,15,5.0,150.6,10.0,16.8
110.4,11,5.0,167.5,10.01,12.31
111.4,8,5.0,176.4,9.996,8.96
112.4,10,5.0,149.5,9.998,11.2
113.4,10,5.0,168.5,9.998,11.2
114.4,10,5.0,166.6,10.003,11.2
115.4,13,5.0,160.5,9.987,14.58
116.4,12,5.0,165.5,10.01,13.43
117.4,16,5.0,168.5,10.0,17.92
118.4,13,5.0,168.4,9.996,14.57
119.4,18,5.0,172.4,9.995,20.17
120.4,15,5.0,167.5,10.01,16.78
121.4,8,5.0,165.5,10.008,8.95
122.4,16,5.0,158.4,9.994,17.93
123.4,11,5.0,162.4,9.992,12.33
124.4,13,5.0,163.5,10.009,14.55
125.4,15,5.0,164.5,9.996,16.81
126.4,11,5.0,171.5,9.998,12.32
127.4,14,5.0,171.4,10.006,15.67
128.4,15,5.0,152.5,9.993,16.81
129.4,11,5.0,155.5,9.997,12.32
130.4,12,5.0,161.5,9.996,13.44
131.4,9,5.0,156.4,10.017,10.06
132.4,13,5.0,166.5,10.001,14.56
133.4,9,5.0,161.4,9.995,10.09
134.4,13,5.0,164.5,9.999,14.56
135.4,13,5.0,165.5,10.001,14.56
136.4,12,5.0,164.4,9.993,13.45
137.4,9,5.0,165.5,9.996,10.08
138.4,10,5.0,140.6,10.011,11.19
139.4,11,5.0,181.4,9.995,12.33
140.4,11,5.0,164.5,10.008,12.31
141.5,10,5.0,159.5,9.996,11.21
142.5,12,5.0,178.5,9.998,13.44
143.5,11,5.0,163.5,10.009,12.31
144.5,14,5.0,154.5,9.985,15.7
145.5,12,5.0,172.4,10.005,13.43
146.5,13,5.0,184.5,9.999,14.56
147.5,12,5.0,159.5,10.007,13.43
148.5,15,5.0,145.6,9.999,16.8
149.5,16,5.0,161.5,9.995,17.93
150.5,12,5.0,165.5,9.999,13.44
151.5,12,5.0,157.5,10.0,13.44
152.5,14,5.0,173.5,10.01,15.66
153.5,18,5.0,168.5,9.998,20.16
154.5,10,5.0,159.5,9.994,11.21
155.5,19,5.0,163.5,9.998,21.28
156.5,12,5.0,166.5,9.997,13.44
157.5,10,5.0,165.5,10.008,11.19
158.5,11,5.0,165.4,9.995,12.33
159.5,12,5.0,152.5,10.009,13.43
160.5,10,5.0,164.5,9.987,11.21
161.5,12,5.0,151.5,10.009,13.43
162.5,12,5.0,159.5,9.997,13.44
163.5,12,5.0,160.5,9.997,13.44
164.5,11,5.0,161.4,10.006,12.31
165.5,11,5.0,169.5,9.997,12.32
166.5,15,5.0,157.5,9.997,16.81
167.5,11,5.0,167.4,10.007,12.31
168.5,16,5.0,174.4,9.997,17.93
169.5,11,5.0,169.4,10.005,12.31
170.5,13,5.0,171.4,9.994,14.57
171.5,14,5.0,156.4,10.005,15.67
172.6,12,5.0,163.5,9.996,13.44
173.6,13,5.0,161.6,10.001,14.56
174.6,16,5.0,164.5,9.997,17.92
175.6,12,5.0,173.4,10.007,13.43
176.6,13,5.0,169.5,9.999,14.56
177.6,10,5.0,154.6,10.0,11.2
178.6,17,5.0,153.6,10.0,19.04
179.6,12,5.0,175.5,9.998,13.44
180.6,10,5.0,152.5,9.984,11.22
181.6,14,5.0,169.5,10.01,15.66
182.6,16,5.0,173.5,10.0,17.92
183.6,9,5.0,170.4,10.008,10.07
184.6,13,5.0,158.5,9.996,14.57
185.6,10,5.0,155.5,9.995,11.21
186.6,14,5.0,162.5,10.011,15.66
187.6,9,5.0,165.4,9.982,10.1
188.6,11,5.0,159.5,10.012,12.3
189.6,5,5.0,155.5,9.984,5.61
190.6,8,5.0,157.5,10.021,8.94
191.6,14,5.0,144.4,9.978,15.71
192.6,14,5.0,172.4,10.008,15.67
193.6,14,5.0,162.5,10.009,15.67
194.6,14,5.0,166.5,9.996,15.69
195.6,11,5.0,182.4,9.998,12.32
