t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
0.0,231,349734,15.0,1000,1514,2167700.0,60014.615,0.04
1.0,314,475396,15.0,1000,1514,206.2,5.007,702.38
2.0,2,3028,15.0,1000,1514,359.8,4.998,4.48
3.0,1,1514,15.0,1000,1514,49.8,4.998,2.24
4.0,1,1514,15.0,1000,1514,104.7,4.998,2.24
5.0,1,1514,15.0,1000,1514,50.8,4.996,2.24
6.0,2,3028,15.0,1000,1514,112.6,5.01,4.47
7.0,3,4542,15.0,1000,1514,98.6,4.995,6.73
8.0,3,4542,15.0,1000,1514,129.6,4.974,6.76
9.0,1,1514,15.0,1000,1514,134.5,5.008,2.24
10.0,3,4542,15.0,1000,1514,143.5,4.997,6.72
11.0,6,9084,15.0,1000,1514,143.4,4.995,13.45
12.0,6,9084,15.0,1000,1514,133.4,5.004,13.43
13.1,9,13626,15.0,1000,1514,166.4,4.998,20.17
14.1,9,13626,15.0,1000,1514,151.5,4.999,20.16
15.1,9,13626,15.0,1000,1514,146.5,4.998,20.17
16.1,3,4542,15.0,1000,1514,150.5,5.011,6.71
17.1,5,7570,15.0,1000,1514,155.4,4.995,11.21
18.1,7,10598,15.0,1000,1514,161.4,4.997,15.69
19.1,12,18168,15.0,1000,1514,160.3,5.006,26.85
20.1,5,7570,15.0,1000,1514,170.4,4.997,11.21
21.1,7,10598,15.0,1000,1514,157.4,4.996,15.69
22.1,7,10598,15.0,1000,1514,165.1,4.999,15.68
23.1,8,12112,15.0,1000,1514,151.5,4.998,17.93
24.1,8,12112,15.0,1000,1514,172.4,5.009,17.89
25.1,3,4542,15.0,1000,1514,167.1,5.001,6.72
26.1,11,16654,15.0,1000,1514,166.3,4.994,24.67
27.1,6,9084,15.0,1000,1514,175.5,4.999,13.44
28.1,8,12112,15.0,1000,1514,180.3,4.996,17.93
29.1,6,9084,15.0,1000,1514,189.2,5.007,13.42
30.1,8,12112,15.0,1000,1514,170.3,4.994,17.94
31.1,10,15140,15.0,1000,1514,175.5,5.011,22.35
32.1,10,15140,15.0,1000,1514,171.4,4.996,22.42
33.1,5,7570,15.0,1000,1514,175.2,5.004,11.19
34.1,5,7570,15.0,1000,1514,177.2,4.993,11.22
35.1,10,15140,15.0,1000,1514,164.5,5.0,22.4
36.1,7,10598,15.0,1000,1514,180.3,4.995,15.7
37.1,5,7570,15.0,1000,1514,182.9,5.008,11.18
38.1,1,1514,15.0,1000,1514,188.3,4.997,2.24
39.2,11,16654,15.0,1000,1514,181.4,4.997,24.65
40.2,10,15140,15.0,1000,1514,187.3,5.008,22.36
41.2,6,9084,15.0,1000,1514,180.4,4.997,13.45
42.2,10,15140,15.0,1000,1514,172.2,5.002,22.39
43.2,7,10598,15.0,1000,1514,184.3,4.996,15.69
44.2,4,6056,15.0,1000,1514,171.4,4.998,8.96
45.2,9,13626,15.0,1000,1514,157.1,4.998,20.17
46.2,10,15140,15.0,1000,1514,172.3,5.008,22.36
47.2,3,4542,15.0,1000,1514,170.3,4.994,6.73
48.2,6,9084,15.0,1000,1514,164.9,5.006,13.42
