t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
0.0,0,5.0,0.0,0.758,0.0
1.0,13,5.0,160.5,9.994,14.57
2.0,0,5.0,86.7,9.997,0.0
3.0,0,5.0,93.7,10.006,0.0
4.0,15,5.0,99.6,9.993,16.81
5.0,10,5.0,102.7,10.011,11.19
6.0,16,5.0,106.6,9.995,17.93
7.0,15,5.0,97.7,9.984,16.83
8.0,15,5.0,128.6,10.013,16.78
9.0,14,5.0,102.7,9.995,15.69
10.0,13,5.0,96.7,10.01,14.54
11.0,12,5.0,108.7,9.998,13.44
12.0,18,5.0,113.7,9.998,20.16
13.0,18,5.0,96.7,9.997,20.17
14.0,15,5.0,104.7,9.997,16.8
15.1,14,5.0,102.7,9.986,15.7
16.1,14,5.0,93.7,10.02,15.65
17.1,17,5.0,94.7,9.996,19.05
18.1,14,5.0,109.7,10.009,15.67
19.1,17,5.0,91.7,9.998,19.04
20.1,16,5.0,99.7,9.998,17.92
21.1,14,5.0,98.7,9.998,15.68
22.1,15,5.0,99.7,9.987,16.82
23.1,13,5.0,98.7,10.013,14.54
24.1,15,5.0,96.7,9.996,16.81
25.1,16,5.0,90.7,9.999,17.92
26.1,15,5.0,95.7,10.009,16.78
27.1,14,5.0,90.7,10.001,15.68
28.1,14,5.0,99.7,10.0,15.68
29.1,13,5.0,105.7,9.996,14.57
30.1,14,5.0,97.7,9.999,15.68
31.1,17,5.0,94.7,9.995,19.05
32.1,15,5.0,83.7,10.004,16.79
33.1,15,5.0,98.7,9.997,16.81
34.1,15,5.0,106.6,10.008,16.79
35.1,17,5.0,97.7,9.997,19.05
36.1,0,5.0,115.6,9.985,0.0
37.1,17,5.0,99.7,10.009,19.02
38.1,15,5.0,105.7,10.008,16.79
39.1,11,5.0,107.7,9.998,12.32
40.1,19,5.0,99.7,9.995,21.29
41.1,14,5.0,100.7,10.01,15.66
42.1,13,5.0,108.6,9.996,14.57
43.1,14,5.0,95.7,9.996,15.69
44.1,16,5.0,96.6,9.99,17.94
45.1,11,5.0,92.7,10.009,12.31
46.1,12,5.0,109.7,9.999,13.44
47.2,16,5.0,101.7,9.996,17.93
48.2,15,5.0,91.7,10.011,16.78
49.2,11,5.0,112.6,9.996,12.33
50.2,14,5.0,97.7,10.002,15.68
51.2,16,5.0,97.7,9.999,17.92
52.2,14,5.0,93.7,10.0,15.68
53.2,10,5.0,89.8,10.002,11.2
54.2,17,5.0,94.7,9.998,19.04
55.2,9,5.0,97.7,10.001,10.08
56.2,15,5.0,92.7,9.998,16.8
57.2,0,5.0,90.7,9.987,0.0
58.2,17,5.0,93.7,10.022,19.0
59.2,15,5.0,100.6,9.993,16.81
60.2,13,5.0,102.7,9.999,14.56
61.2,20,5.0,94.7,9.999,22.4
62.2,16,5.0,104.7,10.01,17.9
63.2,11,5.0,100.7,10.0,12.32
64.2,17,5.0,99.7,9.995,19.05
65.2,16,5.0,95.7,9.998,17.92
66.2,13,5.0,100.7,9.997,14.56
67.2,14,5.0,97.7,10.009,15.67
68.2,19,5.0,92.7,9.999,21.28
69.2,15,5.0,109.7,10.0,16.8
70.2,12,5.0,99.7,9.998,13.44
71.2,13,5.0,96.7,9.989,14.58
72.2,16,5.0,102.7,10.012,17.9
73.2,13,5.0,93.7,9.996,14.57
74.2,14,5.0,103.7,9.998,15.68
75.2,14,5.0,96.7,10.009,15.67
76.2,16,5.0,88.7,10.0,17.92
77.2,12,5.0,93.7,9.998,13.44
78.2,15,5.0,94.7,9.983,16.83
79.3,20,5.0,102.7,10.022,22.35
80.3,17,5.0,110.7,9.989,19.06
81.3,17,5.0,111.7,10.011,19.02
82.3,12,5.0,91.7,9.999,13.44
83.3,16,5.0,82.8,9.999,17.92
84.3,15,5.0,106.6,9.996,16.81
85.3,0,5.0,112.6,10.006,0.0
86.3,16,5.0,114.6,9.998,17.92
87.3,14,5.0,113.6,9.996,15.69
88.3,14,5.0,100.7,9.986,15.7
89.3,17,5.0,104.7,10.01,19.02
90.3,11,5.0,97.7,10.008,12.31
91.3,17,5.0,96.7,9.999,19.04
92.3,16,5.0,94.7,10.0,17.92
93.3,18,5.0,101.7,9.984,20.19
94.3,16,5.0,96.7,10.01,17.9
95.3,14,5.0,104.6,10.007,15.67
96.3,20,5.0,97.7,9.998,22.4
97.3,15,5.0,101.7,9.998,16.8
98.3,15,5.0,106.7,9.985,16.83
99.3,13,5.0,101.7,10.009,14.55
100.3,16,5.0,107.7,10.009,17.9
101.3,19,5.0,94.7,9.997,21.29
102.3,16,5.0,105.7,10.0,17.92
103.3,13,5.0,104.7,9.999,14.56
104.3,13,5.0,99.7,10.0,14.56
105.3,12,5.0,105.7,9.997,13.44
106.3,14,5.0,100.7,9.995,15.69
107.3,14,5.0,97.6,9.993,15.69
108.3,16,5.0,102.7,10.009,17.9
109.3,15,5.0,103.6,10.007,16.79
110.3,12,5.0,90.7,9.999,13.44
111.4,15,5.0,105.7,9.996,16.81
112.4,17,5.0,102.6,10.005,19.03
113.4,15,5.0,103.7,9.988,16.82
114.4,14,5.0,92.7,10.009,15.67
115.4,14,5.0,93.7,9.997,15.68
116.4,16,5.0,94.7,9.998,17.92
117.4,12,5.0,99.7,10.008,13.43
118.4,19,5.0,89.7,9.996,21.29
119.4,15,5.0,96.7,9.998,16.8
120.4,20,5.0,87.7,10.0,22.4
121.4,15,5.0,103.6,10.006,16.79
122.4,14,5.0,90.8,10.004,15.67
123.4,16,5.0,101.7,9.986,17.94
124.4,17,5.0,95.7,10.01,19.02
125.4,17,5.0,102.7,10.0,19.04
126.4,16,5.0,109.7,9.992,17.93
127.4,14,5.0,97.7,10.009,15.67
128.4,16,5.0,103.7,9.999,17.92
129.4,14,5.0,91.7,9.996,15.69
130.4,18,5.0,93.7,9.994,20.17
