t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
0.0,223,337622,5.0,1024,1514,0.0,1.955,1277.54
1.0,8,12112,5.0,1024,1514,292.8,5.008,17.89
2.0,30,45420,5.0,1024,1514,88.7,4.996,67.25
3.0,22,33308,5.0,1024,1514,119.5,4.995,49.33
4.0,25,37850,5.0,1024,1514,167.2,5.003,55.97
5.0,24,36336,5.0,1024,1514,154.2,5.002,53.74
6.0,0,0,5.0,1024,1514,161.2,5.0,0.0
7.0,24,36336,5.0,1024,1514,165.2,5.002,53.74
8.0,26,39364,5.0,1024,1514,166.4,4.997,58.27
9.0,0,0,5.0,1024,1514,162.4,5.007,0.0
10.0,22,33308,5.0,1024,1514,167.4,4.997,49.31
11.1,29,43906,5.0,1024,1514,151.5,4.997,65.0
12.1,24,36336,5.0,1024,1514,165.4,5.007,53.68
13.1,31,46934,5.0,1024,1514,156.5,4.997,69.48
14.1,0,0,5.0,1024,1514,163.4,4.996,0.0
15.1,25,37850,5.0,1024,1514,152.2,5.001,55.99
16.1,24,36336,5.0,1024,1514,157.4,5.007,53.68
17.1,22,33308,5.0,1024,1514,156.4,4.995,49.33
18.1,25,37850,5.0,1024,1514,155.3,4.992,56.09
19.1,20,30280,5.0,1024,1514,169.4,5.008,44.73
20.1,26,39364,5.0,1024,1514,154.4,4.996,58.29
21.1,16,24224,5.0,1024,1514,185.4,4.998,35.85
22.1,21,31794,5.0,1024,1514,181.2,5.004,47.0
23.1,24,36336,5.0,1024,1514,172.0,4.996,53.8
24.1,21,31794,5.0,1024,1514,160.5,5.011,46.94
25.1,25,37850,5.0,1024,1514,178.4,4.998,56.02
26.1,27,40878,5.0,1024,1514,175.4,4.996,60.53
27.1,22,33308,5.0,1024,1514,183.3,4.995,49.33
28.1,0,0,5.0,1024,1514,163.4,5.008,0.0
29.1,0,0,5.0,1024,1514,163.4,4.996,0.0
30.1,21,31794,5.0,1024,1514,176.3,5.007,46.97
31.1,26,39364,5.0,1024,1514,155.4,4.996,58.29
32.1,25,37850,5.0,1024,1514,165.4,4.997,56.03
33.1,19,28766,5.0,1024,1514,191.3,4.996,42.59
34.1,21,31794,5.0,1024,1514,153.4,5.009,46.96
35.1,24,36336,5.0,1024,1514,169.4,4.996,53.8
36.1,26,39364,5.0,1024,1514,168.3,4.995,58.3
37.2,27,40878,5.0,1024,1514,167.4,5.008,60.38
38.2,28,42392,5.0,1024,1514,144.5,4.997,62.76
39.2,20,30280,5.0,1024,1514,160.3,5.003,44.77
40.2,15,22710,5.0,1024,1514,158.2,5.0,33.6
41.2,32,48448,5.0,1024,1514,152.5,4.996,71.74
42.2,26,39364,5.0,1024,1514,160.4,4.996,58.29
43.2,27,40878,5.0,1024,1514,173.2,5.005,60.42
44.2,21,31794,5.0,1024,1514,177.2,5.004,47.0
45.2,27,40878,5.0,1024,1514,163.4,4.995,60.54
46.2,25,37850,5.0,1024,1514,168.3,5.005,55.94
47.2,18,27252,5.0,1024,1514,173.2,4.991,40.39
48.2,26,39364,5.0,1024,1514,159.3,5.005,58.18
49.2,25,37850,5.0,1024,1514,177.3,4.995,56.06
50.2,27,40878,5.0,1024,1514,158.3,5.003,60.44
51.2,24,36336,5.0,1024,1514,168.3,4.995,53.81
52.2,28,42392,5.0,1024,1514,157.4,5.009,62.61
53.2,25,37850,5.0,1024,1514,164.4,4.996,56.04
54.2,25,37850,5.0,1024,1514,165.5,4.998,56.02
55.2,21,31794,5.0,1024,1514,158.4,5.007,46.97
56.2,18,27252,5.0,1024,1514,174.3,4.994,40.37
57.2,18,27252,5.0,1024,1514,181.3,4.996,40.35
58.2,21,31794,5.0,1024,1514,153.4,5.006,46.98
59.2,21,31794,5.0,1024,1514,171.4,4.997,47.07
60.2,21,31794,5.0,1024,1514,157.4,4.996,47.08
61.2,26,39364,5.0,1024,1514,163.5,5.01,58.12
62.2,22,33308,5.0,1024,1514,171.3,4.995,49.33
63.3,30,45420,5.0,1024,1514,149.5,4.997,67.24
64.3,31,46934,5.0,1024,1514,172.4,4.997,69.48
65.3,31,46934,5.0,1024,1514,164.4,5.008,69.33
66.3,27,40878,5.0,1024,1514,164.4,4.997,60.52
67.3,22,33308,5.0,1024,1514,173.4,4.997,49.31
68.3,26,39364,5.0,1024,1514,157.5,4.997,58.27
69.3,22,33308,5.0,1024,1514,170.3,5.007,49.21
70.3,24,36336,5.0,1024,1514,157.5,4.997,53.79
71.3,25,37850,5.0,1024,1514,160.4,4.995,56.06
72.3,28,42392,5.0,1024,1514,161.4,5.007,62.63
73.3,0,0,5.0,1024,1514,169.3,4.993,0.0
74.3,17,25738,5.0,1024,1514,158.5,4.998,38.1
