[recorder] Starting: label=static_fqcodel ns=ns_router iface=veth_rs duration=330s
[recorder] Writing to: /home/ammu/ccn-linux-qdisc-study/logs/static_fqcodel_recorded.csv
[recorder] t=0.0s bl=89p tgt=5.0ms tp=3.423Mbps dr=0.0/s
[recorder] t=10.0s bl=12p tgt=5.0ms tp=9.997Mbps dr=113.5/s
[recorder] t=20.1s bl=12p tgt=5.0ms tp=9.998Mbps dr=101.2/s
[recorder] t=30.1s bl=13p tgt=5.0ms tp=9.991Mbps dr=97.5/s
[recorder] t=40.2s bl=17p tgt=5.0ms tp=9.994Mbps dr=94.7/s
[recorder] t=50.2s bl=20p tgt=5.0ms tp=9.999Mbps dr=94.6/s
[recorder] t=60.3s bl=16p tgt=5.0ms tp=9.989Mbps dr=99.4/s
[recorder] t=70.3s bl=17p tgt=5.0ms tp=10.01Mbps dr=111.7/s
[recorder] t=80.4s bl=12p tgt=5.0ms tp=10.007Mbps dr=93.7/s
[recorder] t=90.4s bl=13p tgt=5.0ms tp=9.987Mbps dr=103.7/s
[recorder] t=100.5s bl=15p tgt=5.0ms tp=10.0Mbps dr=94.5/s
[recorder] t=110.5s bl=12p tgt=5.0ms tp=10.004Mbps dr=101.4/s
[recorder] t=120.6s bl=18p tgt=5.0ms tp=10.003Mbps dr=100.5/s
[recorder] t=130.6s bl=15p tgt=5.0ms tp=10.003Mbps dr=98.6/s
[recorder] t=140.7s bl=16p tgt=5.0ms tp=9.996Mbps dr=90.6/s
[recorder] t=150.8s bl=16p tgt=5.0ms tp=10.006Mbps dr=93.6/s
[recorder] t=160.8s bl=18p tgt=5.0ms tp=10.014Mbps dr=100.4/s
[recorder] t=170.8s bl=13p tgt=5.0ms tp=9.994Mbps dr=105.6/s
[recorder] t=180.9s bl=15p tgt=5.0ms tp=10.002Mbps dr=89.4/s
[recorder] t=191.0s bl=12p tgt=5.0ms tp=9.994Mbps dr=96.4/s
[recorder] t=201.0s bl=15p tgt=5.0ms tp=9.992Mbps dr=100.4/s
[recorder] t=211.1s bl=14p tgt=5.0ms tp=9.998Mbps dr=94.5/s
[recorder] t=221.1s bl=13p tgt=5.0ms tp=9.999Mbps dr=108.4/s
[recorder] t=231.2s bl=16p tgt=5.0ms tp=10.005Mbps dr=84.6/s
[recorder] t=241.2s bl=14p tgt=5.0ms tp=9.995Mbps dr=92.7/s
[recorder] t=251.3s bl=16p tgt=5.0ms tp=10.008Mbps dr=100.7/s
[recorder] t=261.3s bl=16p tgt=5.0ms tp=10.004Mbps dr=93.7/s
[recorder] t=271.4s bl=16p tgt=5.0ms tp=10.005Mbps dr=108.5/s
[recorder] t=281.4s bl=12p tgt=5.0ms tp=10.001Mbps dr=96.4/s
[recorder] t=291.5s bl=16p tgt=5.0ms tp=10.0Mbps dr=96.6/s
